DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;DPTO;fex_c_2011
4372903;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;1798,67106461086
4372903;1;2;1;50;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;63;1798,67106461086
4372904;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;63;2067,54403933728
4372905;1;1;1;50;2; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;63;1353,89935219292
4372906;1;1;1;50;2; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;2222,87187788496
4372906;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;2222,87187788496
4372907;1;1;1;50;2;1; ;1;6;VER TELEVISION;2;2;2;1; ; ; ; ; ; ; ;2;07;63;1798,67106461086
4372907;1;2;1;50;2;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;2;07;63;1798,67106461086
4372908;1;1;1;50;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;63;2317,98246150172
4372908;1;2;1;50;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;2317,98246150172
4372908;1;3;1;50;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;2317,98246150172
4372908;1;4;1;50;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;63;2317,98246150172
4372909;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;2282,36435027731
4372909;1;2;1;50;2; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;63;2282,36435027731
4372909;1;3;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;63;2282,36435027731
4372910;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;3196,98337410549
4372910;1;2;1;50;2; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;63;3196,98337410549
4372910;1;3;1;50;2; ; ;1;6;VIAJANDO EN BOGOTA;2;2;2;2;2; ; ; ; ; ; ; ;07;63;3196,98337410549
4372911;1;1;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;1612,7439400076
4372911;1;2;1;50;2; ; ;2;4; ;2;2;2;2;1;8; ;1;1; ;3;1;07;63;1612,7439400076
4372912;1;1;1;50;2;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;63;2047,76604298177
4372912;1;2;1;50;2;2; ;2;6;VER TELEVISION;2;2;2;1; ; ; ; ; ; ; ;1;07;63;2047,76604298177
4372912;1;3;1;50;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;63;2047,76604298177
