DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2493243;1;3;1;70;2;4;48;1; ;2;4;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;140000;2;53;79;18;1;1;1810;08;66;1235,64391857793
2493252;1;2;1;70;2;4;48;1; ;2;4;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;33;54;95;1;1;9500;08;66;1587,91158982865
2493257;1;2;1;70;2;8;48;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;08;66;1088,97708620671
2493263;1;2;1;70;2;32;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;2; ;08;66;1546,42042896439
2493268;1;1;1;70;2;104;40;1; ;2;72;2; ;9;5; ; ; ; ;1; ; ; ; ; ; ;2; ;2;58;58;75;1;2;7512;08;66;1020,73573756746
2493279;1;3;1;70;2;1;20;1; ;2;104;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5521;08;66;967,352746740428
2493285;1;4;1;70;2;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;92;22;1;1;2231;08;66;1233,72225817235
2493288;1;2;1;70;2;24;48;3; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;57;93;1;2;9302;08;66;1083,29990601875
2493883;1;4;1;70;2;4;48;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5522;08;63;744,177579592938
2493883;1;5;1;70;2;12;44;1; ;2;80;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;1;5522;08;63;744,177579592938
2497814;1;3;1;70;2;4;48;2; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;58;61;01;1;1;0140;08;63;594,494699664712
2497814;1;4;1;70;2;12;48;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0111;08;63;594,494699664712
