DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;AREA;fex_c_2011
2486487;1;1;1;50;1; ; ;1;4; ;2;2;1; ; ; ; ; ; ; ; ; ;08;1;05;05;892,883452801581
2486489;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;1027,10271679423
2486489;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;1027,10271679423
2486490;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;843,641794124361
2486490;1;2;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;05;843,641794124361
2486491;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;960,767153633613
2486491;1;2;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;05;960,767153633613
2486492;1;1;1;50;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;1063,38720004525
2486492;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;1063,38720004525
2486493;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;1036,42803266
2486493;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;4; ;2; ;2; ; ;08;1;05;05;1036,42803266
2486493;1;3;1;50;1; ; ;3;6;MISIONERO CATOLICO;2;1; ; ; ; ; ; ; ; ; ; ;08;1;05;05;1036,42803266
2486494;1;1;1;50;1; ; ;1;6;FABRICA ARTICULOS DE MADERA PARA HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;05;950,795979684789
2486494;1;2;1;50;1; ; ;2;6;FIESTA DE LAS FLORES;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;05;950,795979684789
2486494;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;950,795979684789
2486496;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;08;1;05;05;936,936524670231
2486497;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;08;1;05;05;946,261840536
