DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
5105378;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;995,701573553396
5105379;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;910,619785492299
5105379;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;910,619785492299
5105379;1;3;1;80;05;1;1;1;1; ;2; ; ;12;NO HA EMPEZADO A BUSCAR;1; ;1;828000;1;60;828000;2;1;01;05;910,619785492299
5105380;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;968,872451707863
5105381;1;1;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;01;05;995,701573553396
5105381;1;2;1;80;05;1;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;828116;2;1;01;05;995,701573553396
5105382;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1053,60861476464
5105384;1;2;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1033,65838820237
5105384;1;3;1;80;05;1;1;2;9;ESTA EN LA CARCEL;2; ; ;12;ESTA EN LA CARCEL;2; ;2; ; ; ; ;2;1;01;05;1033,65838820237
5105384;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;1033,65838820237
5105386;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;968,872451707863
5105387;1;2;1;80;05;1;1;4;4; ;1; ;1;9; ;1; ;2; ;2; ;828116;2;1;01;05;1561,17684120514
5105390;1;1;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;995,701573553396
5105390;1;2;1;80;05;1;1;4;3; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;01;05;995,701573553396
5105391;1;1;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;949,102548024036
5105391;1;2;1;80;05;1;1;4;5; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;01;05;949,102548024036
5105392;1;2;1;80;05;1;1;1;3; ;2; ; ;9; ;1;2;2; ;1;48;828116;1;1;01;05;1718,82086036183
5105395;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;01;05;1009,90272512389
5105396;1;1;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;866,387947968781
5105396;1;2;1;80;05;1;1;2;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;866,387947968781
5105398;1;2;1;80;05;1;1;1;8; ;2; ; ;1; ;1; ;1;800000;1;48;1000000;2;1;01;05;1086,3423023046
5105399;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;954,671300137372
5105399;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;954,671300137372
5105400;1;1;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;766,924685458748
5105400;1;2;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;766,924685458748
5105401;1;1;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;01;05;1491,64167813407
5105403;1;2;1;80;05;1;1;3;5; ;2; ; ;9; ;3; ;2; ;1;48;1100000;3;1;01;05;2061,83560800013
5105403;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;2061,83560800013
5105405;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;811,156522982266
5105405;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;811,156522982266
5105405;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.;3; ;2; ; ; ; ;3;1;01;05;811,156522982266
5105409;1;1;1;80;05;1;1;4;1; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;01;05;1106,29252886687
5105410;1;2;1;80;05;1;1;1;8; ;2; ; ;12;ESPERA QUE LO VUELVAN A LLAMAR DEL EMPLEO ANTERIOR PARA CONTINUAR CON SU LABOR DE DOCENTE DE MUSICA;1;2;1;700000;1;48;1400000;1;1;01;05;968,346503825103
5105410;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;01;05;968,346503825103
5105413;1;2;1;80;05;1;1;1;8; ;2; ; ;2; ;2; ;1;800000; ; ; ;2;1;01;05;1067,80976633514
5105415;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;01;05;1034,18433608513
5105415;1;2;1;80;05;1;1;4;9;EDAD;2; ; ;8; ;2; ;2; ; ; ; ;2;1;01;05;1034,18433608513
5105416;1;1;1;80;05;1;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;01;05;1034,18433608513
