DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
5105378;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;995,701573553396;05
5105378;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;995,701573553396;05
5105379;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;910,619785492299;05
5105379;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;910,619785492299;05
5105379;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;910,619785492299;05
5105380;1;1;1;90;2; ;1;21;2; ;2; ;1;48;2; ;2; ;2; ;2; ;2; ;1;01;05;968,872451707863;05
5105380;1;2;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;968,872451707863;05
5105381;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;995,701573553396;05
5105381;1;2;1;90;2; ;1;28;2; ;2; ;1;18;2; ;2; ;2; ;2; ;2; ;1;01;05;995,701573553396;05
5105382;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1053,60861476464;05
5105382;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1053,60861476464;05
5105382;1;3;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1053,60861476464;05
5105383;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1191,90026481073;05
5105384;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1033,65838820237;05
5105384;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1033,65838820237;05
5105384;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1033,65838820237;05
5105384;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1033,65838820237;05
5105385;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1106,81847674963;05
5105385;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1106,81847674963;05
5105386;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;968,872451707863;05
5105386;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;968,872451707863;05
5105387;1;1;1;90;2; ;1;15;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1561,17684120514;05
5105387;1;2;1;90;2; ;1;70;2; ;1;98;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1561,17684120514;05
5105388;1;1;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1021,73668868854;05
5105388;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1021,73668868854;05
5105388;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;01;05;1021,73668868854;05
