"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","CLASE","P7250","P7260","P7280","P7280S1","P7310","P7320","P7350","P7350S1","P7360","P9460","P7390","P7390S1","P7420","P7420S1","P7420S2","P7420S3","P7420S4","P7420S5","P7420S6","P7420S7","P7420S7A1","P7420S8","P7422","P7422S1","P1806","P1519","P1883","OFICIO1","OFICIO2","RAMA2D_D","DSI","DSCY","RAMA4D_D","MES","DPTO","fex_c_2011","AREA"
4489753,1,1,1,"70","1",32,40,1,"",2,32,1,"",4,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737000,2,1.79769313486232e+308,"64","64","05",1,2,"0501","12","76",1896.65683622437,""
4489756,1,3,1,"70","1",54,40,1,"",2,54,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,"58","58","74",1,2,"7492","12","76",3758.7037575317,""
4489756,1,5,1,"70","1",12,40,1,"",1,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1000000,1.79769313486232e+308,1.79769313486232e+308,"59","","",1,1,"","12","76",3758.7037575317,""
4489758,1,3,1,"70","1",16,48,1,"",1,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,800000,1.79769313486232e+308,1.79769313486232e+308,"45","","",1,2,"","12","76",2680.03911494651,""
4489783,1,2,1,"70","1",4,30,4,"",2,6,4,"",1,2,7,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,40000,900000,2,1.79769313486232e+308,"41","41","52",1,1,"5225","12","76",2944.75174554373,""
4489794,1,3,1,"70","1",16,72,4,"",2,16,4,"",1,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"98","98","60",1,2,"6031","12","05",1188.73904268864,"05"
4489796,1,3,1,"70","1",2,48,1,"",2,48,1,"",9,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,850000,2,1.79769313486232e+308,"45","33","93",1,1,"9303","12","05",1128.0844248052,"05"
4489806,1,1,1,"70","1",2,48,1,"",2,2,1,"",4,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1200000,2,1.79769313486232e+308,"13","13","80",1,1,"8011","12","05",1273.92167004096,"05"
4489810,1,2,1,"70","1",48,48,1,"",2,32,3,"",1,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1300000,2,1.79769313486232e+308,"59","59","95",1,2,"9500","12","05",1396.79626143559,"05"
4489815,1,2,1,"70","1",3,48,4,"",2,32,4,"",9,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,1500000,2,1.79769313486232e+308,"15","15","01",1,1,"0112","12","05",1013.19119740573,"05"
4489821,1,1,1,"70","1",4,48,1,"",2,4,1,"",9,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,990000,1000000,2,1.79769313486232e+308,"40","97","15",1,1,"1551","12","05",1192.82722847689,"05"
4489833,1,2,1,"70","1",8,48,1,"",2,8,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"76","95","45",1,1,"4521","12","05",992.626342718814,"05"
4489838,1,2,1,"70","1",3,48,1,"",2,1,1,"",7,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,250000,737700,2,1.79769313486232e+308,"58","59","74",1,1,"7499","12","05",1221.24841615268,"05"
4489846,1,2,1,"70","1",3,48,1,"",2,3,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,737717,1000000,2,1.79769313486232e+308,"79","79","18",1,1,"1810","12","05",1013.19119740573,"05"
