DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;clase;MES;INI;DPTO;fex_c_2011
5159908;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;1;40;877803;2;2;03;1;05;1419,06292894801
5159908;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;1419,06292894801
5159910;1;2;1;80;1;4;9;CAMBIO DE RESIDENCIA;2; ; ;9; ;2; ;2; ;1;20;100000;2;2;03;1;05;1879,49071805351
5159911;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;03;1;05;2315,41388064841
5159912;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3430,64622734605
5159912;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3430,64622734605
5159912;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;3430,64622734605
5159912;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;3430,64622734605
5159913;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;03;1;05;1967,98465140764
5159913;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;1967,98465140764
5159914;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1734,34026593974
5159915;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;03;1;05;1869,89351689443
5159916;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;03;1;05;2165,7862044742
5159916;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;2165,7862044742
5159917;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1743,93746709881
5159918;1;1;1;80;1;1;8; ;2; ; ;11; ;1;2;2; ; ; ; ;1;2;03;1;05;1396,24504991856
5159918;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1396,24504991856
5159920;1;1;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;03;1;05;1901,44937232915
5159920;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1901,44937232915
5159924;1;1;1;80;1;3;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;03;1;05;1869,89351689443
5159924;1;2;1;80;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;03;1;05;1869,89351689443
5159925;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;2020,63575236043
5159926;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;4064,37094300752
5159927;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;03;1;05;2030,23295351951
5159927;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;2030,23295351951
5159928;1;1;1;80;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;2;03;1;05;2315,41388064841
5159929;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3599,85201291411
5159929;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3599,85201291411
5159930;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ;1;40;98;2;2;03;1;05;2221,01368628751
5159934;1;2;1;80;1;2;1; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;03;1;05;1481,31123105987
5159934;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1481,31123105987
5159935;1;2;1;80;1;1;7; ;2; ; ;9; ;2; ;2; ;1;48;877803;2;2;03;1;05;1743,93746709881
5159935;1;3;1;80;1;3;1; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;03;1;05;1743,93746709881
5159936;1;1;1;80;1;4;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;2;03;1;05;1869,89351689443
5159936;1;2;1;80;1;4;5; ;2; ; ;4; ;3; ;2; ; ; ; ;3;2;03;1;05;1869,89351689443
5159937;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;5584,98019967423
5159938;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3430,64622734605
5159938;1;3;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3430,64622734605
5159938;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;3430,64622734605
5159938;1;5;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;3430,64622734605
5159940;1;2;1;80;1;1;8; ;2; ; ;12;ESPERA TIEMPO DE COSECHA;2; ;2; ; ; ; ;2;2;03;1;05;3547,20091196132
5159940;1;4;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3547,20091196132
5159940;1;6;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;3547,20091196132
5159941;1;2;1;80;1;3;9;CAMBIO DE RESIDENCIA;2; ; ;9; ;2; ;2; ;2; ;877803;2;2;03;1;05;3745,92356433778
5159942;1;1;1;80;1;3;9;SE ABURRIERON EN LA FINCA;2; ; ;4; ;2; ;2; ;2; ;98;2;2;03;1;05;2041,87543275935
5159942;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ;1;42;98;2;2;03;1;05;2041,87543275935
5159942;1;4;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;2041,87543275935
5159943;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1869,89351689443
5159944;1;1;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;2303,91583628942
5159945;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;03;1;05;2356,56693724221
5159946;1;2;1;80;1;2;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;03;1;05;2611,30656822818
5159947;1;2;1;80;1;3;1; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;03;1;05;2158,76538417565
5159947;1;3;1;80;1;1;2; ;2; ; ;2; ;2; ;2; ; ; ; ;2;2;03;1;05;2158,76538417565
5159948;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1869,89351689443
5159949;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1734,34026593974
5159953;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1879,49071805351
5159954;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1869,89351689443
5159956;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1869,89351689443
5159957;1;1;1;80;1;4;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;03;1;05;1869,89351689443
5159957;1;2;1;80;1;3;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;2;03;1;05;1869,89351689443
5159958;1;1;1;80;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;2;03;1;05;1743,93746709881
5159960;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;2158,76538417565
5159961;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;1879,49071805351
5159963;1;2;1;80;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;03;1;05;3728,38444357024
5159963;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;3728,38444357024
5159964;1;2;1;80;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;2;03;1;05;2221,01368628751
5159967;1;2;1;80;1;1;8; ;2; ; ;1; ;2; ;2; ; ; ; ;2;2;03;1;05;3270,30679072098
5159967;1;5;1;80;1;1;8; ;2; ; ;2; ;2; ;2; ;1;20;600000;2;2;03;1;05;3270,30679072098
5159968;1;2;1;80;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;2;03;1;05;2030,23295351951
5159968;1;3;1;80;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;2;03;1;05;2030,23295351951
5159969;1;1;1;80;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;2;03;1;05;1433,97035429953
