DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;MES;DPTO;ORDEN;fex_c_2011
2456780;1;2;1;1;1;1;1;1;4;4; ; ; ;200000; ;1;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;1;2;3;1;1;1;4;1;2;1;1;1;2;3;2;01;54;07;54;1;322,262917805257
2456781;1;1;1;3;2;1;2;2;4;5; ; ; ;50000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;1;3;3;1;4;3;1;1;2;2;1;2;1;3; ;01;54;07;54;1;367,956679826225
2466105;1;2;2;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;2;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;07;05;1;1166,36390785456
2466106;1;4;2;1;1;1;1;1;3;1; ; ;35000000;250000; ;1;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;1;1;2;2;1;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;05;07;05;1;1156,12070862256
2466107;1;3;2;1;1;1;1;1;3;3; ; ; ; ;160000;1;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;2;2; ;5;1;1;1;4;1;1;1;1;1;2;2;1;01;05;07;05;1;1021,39630300932
2466108;1;2;1;1;1;1;1;1;3;1; ; ;30000000;220000; ;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;2;2;2;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;07;05;1;1034,24805577026
2466109;1;4;2;1;1;1;1;1;3;1; ; ;65000000;340000; ;1;1;1;1;1;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;3;2;1;01;05;07;05;1;1047,93263480049
2466110;1;2;2;1;1;1;1;2;4;1; ; ;9000000;120000; ;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;1;2;2; ;6;1;1;1;4;1;2;1;1;1;1;2;1;01;05;07;05;1;210,844073948058
2466111;1;1;1;3;1;1;1;1;1;4; ; ; ;100000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;1;1;1;2;1;01;05;07;05;1;687,029547613556
2466112;1;1;1;2;1;1;1;1;1;1; ; ;4000000;50000; ;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2; ;2;2; ;4;1;1;8;2;1;2;2;1;1;1;2;1;01;05;07;05;1;721,645957999855
2466113;1;4;2;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;2;2;1;1;2;2; ;5;1;2;1;2;1;1;1;1;1;1;2;1;01;05;07;05;1;1100,08647752211
2466114;1;2;1;1;1;1;1;1;4;3; ; ; ; ;160000;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;07;05;1;1258,82982271627
2466115;1;4;3;1;1;1;1;1;3;4; ; ; ;500000; ;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;05;07;05;1;1004,75015646098
2466116;1;5;4;1;1;1;1;3;4;3; ; ; ; ;290000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;3;2;2; ;6;1;1;1;4;1;2;1;1;1;2;2;1;01;05;07;05;1;1044,49809931657
2466117;1;4;3;1;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;1;4;2;2; ;5;1;1;1;4;1;1;1;1;1;3;2;1;01;05;07;05;1;1176,97232332752
2466118;1;1;1;1;1;1;1;3;1;1; ; ;15000000;180000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;07;05;1;1166,36390785456
2466119;1;5;4;1;1;1;1;1;4;1; ; ;40000000;300000; ;1;2;1;1;1;1;2;2;2;2;1;2;1;2;2;1;1;1;2;2;2;1;3;2;2; ;4;1;1;1;4;1;2;1;1;1;2;2;1;01;05;07;05;1;1246,86935574232
2466120;1;1;1;2;1;1;1;1;4;2; ;200000;8000000;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;3;1;1;8;2;1;2;2;1;1;1;2;1;01;05;07;05;1;1112,04694449607
2466122;1;4;3;1;1;1;1;1;3;1; ; ;35000000;400000; ;1;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;2;2;1;1;2;2;2; ;5;1;2;1;4;1;1;1;1;1;3;2;1;01;05;07;05;1;894,313977761311
2466123;1;4;1;1;1;1;1;1;4;4; ; ; ;350000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;07;05;1;1166,36390785456
2466124;1;4;3;1;1;1;1;1;3;1; ; ;70000000;400000; ;1;1;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;3;2;1;01;05;07;05;1;1156,12070862256
2466126;1;3;2;1;1;1;1;1;3;1; ; ;25000000;250000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;2;2;1;01;05;07;05;1;1156,12070862256
2466127;1;4;1;1;2;1;1;1;4;3; ; ; ; ;230000;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2; ;5;1;2;1;4;1;2;1;1;1;1;2;1;01;05;07;05;1;355,988273928168
2466127;2;1;1;1;2;1;1;6; ;3; ; ; ; ;50000;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1;01;05;07;05;1;355,988273928168
2466128;1;2;2;1;1;1;1;1;1;1; ; ;35000000;180000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;2; ;2;2; ;3;1;1;1;2;1;2;1;1;1;1;2;1;01;05;07;05;1;279,461682502963
