DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;AREA;fex_c_2011
2456780;1;1;1;50;1; ; ;1;6;DESCANSANDO EN EL HOGAR POR LA EDAD.;2;2;2;2;2; ; ; ; ; ; ; ;07;1;54;54;322,262917805257
2456780;1;2;1;50;1;4; ;2;6;VER TELEVISION.;2;2;2;1; ; ; ; ; ; ; ;1;07;1;54;54;322,262917805257
2456780;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;54;54;322,262917805257
2456781;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;4; ;2; ;2; ; ;07;1;54;54;367,956679826225
2466105;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1166,36390785456
2466105;1;2;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1166,36390785456
2466106;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1156,12070862256
2466106;1;2;1;50;1;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1156,12070862256
2466106;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;07;1;05;05;1156,12070862256
2466107;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1021,39630300932
2466107;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1021,39630300932
2466107;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1021,39630300932
2466108;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;8; ;2; ;1;12;1;07;1;05;05;1034,24805577026
2466108;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1034,24805577026
2466109;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1047,93263480049
2466109;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1047,93263480049
2466109;1;4;1;50;1; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1047,93263480049
2466110;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;7; ;2; ;2; ; ;07;1;05;05;210,844073948058
2466110;1;2;1;50;1; ; ;2;6;REPARACION  DEL  TECHO  DE   SU  CASA;2;2;2;2;1;13;NO  HA   TENIDO  DINERO   PARA  PASAJES  Y TRANSPORTARSE; ; ; ; ; ;07;1;05;05;210,844073948058
2466110;1;3;1;50;1;1; ;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;210,844073948058
2466110;1;6;1;50;1; ; ;6;6;VISITAR   FAMILIARES;2;2;2;2;1;7; ;2; ;2; ; ;07;1;05;05;210,844073948058
2466111;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;687,029547613556
2466111;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;07;1;05;05;687,029547613556
2466112;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;721,645957999855
2466112;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;07;1;05;05;721,645957999855
2466113;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1100,08647752211
2466113;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1100,08647752211
2466113;1;3;1;50;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;07;1;05;05;1100,08647752211
2466113;1;4;1;50;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;07;1;05;05;1100,08647752211
2466114;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1258,82982271627
2466114;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1258,82982271627
2466115;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1004,75015646098
2466115;1;2;1;50;1; ; ;2;6;ENFERMA   EN   CAMA;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1004,75015646098
2466115;1;3;1;50;1; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1004,75015646098
2466116;1;1;1;50;1; ; ;2;6;VER  TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1044,49809931657
2466116;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1044,49809931657
2466116;1;3;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1044,49809931657
2466116;1;5;1;50;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1044,49809931657
2466116;1;6;1;50;1; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1044,49809931657
2466117;1;1;1;50;1; ; ;1;6;LEER;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1176,97232332752
2466117;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1176,97232332752
2466117;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1176,97232332752
2466117;1;4;1;50;1;2; ;4;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1176,97232332752
2466118;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1166,36390785456
2466118;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1166,36390785456
2466119;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1246,86935574232
2466119;1;2;1;50;1; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;07;1;05;05;1246,86935574232
2466119;1;3;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1246,86935574232
2466119;1;4;1;50;1; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;07;1;05;05;1246,86935574232
2466120;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1112,04694449607
2466120;1;2;1;50;1; ; ;1;3; ;2;2;2;2;1;13;POR  SER   MENOR  DE  EDAD; ; ; ; ; ;07;1;05;05;1112,04694449607
2466122;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;894,313977761311
2466122;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;894,313977761311
2466122;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;894,313977761311
2466123;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;8; ;2; ;1;6;1;07;1;05;05;1166,36390785456
2466123;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1166,36390785456
2466124;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1156,12070862256
2466124;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1156,12070862256
2466124;1;3;1;50;1;2; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1156,12070862256
2466126;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1156,12070862256
2466126;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1156,12070862256
2466126;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1156,12070862256
2466127;1;1;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;355,988273928168
2466127;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;07;1;05;05;355,988273928168
2466127;2;1;2;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;355,988273928168
2466128;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;279,461682502963
2466128;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;279,461682502963
2466128;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;279,461682502963
2466129;1;1;1;50;1; ; ;1;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;07;1;05;05;957,362209964849
2466129;1;2;1;50;1;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;957,362209964849
2466130;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1204,51285935778
2466130;1;2;1;50;1; ; ;2;6;MANUALIDADES;2;1; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1204,51285935778
2466131;1;1;1;50;1; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1204,51285935778
2466131;1;2;1;50;1;2; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1204,51285935778
2466132;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1068,96247178957
2466132;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1068,96247178957
2466132;1;3;1;50;1; ; ;3;6;CAMINANDO;2;2;2;2;1;11; ; ; ; ; ; ;07;1;05;05;1068,96247178957
2466132;1;4;1;50;1;3; ;4;3; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1068,96247178957
2466133;1;1;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466133;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466133;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466133;1;4;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466133;1;5;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466134;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1063,65479376084
2466134;1;2;1;50;1; ; ;1;6;VER TV;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1063,65479376084
2466134;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1063,65479376084
2466135;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;333,098903026234
2466135;1;2;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;333,098903026234
2466135;1;3;1;50;1; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;333,098903026234
2466136;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;345,761171676084
2466137;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;608,579468637837
2466137;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;608,579468637837
2466137;1;6;1;50;1; ; ;6;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;608,579468637837
2466139;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1100,08647752211
2466139;1;2;1;50;1; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1100,08647752211
2466139;1;3;1;50;1;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1100,08647752211
2466139;1;4;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1100,08647752211
2466140;1;1;1;50;1; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1063,74595507954
2466141;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1123,03933961099
2466141;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1123,03933961099
2466142;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1152,53723892028
2466143;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466143;1;2;1;50;1;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1051,69432678689
2466143;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466143;1;4;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466143;1;5;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1051,69432678689
2466144;1;1;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1023,11357075128
2466144;1;2;1;50;1;1; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;1023,11357075128
2466145;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;775,962921358346
2466145;1;3;1;50;1;2; ;3;6;VER TV;2;2;2;1; ; ; ; ; ; ; ;1;07;1;05;05;775,962921358346
2466146;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;878,918975303442
2466146;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;878,918975303442
2466146;1;3;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;878,918975303442
2466146;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;878,918975303442
2466146;1;5;1;50;1; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;878,918975303442
2466146;1;7;1;50;1; ; ;7;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;878,918975303442
2466146;1;9;1;50;1; ; ;9;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;878,918975303442
2466147;1;1;1;50;1; ; ;1;6;INCAPACITADA;2;1; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1092,97447078601
2466147;1;3;1;50;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1092,97447078601
2466148;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1122,6831775666
2466148;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1122,6831775666
2466148;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1122,6831775666
2466148;1;5;1;50;1; ; ;5;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1122,6831775666
2466148;1;6;1;50;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1122,6831775666
2466148;1;7;1;50;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;07;1;05;05;1122,6831775666
2466148;1;8;1;50;1; ; ;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1122,6831775666
2466149;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1063,74595507954
2466151;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07;1;05;05;1053,41159452884
