DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5443999;1;1;1;70;05;52;48;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;3; ;97;54;54;1;2;9700;05;05;1053,29855573577
5444000;1;2;1;70;05;48;48;1; ;2;72;3; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;57;54;1;2;9700;05;05;1670,53540593154
5444004;1;2;1;70;05;52;60;1; ;2;52;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;01;95;61;1;2;0161;05;05;1019,78933308597
5444009;1;2;1;70;05;52;48;3; ;2;72;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;9700;05;05;1058,92325409162
5444011;1;4;1;70;05;2;48;1; ;2;2;1; ;4;2;3; ; ; ; ; ; ; ; ; ; ;1;1;60000;908526;2; ;52;97;97;1;1;5224;05;05;1181,46434819399
5444011;1;6;1;70;05;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;908526; ; ; ;97; ;1;2;.;05;05;1181,46434819399
5444016;1;5;1;70;05;12;48;1; ;2;24;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;41;97;97;1;1;4112;05;05;768,03661989442
5444032;1;1;1;70;05;28;48;1; ;2;28;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;46;19;19;1;2;4645;05;05;1173,40303097312
5444033;1;2;1;70;05;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;56;55;55;1;1;5611;05;05;1102,47701415012
5444061;1;1;1;70;05;20;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;450000; ; ; ;38; ;1;2;.;05;05;3828,45345428834
