DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5443864;1;1;1;70;2;2;48;1; ;2;2;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;450000;2; ;41;95;95;1;1;05;4111;23;991,670493657409
5443866;1;1;1;70;2;4;36;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;300000;2; ;01;62;62;1;1;05;0161;23;1084,97843210697
5443867;1;1;1;70;2;4;36;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;50000;250000;2; ;01;62;62;1;1;05;0161;23;919,231640390673
5449793;1;1;1;70;2;2;40;4; ;2;2;4; ;6;2;1; ; ; ; ; ; ; ;1; ; ; ;1;1400000;500000;2; ;07;64;71;1;1;05;0722;70;1939,03725862217
5449795;1;1;1;70;2;8;40;4; ;2;18;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;53;53;1;1;05;5619;70;1191,42651212413
5450226;1;3;1;70;2;4;50;8; ;2;4;8; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;1;80000;900000;2; ;01;62;62;1;1;05;0113;68;1695,11998563948
5450252;1;5;1;70;2;16;40;1; ;2;18;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;85;13;13;1;2;05;8530;70;925,599880461045
5450258;1;1;1;70;2;1;30;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ; ;54; ;1;1;05;.;70;1239,47006988766
5450260;1;4;1;70;2;4;48;1; ;2;60;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;950000;2; ;47;45;45;1;1;05;4773;70;760,401592325414
5450262;1;3;1;70;2;3;54;3; ;2;60;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;97;54;54;1;1;05;9700;70;1109,67467487721
5450265;1;2;1;70;2;1;25;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ; ;54; ;1;1;05;.;70;806,236259081439
5450271;1;1;1;70;2;1;30;3; ;2;100;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;56;54;53;1;1;05;5611;70;741,658783372743
5450272;1;4;1;70;2;20;40;1; ;2;52;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;15;59;80;1;2;05;1522;70;676,047489785665
5450274;1;1;1;70;2;44;40;4; ;2;42;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;01;61;61;1;2;05;0111;70;544,683647360766
5450278;1;1;1;70;2;1;48;1; ;2;8;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;08;71;71;1;1;05;0820;15;2467,28773363909
5450364;1;2;1;70;2;48;48;1; ;2;104;1; ;4;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;85;85;1;2;05;6820;17;1686,37247795056
5454675;1;2;1;70;2;24;40;1; ;2;36;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;49;98;98;1;2;05;4923;44;662,447220332915
5454675;1;3;1;70;2;36;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ; ;95; ;1;2;05;.;44;662,447220332915
5454676;1;2;1;70;2;20;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ; ;95; ;1;2;05;.;44;1885,77758090025
5454750;1;1;1;70;2;3;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;700000;2; ;81;55;55;1;1;05;8121;50;750,470891856714
5454751;1;2;1;70;2;24;48;1; ;2;24;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;78;34;34;1;2;05;7810;50;841,248222107371
5454762;1;2;1;70;2;3;48;8; ;2;3;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;908000;2; ;01;62;62;1;1;05;0122;50;1138,85092986946
5454766;1;1;1;70;2;2;48;8; ;2;2;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;1000000;2; ;01;62;62;1;1;05;0121;50;1281,36404053818
