DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,AREA,fex_c_2011
2705284,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,6,73,73,270.400.597.279.603
2705284,1,2,1,90,,2,1,2,2,2,2,2,2,2,1,,42,,,,,,,,7,1,6,73,73,270.400.597.279.603
2705284,1,3,1,90,,2,2,2,2,2,2,1,2,2,2,,,,,,,4,,,,1,6,73,73,270.400.597.279.603
2705285,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,1,6,73,73,199.952.017.376.613
2705285,1,2,1,90,,2,1,2,2,1,2,1,2,2,2,,14,,,21,,2,,,,1,6,73,73,199.952.017.376.613
2705285,1,3,1,90,,2,1,2,2,1,2,2,2,2,2,,2,,,2,,,,,,1,6,73,73,199.952.017.376.613
2705285,1,4,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,6,73,73,199.952.017.376.613
2705285,1,5,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,6,73,73,199.952.017.376.613
2705287,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,6,73,73,212.043.362.087.083
2705288,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,1,6,73,73,190.441.553.229.731
2705289,1,1,1,90,,2,1,2,1,2,2,2,2,2,1,,21,,28,,,,,,1,1,6,73,73,247.339.908.226.677
2705289,1,2,1,90,,2,1,2,1,2,2,2,2,2,1,,29,,24,,,,,,1,1,6,73,73,247.339.908.226.677
2705289,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,7,,19,,,,,,,1,6,73,73,247.339.908.226.677
2705290,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,2,,14,,,,,,,1,6,73,73,239.225.052.209.836
2705290,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,42,,24,,,,,,,1,6,73,73,239.225.052.209.836
2705290,1,3,1,90,,2,1,2,2,2,2,1,2,2,2,,2,,,,,3,,,,1,6,73,73,239.225.052.209.836
2705291,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,21,,,,,,,,,1,6,73,73,207.358.634.153.208
2705291,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,42,,3,,,,,,,1,6,73,73,207.358.634.153.208
2705292,1,1,1,90,,2,1,2,1,2,2,1,2,2,1,,35,,21,,,5,,,2,1,6,73,73,185.717.807.327.964
2705292,1,2,1,90,,2,2,2,1,2,2,2,2,2,2,,,,21,,,,,,,1,6,73,73,185.717.807.327.964
2705292,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,10,,,,,,,,,1,6,73,73,185.717.807.327.964
2705292,1,5,1,90,,2,1,2,1,2,2,2,2,2,2,,15,,19,,,,,,,1,6,73,73,185.717.807.327.964
2705293,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,6,73,73,20.650.599.173.062
2705293,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,6,73,73,20.650.599.173.062
