DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2709819,1,2,1,3,1,4,3,1,4,1,,,7000000,60000,,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,2,2,2,2,1,,,1,2,6,54,1,121.274.651.451.874
2709820,1,3,2,3,1,4,3,1,4,4,,,,60000,,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,2,2,1,,,1,2,6,54,1,118.654.590.967.032
2709821,1,3,1,3,1,4,3,1,4,3,,,,,150000,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,2,2,2,1,,,1,2,6,54,1,143.819.528.205.643
2709822,1,3,2,2,1,4,3,1,4,3,,,,,100000,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,3,1,1,1,2,1,2,2,2,2,1,,,1,2,6,54,1,110.507.345.298.501
2709823,1,3,2,2,1,4,3,1,4,4,,,,100000,,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,6,1,1,1,2,1,2,2,2,2,2,,,1,2,6,54,1,171.347.334.724.535
2709824,1,5,2,2,1,4,3,1,4,1,,,25000000,150000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,2,2,2,,,1,2,6,54,1,120.319.200.079.043
2709825,1,6,3,3,1,4,3,1,4,1,,,10000000,70000,,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,,2,2,,4,1,1,1,2,1,2,2,2,2,1,,,1,2,6,54,1,13.910.529.696.152
2709826,1,2,2,3,2,4,3,1,4,4,,,,100000,,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,2,2,1,,,1,2,6,54,1,106.581.894.871.012
2709826,2,1,1,3,2,4,3,1,4,4,,,,60000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,1,2,,,,,,,,,,,,1,2,6,54,1,106.581.894.871.012
2709827,1,2,1,3,1,4,3,4,4,4,,,,80000,,2,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,,2,2,,2,1,1,1,2,1,2,2,2,2,1,,,1,2,6,54,1,100.810.184.289.255
