DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2710434,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,735.997.391.048.668
2710434,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,6,63,735.997.391.048.668
2710435,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,612.946.021.039.983
2710435,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,612.946.021.039.983
2710435,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,6,63,612.946.021.039.983
2710435,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,6,63,612.946.021.039.983
2710436,1,1,1,50,2,,,1,4,,1,,,,,,,,,,,,6,63,93.507.783.797.896
2710437,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,801.526.276.792.266
2710437,1,2,1,50,2,,,2,4,,2,1,,,,,,,,,,,6,63,801.526.276.792.266
2710437,1,3,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,63,801.526.276.792.266
2710437,1,5,1,50,2,,,5,1,,,,,,,,,,,,,,6,63,801.526.276.792.266
2710438,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,103.786.238.292.831
2710438,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,103.786.238.292.831
2710439,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,735.997.391.048.668
2710439,1,2,1,50,2,,,2,4,,2,2,2,2,1,13,EL ESPOSO NO LA DEJA TRABAJAR,,,,,,6,63,735.997.391.048.668
2710440,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,717.328.928.889.563
2710440,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,6,63,717.328.928.889.563
2710440,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,6,63,717.328.928.889.563
2710440,1,4,1,50,2,,,4,4,,2,2,2,2,1,13,EL COMPAÑERO NO LA DEJA,,,,,,6,63,717.328.928.889.563
2710441,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,418.052.163.018.737
2710441,1,2,1,50,2,,,2,4,,2,2,2,2,1,2,,1,2,,,,6,63,418.052.163.018.737
2710441,1,3,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,6,63,418.052.163.018.737
2710441,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,6,63,418.052.163.018.737
2710441,1,5,1,50,2,,,5,3,,2,2,2,2,2,,,,,,,,6,63,418.052.163.018.737
2710442,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,106.859.727.934.281
2710442,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,106.859.727.934.281
2710450,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,820.194.738.951.371
2710450,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,63,820.194.738.951.371
2710451,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,766.732.287.463.174
2710451,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,766.732.287.463.174
2710452,1,1,1,50,2,,,1,6,VER   TELEVISION,2,2,2,2,2,,,,,,,,6,63,602.791.991.226.574
2710452,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,602.791.991.226.574
2710452,1,3,1,50,2,,,3,4,,2,2,2,2,2,,,,,,,,6,63,602.791.991.226.574
2710452,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,63,602.791.991.226.574
2710452,1,5,1,50,2,,,5,4,,1,,,,,,,,,,,,6,63,602.791.991.226.574
2710452,1,6,1,50,2,,,6,3,,2,2,2,2,1,12,,,,,,,6,63,602.791.991.226.574
2710453,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,829.661.418.156.993
2710453,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,829.661.418.156.993
2710453,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,6,63,829.661.418.156.993
2710457,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,784.337.399.045.083
