Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3917486;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;1225,12913236739
3917486;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;01;17;1225,12913236739
3917487;1;1;1;90;1;2;2;2;2;2;2;2;2;2;7; ; ; ; ; ; ; ; ; ;2;01;17;1527,83266097756
3917487;1;2;1;90;1;1;2;2;2;2;2;2;2;2;7;35; ; ; ; ; ; ; ; ;2;01;17;1527,83266097756
3917487;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;01;17;1527,83266097756
3917488;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;1812,91499972414
3917489;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;2036,55826441796
3917489;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;36; ;60; ; ; ; ; ; ;2;01;17;2036,55826441796
3917490;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;1372,52458934799
3917491;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;49; ; ; ; ; ; ; ; ;2;01;17;1112,10852043667
3917491;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;01;17;1112,10852043667
3917491;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;1112,10852043667
3917491;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;1112,10852043667
3917492;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;755,105735556983
3917492;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;2;01;17;755,105735556983
3917492;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;01;17;755,105735556983
3917493;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;755,105735556983
3917493;1;2;1;90;1;1;2;2;2;2;2;2;2;2;7;7; ; ; ; ; ; ; ; ;2;01;17;755,105735556983
3917493;1;3;1;90;2;1;2;2;1;2;2;2;2;2; ;40; ; ;20; ; ; ; ; ;2;01;17;755,105735556983
3917493;1;4;1;90;2;1;2;2;1;2;2;2;2;2; ;45; ; ;20; ; ; ; ; ;2;01;17;755,105735556983
3917493;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;755,105735556983
3917494;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;35; ; ;15; ; ; ; ; ;2;01;17;1665,51954274354
3917494;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;1665,51954274354
3917496;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;17;1242,92497068765
3917496;1;2;1;90;1;1;2;2;2;2;2;2;2;2;15;40; ; ; ; ; ; ; ; ;2;01;17;1242,92497068765
3918858;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;20; ; ; ; ; ; ;2;01;13;2314,64311267117
3918858;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;2314,64311267117
3918859;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ;2;01;13;2459,58268503228
3918859;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;20; ; ; ; ; ; ;2;01;13;2459,58268503228
3918859;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;01;13;2459,58268503228
3918859;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;01;13;2459,58268503228
3918860;1;1;1;90;1;1;2;1;2;2;2;2;2;2;5;15; ;10; ; ; ; ; ; ;2;01;13;2311,76972384705
3918860;1;2;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;15; ; ; ; ; ; ;2;01;13;2311,76972384705
3918860;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;2311,76972384705
3918860;1;6;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;01;13;2311,76972384705
3918861;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;1043,74498247032
3918861;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;10; ; ; ; ; ; ; ; ;2;01;13;1043,74498247032
3918861;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;1043,74498247032
3918862;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;2;01;13;1090,07571283651
3918863;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918863;1;2;1;90;1;1;2;1;1;2;2;2;2;2;5;15; ;10;14; ; ; ; ; ;2;01;13;789,725465327764
3918863;1;3;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;20; ; ; ; ; ; ;2;01;13;789,725465327764
3918863;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918863;1;7;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918864;1;1;1;90;1;1;2;1;2;2;2;2;2;2;6;7; ;5; ; ; ; ; ; ;2;01;13;1559,01474799595
3918864;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;01;13;1559,01474799595
3918864;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;14; ; ; ; ; ; ;2;01;13;1559,01474799595
3918864;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;1559,01474799595
3918864;1;5;1;90;2;1;2;1;2;2;2;2;2;2; ;6; ;3; ; ; ; ; ; ;2;01;13;1559,01474799595
3918865;1;1;1;90;1;1;2;2;2;2;2;2;2;2;3;25; ; ; ; ; ; ; ; ;2;01;13;1182,68513488862
3918865;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;01;13;1182,68513488862
3918866;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;2;01;13;1823,47870354476
3918866;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;20; ; ; ; ; ; ; ; ;2;01;13;1823,47870354476
3918867;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;1090,75649261967
3918868;1;1;1;90;1;1;1;2;2;2;2;2;2;2;6;10;7; ; ; ; ; ; ; ;2;01;13;2648,77941832926
3918868;1;2;1;90;1;1;2;1;2;2;2;2;2;2;4;25; ;35; ; ; ; ; ; ;2;01;13;2648,77941832926
3918868;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;01;13;2648,77941832926
3918868;2;1;2;90;2;1;2;1;2;2;2;2;2;2; ;8; ;12; ; ; ; ; ; ;2;01;13;2648,77941832926
3918868;2;2;2;90;2;1;2;1;2;2;2;2;2;2; ;15; ;35; ; ; ; ; ; ;2;01;13;2648,77941832926
3918869;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ;2;01;13;2151,61558926005
3918869;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;20; ; ; ; ; ; ;2;01;13;2151,61558926005
3918870;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;01;13;1893,41744637056
3918870;1;2;1;90;1;1;2;2;2;2;2;2;2;2;6;30; ; ; ; ; ; ; ; ;2;01;13;1893,41744637056
3918870;1;3;1;90;1;1;2;2;2;2;2;2;2;2;15;8; ; ; ; ; ; ; ; ;2;01;13;1893,41744637056
3918870;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;01;13;1893,41744637056
3918870;1;5;1;90;1;1;2;2;2;2;2;2;2;2;3;20; ; ; ; ; ; ; ; ;2;01;13;1893,41744637056
3918872;1;1;1;90;1;2;2;2;2;2;2;2;2;2;5; ; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918872;1;2;1;90;1;1;2;2;2;2;2;2;2;2;5;20; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918873;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;1090,75649261967
3918874;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ;2;01;13;2151,61558926005
3918874;1;2;1;90;1;1;2;1;2;2;2;2;2;2;5;15; ;20; ; ; ; ; ; ;2;01;13;2151,61558926005
3918875;1;1;1;90;1;1;2;2;2;2;2;2;2;2;6;8; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918875;1;2;1;90;1;1;2;2;2;2;2;2;2;2;15;35; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918876;1;1;1;90;1;1;2;1;2;2;2;2;2;2;5;14; ;5; ; ; ; ; ; ;2;01;13;1120,53500331302
3918876;1;2;1;90;1;1;2;1;2;2;2;2;2;2;7;5; ;7; ; ; ; ; ; ;2;01;13;1120,53500331302
3918876;1;3;1;90;1;1;2;1;2;2;2;2;2;2;7;21; ;21; ; ; ; ; ; ;2;01;13;1120,53500331302
3918877;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;2;01;13;1090,75649261967
3918880;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;15; ; ; ; ; ; ;2;01;13;1664,71034253158
3918880;1;2;1;90;1;1;2;1;2;2;2;2;2;2;3;10; ;10; ; ; ; ; ; ;2;01;13;1664,71034253158
3918880;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;15; ;30; ; ; ; ; ; ;2;01;13;1664,71034253158
3918880;1;4;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ;2;01;13;1664,71034253158
3918887;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;01;13;883,592031609784
3918887;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;15; ; ; ; ; ; ;2;01;13;883,592031609784
3918888;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;01;13;736,28627442385
3918888;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;25; ; ; ; ; ; ; ; ;2;01;13;736,28627442385
3918888;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;2;01;13;736,28627442385
3918890;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;2;01;13;983,506304800342
3918890;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;30; ; ; ; ; ; ; ; ;2;01;13;983,506304800342
3918890;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;2;01;13;983,506304800342
3918890;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;01;13;983,506304800342
3918891;1;1;1;90;1;1;2;2;2;2;2;2;2;2;8;10; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918891;1;2;1;90;1;1;2;2;2;2;2;2;2;2;3;10; ; ; ; ; ; ; ; ;2;01;13;789,725465327764
3918892;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;01;13;1109,79359898832
3918892;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;35; ; ; ; ; ; ;2;01;13;1109,79359898832
3918893;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;01;13;544,398224742336
3918893;1;2;1;90;2;1;2;1;2;2;2;2;2;1; ;30; ;20; ; ; ; ; ;4;2;01;13;544,398224742336
3918893;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;2;01;13;544,398224742336
3918893;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;2;01;13;544,398224742336
3918894;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;01;13;719,506892568971
3918894;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;25; ; ; ; ; ; ; ; ;2;01;13;719,506892568971
3918894;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;2;01;13;719,506892568971
3918895;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;6; ; ; ; ; ; ;2;01;13;1453,78119149002
3918895;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;20; ; ; ; ; ; ;2;01;13;1453,78119149002
3918895;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;14; ;7; ; ; ; ; ; ;2;01;13;1453,78119149002
3918895;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;01;13;1453,78119149002
3918895;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;01;13;1453,78119149002
3918895;1;6;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;1453,78119149002
3918896;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;4; ; ; ; ; ; ;2;01;13;1164,37082569604
3918896;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;25; ; ; ; ; ; ;2;01;13;1164,37082569604
3918896;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;01;13;1164,37082569604
3918897;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;01;13;544,398224742336
3918897;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;01;13;544,398224742336
3918897;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;544,398224742336
3918897;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;01;13;544,398224742336
