Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;p6269;Dpto;Fex_c_2011
3917486;1;1;1;10;1;1;1;2;1937;78;1;3;1; ; ;1;2;38700;2;2;2; ;1;0; ;2;0;01; ;17;1225,12913236739
3917486;1;2;1;10;2;2;1;5;1946;69;2;3;1; ; ;1;2;38700;2;1;2; ;3;3; ;2;3;01; ;17;1225,12913236739
3917487;1;1;1;10;1;1;1;11;1944;71;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;17;1527,83266097756
3917487;1;2;1;10;2;2;1;3;1955;60;2;3;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;17;1527,83266097756
3917487;1;3;1;10;3;1;1;7;1980;35;3;6;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;17;1527,83266097756
3917488;1;1;1;10;1;1;1;4;1967;48;1;6;1; ; ;1;3;80544;2;1;2; ;6;8;4;2;19;01; ;17;1812,91499972414
3917489;1;1;1;10;1;1;1;10;1973;42;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;17;2036,55826441796
3917489;1;2;1;10;2;2;1;1;1989;26;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;17;2036,55826441796
3917489;1;3;1;10;2;2;1;5;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;17;2036,55826441796
3917490;1;1;1;10;1;1;1;8;1950;65;1;4;1; ; ;1;2;77322;2;1;2; ;3;2; ;2;2;01; ;17;1372,52458934799
3917491;1;1;1;10;1;2;1;9;1965;50;1;5;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;17;1112,10852043667
3917491;1;2;1;10;1;1;1;2;1998;17;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;17;1112,10852043667
3917491;1;3;1;10;1;1;1;12;1930;85;5;5;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;17;1112,10852043667
3917491;1;4;1;10;4;1;1;7;1960;55;5;6;1; ; ;1;2;77322;2;1;2; ;3;4; ;2;4;01; ;17;1112,10852043667
3917492;1;1;1;10;1;1;1;9;1958;57;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;17;755,105735556983
3917492;1;2;1;10;2;2;1;2;1978;37;2;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;17;755,105735556983
3917492;1;3;1;10;3;2;1;4;1994;21;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;17;755,105735556983
3917493;1;1;1;10;1;1;1;4;1954;61;1;2;1; ; ;1;5; ;2;1;2; ;4;7; ;2;7;01; ;17;755,105735556983
3917493;1;2;1;10;2;2;1;7;1964;51;2;2;1; ; ;1;5; ;1;1;2; ;3;5; ;2;5;01; ;17;755,105735556983
3917493;1;3;1;10;3;2;1;3;1995;20;3;6;1; ; ;3; ; ;1;1;2; ;5;11;2;2;11;01; ;17;755,105735556983
3917493;1;4;1;10;4;2;1;8;1996;19;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;17;755,105735556983
3917493;1;5;1;10;2;2;1;4;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;17;755,105735556983
3917494;1;1;1;10;1;2;1;8;1945;70;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;17;1665,51954274354
