DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;DPTO;ORDEN;AREA;fex_c_2011
1030226;1;7;4;1;1;1;1;1;3;3; ; ; ; ;1057000;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;952,390771313127
1030227;1;8;3;1;1;1;1;1;3;1; ; ;150000000;900000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;942,893932165622
1030228;1;4;2;1;1;1;1;1;1;1; ; ;110000000;600000; ;1;1;2;1;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;1041,908728277
1030229;1;5;3;1;1;1;1;1;4;3; ; ; ; ;450000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;1;1;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;936,578239585263
1030230;1;3;2;1;1;1;1;1;1;3; ; ; ; ;220000;1;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;1;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1016,70444934317
1030231;1;3;1;1;1;1;1;1;4;3; ; ; ; ;160000;1;1;2;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1032,4118891295
1030235;1;5;1;1;1;1;1;1;3;1; ; ;150000000;900000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;1;1;1;1;5;2;1;01;1;05;1;05;1032,4118891295
1030236;1;6;3;1;1;1;1;1;3;1; ; ;190000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;5;2;1;01;1;05;1;05;995,71078370122
1030237;1;6;3;1;1;1;1;1;4;1; ; ;99;900000; ;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;2;2;2;1;1;1;5;1;2;1;1;1;4;2;1;01;1;05;1;05;843,486963164815
1030238;1;6;1;1;1;1;1;1;3;3; ; ; ; ;800000;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;2;1;4;1;1;1;1;1;5;2;1;01;1;05;1;05;1032,4118891295
