DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;P6290;P6290S1;DPTO;fex_c_2011
1035895;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;2103,07579211077
1035895;1;2;1;50;2;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;2103,07579211077
1035895;1;3;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;2103,07579211077
1035896;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;2104,49942599233
1035896;1;2;1;50;2;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;2104,49942599233
1035896;1;3;1;50;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;2104,49942599233
1035896;1;4;1;50;2;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;2104,49942599233
1035897;1;1;1;50;2;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;23;1694,56379452837
1035897;1;2;1;50;2;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ; ; ;23;1694,56379452837
1035897;1;3;1;50;2;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;1694,56379452837
1035897;1;4;1;50;2;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;1694,56379452837
1035897;1;5;1;50;2;5;6;DESCANSANDO POR LA EDAD;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;1694,56379452837
1035898;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;1892,71633970279
1035915;1;1;1;50;2;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;2348,92074581671
1035915;1;2;1;50;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;2348,92074581671
1035916;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;3410,6958613566
1035916;1;2;1;50;2;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ; ; ;23;3410,6958613566
1035916;1;3;1;50;2;3;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;23;3410,6958613566
1035916;1;4;1;50;2;4;6;VIENDO TELEVISION;2;2;2;1; ; ; ; ; ; ; ;1;1; ;23;3410,6958613566
1035916;1;5;1;50;2;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;3410,6958613566
1035916;1;6;1;50;2;6;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;3410,6958613566
1035917;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;3067,3473847901
1035917;1;2;1;50;2;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;23;3067,3473847901
1035917;1;3;1;50;2;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1; ;23;3067,3473847901
1035917;1;4;1;50;2;4;4; ;2;2;2;2;1;2; ;2; ;2; ; ; ; ;23;3067,3473847901
1035917;1;6;1;50;2;2;6;ES ESPECIAL;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;3067,3473847901
1035917;1;7;1;50;2;2;3; ;2;2;2;2;1;7; ;2; ;2; ; ; ; ;23;3067,3473847901
1035918;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23;1920,99561059858
1035918;1;2;1;50;2;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ; ; ;23;1920,99561059858
1035918;1;3;1;50;2;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ; ; ;23;1920,99561059858
1038299;1;1;1;50;2;1;6;ES PENSIONADO;1; ; ; ; ; ; ; ; ; ; ; ; ; ;15;2004,72343048727
1038300;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1496,71970058419
1038300;1;2;1;50;2;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1496,71970058419
1038300;1;3;1;50;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1496,71970058419
1038300;1;4;1;50;2;4;4; ;2;2;2;2;1;10; ; ; ; ; ; ; ; ;15;1496,71970058419
1038301;1;1;1;50;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1839,79480788945
1038301;1;2;1;50;2;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ;15;1839,79480788945
1038301;1;3;1;50;2;3;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1839,79480788945
1038302;1;1;1;50;2;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1517,33287128185
