DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1035895;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2103,07579211077
1035895;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2103,07579211077
1035896;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2104,49942599233
1035896;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;2104,49942599233
1035897;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1694,56379452837
1035897;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1694,56379452837
1035897;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1694,56379452837
1035897;1;5;1;80;2;1;3;3; ;2; ;2; ; ; ; ;8;2;1;23;1694,56379452837
1035915;1;1;1;80;2;1;4;5; ;2; ;2; ; ; ; ;8;2;1;23;2348,92074581671
1035916;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;3410,6958613566
1035916;1;5;1;80;2;1;1;1; ;2; ;2; ; ; ; ;2;2;1;23;3410,6958613566
1035916;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;3410,6958613566
1035917;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;3067,3473847901
1035917;1;6;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;3067,3473847901
1035917;1;7;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;3067,3473847901
1035918;1;2;1;80;2;1;2;2; ;2; ;2; ; ; ; ;9;2;1;23;1920,99561059858
1035918;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;23;1920,99561059858
