DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4307245;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;04;68;3115,58711691111
4307247;1;3;1;80;2;1;1;4; ;2; ; ;2; ; ; ;2; ;1;04;68;1910,35908374635
4307252;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;04;68;908,048558906049
4307252;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;04;68;908,048558906049
4307256;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;04;68;1619,18475556855
4307262;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;04;68;829,995723368617
4307263;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;04;68;1241,37365245915
4307263;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;04;68;1241,37365245915
4307264;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;04;68;829,995723368617
4307265;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;04;68;1530,98453335235
4307265;1;5;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;04;68;1530,98453335235
4307265;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;1530,98453335235
4307266;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;04;68;2065,28995508574
4307267;1;3;1;80;2;1;3;2; ;2; ; ;2; ;2; ;2; ;1;04;68;1742,95244192074
4307267;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;1742,95244192074
4307267;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;1742,95244192074
4307268;1;3;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;04;68;1227,54121685378
4307269;1;2;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;04;68;786,525059840977
4307269;1;4;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;04;68;786,525059840977
4307269;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;786,525059840977
4307269;1;6;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;786,525059840977
4307271;1;2;1;80;2;1;1;9;POR EMBARAZO;2; ; ;12;POR EMBARAZO;2; ;2; ;1;04;68;778,896779227779
4307271;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;778,896779227779
4307271;1;4;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;04;68;778,896779227779
4307274;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;1498,98115465582
4307275;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;04;68;2323,32495075866
4307276;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;04;68;1604,93361851159
4307276;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;04;68;1604,93361851159
4307277;1;2;1;80;2;1;1;9;CAMBIO DE RESIDENCIA;2; ; ;12;POR FALTA DE DOCUMENTOS DE RESIDENTE EN EL PAIS;2; ;2; ;1;04;68;782,177760330527
4307278;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;04;68;891,386920481615
4307278;1;2;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;04;68;891,386920481615
4307280;1;3;1;80;2;1;1;9;POR EMBARAZO;2; ; ;9; ;2; ;2; ;1;04;68;778,896779227779
4307281;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;04;68;1604,93361851159
4307281;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;04;68;1604,93361851159
4307282;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;04;68;1087,60322556529
4307283;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;04;68;1182,81165816522
4307284;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;920,196583739674
4307285;1;2;1;80;2;1;1;2; ;2; ; ;2; ; ; ;2; ;1;04;68;1041,55376872439
4307285;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;04;68;1041,55376872439
4307286;1;2;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;04;68;908,048558906049
