DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1118568;1;1;1;70;05;2;48;1; ;2;2;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;496900;2;39;97;51;1;1;5141;05;894,640628697889
1118573;1;2;1;70;05;6;60;4; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;41;38;64;1;1;6421;05;740,730888723297
1118578;1;1;1;70;05;16;40;4; ;2;78;5; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;95;45;1;2;4521;05;1113,42235015191
1118578;1;4;1;70;05;16;48;1; ;2;16;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;85;1;2;8515;05;1113,42235015191
1118582;1;3;1;70;05;3;48;1; ;2;8;1; ;6;2; ; ; ; ; ; ; ; ;1; ;ESTUDIANDO;2; ;2;53;19;24;1;1;2411;05;777,005964836499
1118586;1;2;1;70;05;4;50;4; ;2;2;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;130000;2;79;79;18;1;1;1810;05;840,609324970966
1118589;1;2;1;70;05;72;48;1; ;2;72;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;44;64;1;2;6421;05;921,107254631105
1118593;1;3;1;70;05;24;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;2; ;05;987,402471305273
1118600;1;9;1;70;05;24;48;1; ;2;104;1; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;53;55;1;2;5521;05;1001,31720833323
1118606;1;1;1;70;05;12;50;4; ;2;12;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;05;1098,15153447131
1118619;1;1;1;70;05;12;48;1; ;2;12;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;919,272751637891
1118619;1;2;1;70;05;4;48;1; ;2;5;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;95;95;45;1;1;4521;05;919,272751637891
1118619;1;3;1;70;05;52;24;1; ;2;20;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;80;1;2;8060;05;919,272751637891
1118637;1;3;1;70;05;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;05;945,846878151935
1118637;2;1;2;70;05;12;48;1; ;2;12;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;945,846878151935
1118639;1;2;1;70;05;4;48;1; ;2;4;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;05;1025,70812640413
1118649;1;2;1;70;05;52;48;1; ;2;52;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8060;05;966,684716404241
1118654;1;1;1;70;05;4;48;1; ;2;4;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;95;95;45;1;1;4521;05;970,534329385206
1118656;1;1;1;70;05;12;48;1; ;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;97;18;1;1;1810;05;1060,09941346402
1118660;1;1;1;70;05;24;48;4; ;2;24;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;2;4552;05;890,791015716924
1118665;1;1;1;70;05;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;41;41;50;1;1;5011;05;963,034938778827
1118673;1;3;1;70;05;32;48;1; ;2;32;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;81;81;36;1;2;3611;05;892,006889108248
1118681;1;2;1;70;05;8;48;1; ;2;104;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;11;32;52;1;1;5235;05;1025,70812640413
