DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1125659;1;3;1;70;2;20;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;15;1261,50029129135
1125663;1;3;1;70;2;20;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;15;2613,34638085743
1125694;1;3;1;70;2;24;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;84; ; ;1;2; ;15;2573,38793524415
1125700;1;3;1;70;2;2;48;1; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;45;54;95;1;1;9500;15;1763,92785980328
1125729;1;5;1;70;2;6;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;1; ;15;1835,6712293415
1125751;1;1;1;70;2;2;40;8; ;2;2;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;62;62;01;1;1;0121;15;723,756364449549
1125770;1;3;1;70;2;99;48;1; ;2;48;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;62;01;1;2;0118;15;1597,76623100634
1125773;1;3;1;70;2;99;48;8; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;2; ;15;1608,70062650473
1125841;1;2;1;70;2;1;40;8; ;2;1;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;62;62;01;1;1;0121;19;1040,96719325781
1125841;1;4;1;70;2;1;40;8; ;2;1;8; ;3;3; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;62;62;01;1;1;0121;19;1040,96719325781
1125876;1;11;1;70;2;12;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;19;1756,54317602865
1125920;1;4;1;70;2;8;48;8; ;2;9;8; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0140;19;1976,61359690205
1125974;1;2;1;70;2;12;48;3; ;2;12;1; ;9;9;DE SU BOLSILLO; ; ; ; ; ; ;1; ; ; ;2; ;2;54;21;85;1;1;8532;23;3946,08765147556
1126000;1;4;1;70;2;8;45;3; ;2;64;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;23;4329,47446947307
1126007;1;1;1;70;2;8;40;8; ;2;8;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;62;62;01;1;1;0121;23;3608,72920155892
1126009;1;3;1;70;2;8;48;1; ;2;8;8; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;62;01;1;1;0123;23;1928,21146619077
1126019;1;3;1;70;2;16;40;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;95;45;1;2;4521;23;2410,93615405699
1126378;1;3;1;70;2;16;40;1; ;2;16;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;58;75;1;2;7522;54;1544,98346093909
1126378;1;4;1;70;2;3;48;1; ;2;3;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;85;62;01;1;1;0121;54;1544,98346093909
1126383;1;3;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;54;1596,22133645401
1126697;1;1;1;70;2;8;48;1; ;2;12;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;63;2167,0924291047
1126698;1;3;1;70;2;12;50;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0113;63;1904,92649127386
1126698;1;4;1;70;2;20;50;1; ;2;150;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;97;51;1;2;5125;63;1904,92649127386
1126698;1;5;1;70;2;3;50;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;61;61;01;1;1;0113;63;1904,92649127386
1126700;1;2;1;70;2;20;40;1; ;2;36;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;30;11;1;2;1110;63;1199,8229988817
1126709;1;2;1;70;2;4;50;3; ;2;100;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;61;01;1;1;0111;63;1174,40940099458
1126772;1;1;1;70;2;48;50;3; ;2;48;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;2;9500;63;2639,05919651127
1126772;1;2;1;70;2;3;48;1; ;2;3;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;62;01;1;1;0112;63;2639,05919651127
1126783;1;4;1;70;2;2;48;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;55;1;1;5512;63;1488,9061130729
1126825;1;1;1;70;2;2;60;1; ;2;32;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;55;1;1;5511;63;1954,02184417626
1126828;1;4;1;70;2;10;72;2; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;58;61;01;1;1;0117;63;1301,09262358982
1126835;1;1;1;70;2;8;42;4; ;2;52;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;74;1;1;7493;63;1885,09422484244
1126892;1;2;1;70;2;4;48;3; ;2;4;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;130000;2;54;62;01;1;1;0140;66;1003,63910334403
1126898;1;1;1;70;2;20;48;3; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;66;1062,23553654776
1126901;1;3;1;70;2;52;56;1; ;2;12;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5522;66;831,00249430528
1126908;1;2;1;70;2;12;54;1; ;2;12;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;81;36;1;1;3611;66;591,333613390337
1126911;1;3;1;70;2;40;60;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;66;1393,57230460786
1126913;1;3;1;70;2;20;48;1; ;2;20;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;70;18;1;2;1810;66;945,861716213808
1126916;1;1;1;70;2;52;60;1; ;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;95;95;45;1;2;4521;66;635,63842889331
1126916;1;2;1;70;2;12;18;3; ;2;32;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;66;635,63842889331
1128775;1;2;1;70;2;8;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;62;01;1;1;0121;25;2794,07684671865
1128779;1;3;1;70;2;2;48;1; ;2;2;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;496990;2;62;60;01;1;1;0116;25;6608,19361099323
1128790;1;2;1;70;2;2;48;1; ;2;2;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;1;496990;2;37;37;64;1;1;6412;25;1304,0019488675
1128796;1;2;1;70;2;8;50;1; ;2;12;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0112;25;2271,272200982
1128798;1;2;1;70;2;8;40;1; ;2;24;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;54;95;1;1;9500;25;2852,83448899175
1128802;1;3;1;70;2;3;40;1; ;2;3;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;98;98;60;1;1;6041;25;2459,4725505539
1128802;1;6;1;70;2;16;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;2; ;25;2459,4725505539
1128805;1;1;1;70;2;2;48;1; ;2;2;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;50;53;55;1;1;5521;25;2692,88911995566
1128805;1;2;1;70;2;24;48;1; ;2;102;1; ;4;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;38;64;1;2;6421;25;2692,88911995566
1128807;1;1;1;70;2;4;40;5; ;2;4;5; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;95;95;45;1;1;4521;25;1570,61498363203
1128814;1;1;1;70;2;120;48;1; ;2;240;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;50;50;55;1;2;5521;11;1589,06010073351
1128814;1;2;1;70;2;12;48;1; ;2;12;1; ;6;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;15;21;18;1;1;1810;11;1589,06010073351
1128814;1;3;1;70;2;4;48;1; ;2;6;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;18;1;1;1810;11;1589,06010073351
1128814;1;4;1;70;2;20;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;11;1589,06010073351
1128828;1;4;1;70;2;2;48;1; ;2;2;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;1;496900;2;62;62;01;1;1;0112;25;2903,00981728028
1128836;1;3;1;70;2;12;36;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;11;796,852109031634
1128841;1;2;1;70;2;156;48;1; ;2;156;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;39;63;1;2;6340;25;2466,52617295843
1128844;1;3;1;70;2;102;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;37; ; ;1;2; ;25;1931,30509989149
1128855;1;1;1;70;2;8;48;1; ;2;8;1; ;8;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;70;1;1;7010;25;4212,02096642619
1128876;1;2;1;70;2;4;48;1; ;2;8;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;90;25;1;1;2529;25;3502,42687853486
1128893;1;3;1;70;2;6;48;1; ;2;6;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8045;25;2248,82062615587
1128900;1;2;1;70;2;6;48;3; ;2;288;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;25;4067,20997264977
1128901;1;1;1;70;2;3;48;4; ;2;3;5; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;95;95;45;1;1;4521;25;2229,32047076221
1129302;1;3;1;70;2;16;48;1; ;2;16;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;74;1;2;7492;73;1789,82816627557
1129303;1;4;1;70;2;16;48;1; ;2;16;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;15;1;2;1551;73;713,433848104276
1129304;1;3;1;70;2;13;48;1; ;2;15;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;36;36;52;1;1;5225;73;1855,20014836584
1129305;1;3;1;70;2;5;48;8; ;2;6;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0115;73;1448,46120876587
1129310;1;3;1;70;2;5;48;1; ;2;6;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;71;1;1;7121;73;796,101271029978
1129310;1;6;1;70;2;8;48;1; ;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;95;45;1;1;4521;73;796,101271029978
1129311;1;3;1;70;2;5;48;8; ;2;5;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0118;73;1427,32507193823
1129346;1;4;1;70;2;20;40;1; ;2;24;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;65;1;2;6593;73;1412,58512435748
1129346;1;5;1;70;2;20;40;1; ;2;20;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;58;11;1;2;1110;73;1412,58512435748
1129357;1;1;1;70;2;2;40;3; ;2;2;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;54;54;95;1;1;9500;73;982,811395296738
1129357;2;2;2;70;2;20;25;3; ;2;24;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;73;982,811395296738
1129388;1;2;1;70;2;20;60;1; ;2;24;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;11;1;2;1110;73;1301,16593277401
1129389;1;3;1;70;2;12;60;1; ;2;16;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;03;15;1;1;1541;73;1488,21774919137
1129405;1;5;1;70;2;12;60;1; ;2;15;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;73;992,559408093867
1130263;1;4;1;70;2;12;55;8; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0140;18;397,285188635355
1130267;1;4;1;70;2;3;60;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;18;364,52902529385
1130269;1;3;1;70;2;8;60;3; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;18;332,603291075446
1130294;1;2;1;70;2;8;21;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;18;508,480840767778
1130301;1;3;1;70;2;8;40;3; ;2;15;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;18;559,324576114696
1130336;1;4;1;70;2;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;60; ; ;1;1; ;18;544,825696058627
1130344;1;5;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;18;532,242849389416
1130344;1;7;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;18;532,242849389416
1130350;1;4;1;70;2;4;48;8; ;2;12;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0121;18;346,361508910065
1130357;1;3;1;70;2;8;50;4; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;41; ; ;1;1; ;18;393,11883678775
1130368;1;2;1;70;2;12;48;3; ;2;96;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;18;1262,64688565276
1131254;1;1;1;70;2;2;48;8; ;2;2;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;62;62;01;1;1;0115;54;1685,47418986498
1131256;1;2;1;70;2;16;24;3; ;2;64;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;54;2537,57518358774
1131294;1;3;1;70;2;24;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;54;1706,67625515113
1132252;1;3;1;70;2;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;08;1353,41163053434
1132256;1;3;1;70;2;8;48;3; ;2;8;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;895,855161745944
1132335;1;2;1;70;2;50;48;2; ;2;50;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;2;8041;08;1464,55114121456
1132340;1;5;1;70;2;3;48;3; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;1089,89391044115
1133144;1;3;1;70;2;53;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;27;1009,01630627336
1133152;1;2;1;70;2;24;48;1; ;2;6;3; ;1;1; ; ; ; ; ; ; ;1; ; ; ;2; ;2;45;54;95;1;2;9500;27;865,990365852366
1133164;1;3;1;70;2;106;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;27;554,074687173231
1133212;1;3;1;70;2;53;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;27;961,125835157262
1133213;1;2;1;70;2;16;60;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;27;918,896766302982
1133221;1;2;1;70;2;106;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;27;838,331355829529
1133224;1;2;1;70;2;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;1; ;27;1189,77643948038
1133230;1;8;1;70;2;106;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;27;590,088599926794
1133235;1;1;1;70;2;3;60;3; ;2;8;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;27;1160,65792066896
1133435;1;2;1;70;2;3;48;1; ;2;3;8; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;53;62;01;1;1;0115;50;1213,60809557866
1133446;1;1;1;70;2;13;40;4; ;2;13;5; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0118;50;1350,9607987885
1133549;1;1;1;70;2;52;48;1; ;2;104;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;58;70;1;2;7020;50;1561,82915461277
1133568;1;2;1;70;2;4;48;4; ;2;52;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;33;52;1;1;5223;50;714,920068066091
1133750;1;2;1;70;2;8;40;4; ;2;106;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;54;95;1;1;9500;52;1562,53319695181
1133766;1;2;1;70;2;12;40;4; ;2;424;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;54;95;1;1;9500;52;1345,72185392841
1133781;1;3;1;70;2;15;40;1; ;2;8;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;97;63;1;2;6310;52;3548,67290591257
1133781;1;6;1;70;2;53;36;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;52;3548,67290591257
1133790;1;2;1;70;2;20;40;1; ;2;20;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;85;1;2;8532;52;2363,67099107204
1133795;1;1;1;70;2;53;40;4; ;2;53;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0140;52;977,286755889876
1133795;1;5;1;70;2;106;36;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;52;977,286755889876
1133804;1;2;1;70;2;12;40;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;52;1311,85461674913
1133807;1;2;1;70;2;40;20;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;2; ;52;1765,19742249926
1133818;1;2;1;70;2;5;40;4; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;160000;2;61;61;01;1;1;0140;52;2258,41912711532
1133852;1;2;1;70;2;160;40;2; ;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;56;93;1;2;9301;52;2240,59661413844
1133865;1;4;1;70;2;26;40;4; ;2;13;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0140;52;2092,57505655642
1133867;1;1;1;70;2;52;48;3; ;2;17;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;52;1230,36982507522
1133867;1;3;1;70;2;52;48;4; ;2;20;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;2;0111;52;1230,36982507522
