DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;DPTO;AREA;fex_c_2011
1118567;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;05;05;883,029183464348
1118568;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;894,640628697889
1118568;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;28; ;40; ; ; ; ; ; ;1;05;05;894,640628697889
1118570;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;743,67996829847
1118570;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;05;05;743,67996829847
1118570;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;05;05;743,67996829847
1118570;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;743,67996829847
1118570;1;5;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;05;05;743,67996829847
1118571;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;865,668867198622
1118572;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;980,104714471528
1118572;1;2;1;90; ;2;1;2;1;2;2;2;2;2;1; ;35; ;18; ; ; ; ; ;2;1;05;05;980,104714471528
1118573;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;40; ;24; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;4;1;90; ;2;1;2;1;2;2;2;2;2;2; ;7; ;35; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;5;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;6;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;8;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;28; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;9;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;18; ; ; ; ; ; ;1;05;05;740,730888723297
1118573;1;10;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;740,730888723297
1118574;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;970,534329385206
1118577;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;945,906919827572
1118577;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;05;05;945,906919827572
1118577;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;1;05;05;945,906919827572
1118578;1;1;1;90; ;2;2;2;2;1;2;2;2;2;2; ; ; ; ;50; ; ; ; ; ;1;05;05;1113,42235015191
1118578;1;2;1;90; ;2;1;2;2;2;1;2;2;2;2; ;48; ; ; ;3; ; ; ; ;1;05;05;1113,42235015191
1118578;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1113,42235015191
1118578;1;4;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;1113,42235015191
1118580;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;993,340284512299
1118580;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;35; ; ; ; ; ; ; ; ;1;05;05;993,340284512299
1118580;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;993,340284512299
1118581;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;822,923280054853
1118581;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;05;05;822,923280054853
1118582;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;05;05;777,005964836499
1118582;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;05;05;777,005964836499
1118582;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;05;05;777,005964836499
1118582;1;4;1;90; ;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;05;05;777,005964836499
