DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4284682;1;2;1;10;2;2;6;2004;12;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;03;63;2890,78360145432
4284682;1;3;1;10;1;1;9;2009;7;3; ;1; ; ;3; ; ;1;1;1;1;3;1; ; ;2;1;03;63;2890,78360145432
4284682;1;4;1;10;1;1;6;2012;4;3; ;1; ; ;3; ; ;1;2;2; ;1;0; ; ;2;0;03;63;2890,78360145432
4284683;1;1;1;10;1;1;3;1943;74;1;5;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;03;63;2425,1818471862
4284684;1;1;1;10;1;1;8;1962;54;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;63;3095,58960074898
4284684;1;2;1;10;2;2;6;1973;43;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;03;63;3095,58960074898
4284684;1;3;1;10;3;1;10;1996;20;3;6;1; ; ;1;1;29500;2;1;2; ;4;6; ; ;2;6;03;63;3095,58960074898
4284684;1;4;1;10;4;1;2;2003;14;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;03;63;3095,58960074898
4284685;1;1;1;10;1;1;8;1976;40;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;63;2560,37443409806
4284685;1;2;1;10;2;2;1;1980;37;2;3;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;03;63;2560,37443409806
4284685;1;3;1;10;3;1;4;2001;15;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;03;63;2560,37443409806
4284685;1;4;1;10;2;2;8;2004;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;63;2560,37443409806
4284685;2;1;2;10;1;1;1;1995;22;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;03;63;2560,37443409806
4284685;2;2;2;10;2;2;8;1998;18;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;63;2560,37443409806
4284685;2;3;2;10;2;1;1;2017;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ;2; ;03;63;2560,37443409806
4284686;1;1;1;10;1;1;12;1970;46;1;6;1; ; ;1;1;64000;2;1;2; ;3;2; ; ;2;2;03;63;2545,57852345035
4284686;1;2;1;10;2;1;2;1960;57;9;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;63;2545,57852345035
4284687;1;1;1;10;1;1;10;1969;47;1;2;2;1;2; ; ; ;2;2;2; ;1;0; ; ;2;0;03;63;2112,19922978598
4284687;1;2;1;10;2;2;10;1966;50;2;2;2;1;2; ; ; ;2;1;2; ;3;4; ; ;2;4;03;63;2112,19922978598
4284687;1;3;1;10;3;1;11;1997;19;3;6;2;1;2; ; ; ;2;1;2; ;4;9; ; ;2;9;03;63;2112,19922978598
4284687;1;4;1;10;2;2;11;2004;12;3;6;2;1;2; ; ; ;2;1;1;1;4;0; ; ;2;5;03;63;2112,19922978598
4284688;1;1;1;10;1;1;1;1972;45;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;03;63;2702,75958022544
4284688;1;2;1;10;2;2;6;1977;39;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;63;2702,75958022544
4284688;1;3;1;10;3;1;2;1995;22;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;63;2702,75958022544
4284689;1;1;1;10;1;1;10;1960;56;1;5;1; ; ;1;4; ;2;1;2; ;3;5; ; ;2;5;03;63;2425,1818471862
4284699;1;1;1;10;1;1;12;1959;57;1;2;1; ; ;1;4; ;2;1;2; ;3;5; ; ;2;5;03;63;960,866160506655
