Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
327288;2;3;70;1;40;8; ;1;1;2;96;3; ;1;2;4; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;56000;1;250000;2;62;54;9500;95;19;2137,4772342746
327827;2;2;70;1;48;1; ;1;1;2;480;1; ;2;2;3; ;7; ;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;45;15;6423;64;63;674,312906523141
330852;2;3;70;4;42;1; ;1;1;2;4;1; ;3;2;8; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;25000;1;600000;2;95;95;4521;45;70;2745,56403245973
330855;2;4;70;8;40;2; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;70;2618,75792922481
330855;2;5;70;156;40;1; ;2;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;33; ; ; ;70;2618,75792922481
330855;2;6;70;2;48;1; ;1;1;2;4;1; ;4;2;2; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;95;95;4530;45;70;2618,75792922481
330857;2;4;70;24;40;3; ;1;1;2;4;3; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;54;54;9500;95;70;3660,32951387207
330859;2;1;70;4;40;8; ;1;1;2;5;8;.;3;2;7; ;6; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;62;62;0129;01;70;2966,63269116987
330871;2;1;70;7;48;1; ;1;1;2;8;1; ;6;1; ;.;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;2400000;2;62;95;4521;45;25;1801,93243260621
330871;2;3;70;20;40;1; ;1;1;2;25;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;2;45;45;5522;55;25;1801,93243260621
