DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
4658799;1;2;1;70;1;26;36;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;59; ; ;1;2;07; ;68;1836,87171037054; 
4658800;1;3;1;70;1;12;48;2; ;2;12;4; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;12;12;75;1;1;07;7512;68;1083,97672105339; 
4658806;1;3;1;70;1;8;48;1; ;2;26;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;16;16;74;1;1;07;7430;68;2600,36404190777; 
4658814;1;2;1;70;1;1;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;83;33;93;1;1;07;9303;68;2724,63211935548; 
4658820;1;3;1;70;1;4;48;1; ;2;20;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;360261;2; ;03;45;52;1;1;07;5241;68;2369,07416357503; 
4658823;1;1;1;70;1;20;48;1; ;2;20;1; ;8;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;39;39;74;1;2;07;7414;68;2544,26179676228; 
4658830;1;2;1;70;1;12;20;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;13;45;52;1;1;07;5233;76;2382,11340435293; 
4658831;1;2;1;70;1;8;48;1; ;2;8;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;95;95;45;1;1;07;4521;76;2410,8961328736; 
4658839;1;1;1;70;1;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;95;71;13;1;1;07;1320;76;2313,49918397792; 
4658841;1;2;1;70;1;4;48;1; ;2;4;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;40;45;52;1;1;07;5211;76;1874,21153611253; 
4658849;1;1;1;70;1;12;84;1; ;2;16;1; ;9;1;5; ; ;1; ; ; ; ; ; ; ; ;2; ;780000;1;2;98;58;74;1;1;07;7492;76;2127,06448453214; 
4658850;1;2;1;70;1;8;48;1; ;2;16;1; ;6;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;33;33;51;1;1;07;5125;76;2351,40640106429; 
4658858;3;1;3;70;1;20;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781000;2; ;81;99;51;1;2;07;5155;05;1463,39054505098;05
4658861;1;1;1;70;1;32;48;4; ;2;56;4; ;1;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;781242;1;4;85;85;45;1;2;07;4542;05;970,53026691869;05
