DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;RABAND;FT;DPTO;fex_c_2011
4658798;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1821,74876678606
4658798;1;2;1;50; ;1; ; ;1;6;VACACIONES ESCOLARES;2;2;2;2;2; ; ; ; ; ; ; ;07; ;1;68;1821,74876678606
4658799;1;1;1;50; ;1; ; ;1;6;VACACIONES LABORALES;2;1; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1836,87171037054
4658799;1;2;1;50; ;1; ; ;2;6;VACACIONES;2;2;2;2;1;2; ;2; ;1;6;1;07;1;1;68;1836,87171037054
4658799;1;3;1;50; ;1; ; ;3;6;DESCANSANDO POR VEJEZ;2;2;2;2;2; ; ; ; ; ; ; ;07; ;1;68;1836,87171037054
4658799;1;4;1;50; ;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1836,87171037054
4658800;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1083,97672105339
4658800;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1083,97672105339
4658800;1;3;1;50; ;1;3; ;3;2; ;2;2;2;1; ; ; ; ; ; ; ;1;07; ;1;68;1083,97672105339
4658800;1;4;1;50; ;1; ; ;4;6;CUIDAR DE SU MADRE;2;2;2;2;1;10; ; ; ; ; ; ;07;2;1;68;1083,97672105339
4658800;1;5;1;50; ;1; ; ;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1083,97672105339
4658801;1;1;1;50; ;1; ; ;1;6;DESCANSANDO POR VEJEZ;2;2;2;2;2; ; ; ; ; ; ; ;07; ;1;68;2153,57502207123
4658801;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;2153,57502207123
4658801;1;3;1;50; ;1; ; ;2;6;VACACIONES ESCOLARES;2;2;2;2;2; ; ; ; ; ; ; ;07; ;1;68;2153,57502207123
4658801;1;4;1;50; ;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;2153,57502207123
4658801;1;5;1;50; ;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;2153,57502207123
4658802;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1345,64855872705
4658802;1;2;1;50; ;1; ; ;2;6;VAGO;2;2;2;2;2; ; ; ; ; ; ; ;07; ;1;68;1345,64855872705
4658802;1;4;1;50; ;1; ; ;4;4; ;1; ; ; ; ; ; ; ; ; ; ; ;07; ;1;68;1345,64855872705
4658803;1;1;1;50; ;1; ; ;1;6;CAPACITACIONES DE JUNTA DE ACCION COMUNAL;2;2;2;2;2; ; ; ; ; ; ; ;07; ;1;68;1083,97672105339
4658803;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;07; ;1;68;1083,97672105339
4658803;1;3;1;50; ;1; ; ;3;6;VACACIONES UNIVERSITARIAS;2;2;2;2;1;12; ; ; ; ; ; ;07;2;1;68;1083,97672105339
