DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5225576;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,3;05;2395,97753093601
5225576;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;2395,97753093601
5225577;1;2;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;05;5896,40354006172
5225578;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;05;3233,18201599458
5225579;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;05;4867,10132879738
5225580;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;6638,61703694259
5225580;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;6638,61703694259
5225580;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;6638,61703694259
5225580;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;6638,61703694259
5225583;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;3233,18201599458
5225585;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,2;05;6000,63798019992
5225587;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;7421,12813501055
5225598;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;4212,22990389744
5225598;1;4;1;80;2;1;3; ;2; ; ;12;ESTA EN EMBARAZO;2; ;2; ; ; ; ;2;1;09;1,3;05;4212,22990389744
5225599;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;05;3806,3726906348
5225600;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,3;05;6391,82592374621
5225600;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;6391,82592374621
5225601;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;3184,08127886121
5225602;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,3;05;4712,34773215409
5225603;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;3908,31536046809
5225603;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;3908,31536046809
5225603;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;3908,31536046809
5225603;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;3908,31536046809
5225604;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;05;3651,61909399151
5225606;1;1;1;80;2;1;9;REDUCION DE LA ACTIVIDAD ECONOMICA;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;05;4119,42174226542
5225606;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;48;800000;2;1;09; ;05;4119,42174226542
5225607;1;2;1;80;2;1;7; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;05;5174,05191863544
5225607;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;5174,05191863544
5225607;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;5174,05191863544
5225607;1;5;1;80;2;1;1; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;05;5174,05191863544
5225609;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;4806,94185215569
5225609;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;4806,94185215569
5225618;1;2;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,4;05;2350,74898121138
5225618;1;4;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;05;2350,74898121138
5225619;1;2;1;80;2;1;3; ;1; ;3;1; ;2; ;2; ;1;48;877803;2;1;09;1,4;05;4762,86688865917
5225620;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;40;877803;2;1;09;1,4;05;3342,37673384854
5225621;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;2969,16820557624
5225622;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;05;2648,86710592495
5225622;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;40;98;2;1;09; ;05;2648,86710592495
5225622;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;05;2648,86710592495
5225623;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;40;877803;2;1;09;1,3;05;4554,05227716676
5225624;1;4;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ;2; ;300000;2;1;09;1,2;05;4806,94185215569
5225627;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;12;300000;2;1;09; ;05;4554,05227716676
5225631;1;7;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;2; ;98;2;1;09;1,4;05;4382,4063123662
5225806;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;48;300000;2;1;09;1,4;41;806,184008040305
5225810;1;2;1;80;2;1;1; ;1; ;1;1; ;1; ;2; ;1;48;1200000;2;1;09;1,4;41;1033,29960123661
5225881;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;41;1005,26701625725
5225881;1;6;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;1005,26701625725
5225884;1;2;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,2;41;819,673859371035
5225884;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;41;819,673859371035
5225884;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;41;819,673859371035
5225885;1;1;1;80;2;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;1,4;41;818,820266469352
5225886;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;931,439371140791
5225886;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;41;931,439371140791
5225886;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;41;931,439371140791
5226072;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;880000;2;1;09;1,2;41;1375,19599486174
5226940;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;2324,2529405839
