DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4404146;1;1;1;70;2;8;44;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;95;61;01;1;1;0140;08;70;2239,52885695447
4404210;1;1;1;70;2;8;45;3; ;2;24;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;230000;2; ;54;54;95;1;1;9500;08;76;3159,122152788
4404275;1;1;1;70;2;32;48;1; ;2;180;4; ;2;2;9;CON DINERO DE SU PENSION; ; ; ; ; ; ; ;1;YA ESTA PENSIO; ;2; ;737717;3; ;87;45;55;1;2;5530;08;76;627,011813409601
4404277;1;2;1;70;2;36;48;3; ;2;52;1; ;5;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;53;01;1;2;0111;08;76;1085,92080323846
4404427;1;2;1;70;2;4;48;1; ;2;4;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;98;1000000;2; ;33;51;55;1;1;5522;08;15;761,226979390325
4404432;1;3;1;70;2;98;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;2; ;03;61;01;1;2;0118;08;15;796,769210844677
4404435;1;2;1;70;2;40;40;1; ;2;150;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;737700;2; ;45;53;55;1;2;5521;08;15;810,011129951801
4404554;1;1;1;70;2;7;45;8; ;2;9;8; ;2;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;500000;1;2;62;62;01;1;1;0111;08;17;1091,33590653439
4404581;1;3;1;70;2;52;50;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;32;45;52;1;2;5233;08;17;1072,79782810669
4404623;1;3;1;70;2;3;50;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;500000;2; ;62;62;01;1;1;0111;08;17;1722,18339575926
