DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;P6430;OFICIO;RAMA2D;OCI;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
4395356;1;1;1;60;2;76;1;1; ; ;1; ; ;2;2;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;960000;1;2880000;1; ;3;2; ; ; ; ;1;1;1;51; ;.;51; ; ;7;7; ;1; ;1;1;2;24;1;1; ; ; ; ; ; ; ; ;1;2;1;30;168;2; ;2; ; ; ; ; ; ; ;5;1;60;2; ; ; ;1;1;2;1;1;1;2;2;1;2;2; ;2;1;2;2;2;2;2;1;3; ;4;53;85;1;8532; ; ;960000;08;76;1250,42620425595
4395356;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;0;1;400000;1; ;8;1;1;0;0;1;2;1;2;14;1; ;14; ; ;2;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;3;4; ;2; ; ; ; ; ; ; ;1;14; ;1;34;1;1;1;1;1;1;2;1;2;2;2;2;2; ;1;1;2;2;2;2;2;1;3; ;4;61;01;1;0123; ; ;0;08;76;1250,42620425595
4395356;1;4;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;3; ; ; ; ; ; ; ; ;15;2; ;15; ; ;2;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;14; ;2; ; ; ;1;1;1;1;2;1;2;2;2;2;2; ;2;1;1;2;1;2;2;1;3; ;6;62;01;1;0123; ; ; ;08;76;1250,42620425595
4395357;1;1;1;60;2;76;1;2;2;12;1; ; ;1;1;2;1;36; ;1; ;2;737717;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83140;2;2; ; ;2; ; ;2; ; ;2; ; ;1;720000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;3;8; ;1; ;1;1;1;20;1;1; ; ; ; ; ; ; ; ;1;2;1;0;36;1; ;2; ; ; ; ; ; ; ;2;3;30;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;8;62;01;1;0114; ; ;737717;08;76;856,414201595473
4395357;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;10000;1;120000;3; ;12;2; ; ; ; ;3;1;2;48; ;.;48; ; ;1;1; ;3; ;2; ; ; ;1; ; ;1; ; ; ; ; ; ;2;2;1;84;12;3; ;2; ; ; ; ; ; ; ;9;14; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;2; ;4;38;64;1;6422; ; ;10000;08;76;856,414201595473
4395358;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;1;1;96; ;1; ;2;2154000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;1;31000;2;2; ; ;2; ; ;2; ; ;1;2154000;1;1077000;1;1077000;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;50; ;.;50; ; ;9;8; ;1; ;1;2;1;17;1;1; ; ; ; ; ; ; ; ;1;1;1;0;84;4; ;1;76;2;5; ;600000;1;8;3;11;23;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;8; ;1;30;15;1;1571; ; ;2754000;08;76;1305,32329958908
4395358;1;3;1;60;2;76;1;2;2;5;1; ; ;1;2;2;2;1; ;4; ;1;740000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;1; ; ; ; ; ; ; ; ;43; ;.;43; ; ;5;7; ;1; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;1;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;1;90;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;1;03;72;1;7220; ; ;740000;08;76;1305,32329958908
4395359;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;0;1;0;1; ;1;2; ; ; ; ;2;1;2;10;1; ;10; ; ;1;2; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;99;72;1; ;2; ; ; ; ; ; ; ;9;1;65;1;30;1;1;1;1;1;1;2;1;2;2;2;2;2; ;1;1;2;2;1;2;2;1;3; ;4;54;74;1;7493; ; ;0;08;76;820,334494202207
4395360;1;1;1;60;2;76;1;1; ; ;1; ; ;2;2;2;2;8; ;2; ;2;630000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;250000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;8; ; ; ; ; ; ; ; ;50; ;.;50; ; ;5;7; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;30;1;4; ;2; ; ; ; ; ; ; ;1;1;40;2; ; ; ;1;1;1;1;2;2;2;2;2;2;2; ;1;1;2;2;1;2;2;1;3; ;1;45;52;1;5241; ; ;630000;08;76;820,334494202207
4395361;1;1;1;60;2;76;1;2;1; ;1; ; ;1;2;2;2;5; ;7;LE OFRECIERON EL EMPLEO;2;360000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;5; ; ; ; ; ; ; ; ;24;1; ;24; ; ;2;7; ;1; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;1;1;1;72;6;1; ;2; ; ; ; ; ; ; ;1;3;30;1;24;1;1;1;1;1;1;2;1;2;2;2;2;2; ;1;1;2;2;2;2;2;2;8; ;1;55;91;1;9191; ; ;360000;08;76;645,72498789235
4396205;1;1;1;60;2;76;1;1; ; ;1; ; ;1;1;2;1;36; ;1; ;2;737717;2; ; ;2; ;1;350000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;703000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;44; ;.;44; ; ;2;8; ;1; ;1;2;1;9;1;1; ; ; ; ; ; ; ; ;1;2;1;0;84;8; ;2; ; ; ; ; ; ; ;9;14; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;8;62;01;1;0119; ; ;1087717;08;76;2540,20118304241
4396206;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;90; ;7;LE OFRECIERON EL TRABAJO;2;802500;2; ; ;2; ;1;150000;2; ;2; ;2; ; ;2; ; ;1;52000;2;2; ; ;2; ; ;2; ; ;1;750000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;45; ;.;45; ; ;6;8; ;1; ;1;1;1;7;1; ; ; ; ; ; ; ; ;1;1;1;1;0;1;8; ;2; ; ; ; ; ; ; ;1;14; ;1;24;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;1;62;01;1;0114; ; ;952500;08;76;3942,36483969861
4396206;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;0;1;0;1; ;9;2; ; ; ; ;3;4;2;1;1; ;1; ; ;1;1; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;3;98;3; ;2; ; ; ; ; ; ; ;9;14; ;1;14;2;2;1;1;2;1;2;1;2;2;2;2;2; ;2;1;2;2;2;2;2;1;3; ;4;53;55;1;5521; ; ;0;08;76;3942,36483969861
