DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;OFICIO;RAMA2D;OCI;P6430;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
4351456;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2017;1;2000000;1;24000000;3; ;12;42; ;.;42; ; ;3;7; ;1; ;2; ; ; ;1; ; ;1;1; ; ; ; ; ;2;2;1;0;60;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;RENTAS;21;15;1;5;1551; ; ;2000000;06;63;4911,93768082287
4351456;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;700000;1;8400000;1; ;12;4;2; ;4; ; ;1;1; ;1; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;10;RENTAS;39;74;1;4;7499; ; ;700000;06;63;4911,93768082287
4351458;1;1;1;60;2;63;1;2;1; ;1; ; ;1;1;1;1;24; ;1; ;2;5000000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;1;3000000;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;40; ;.;40; ; ;6;7; ;1; ;1;1;1;12;1;1; ; ; ; ; ; ; ; ;1;1;1;0;12;1; ;2; ; ; ; ; ; ; ;1;8;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;39;51;1;1;5125; ; ;5000000;06;63;2982,86701195449
4351458;1;2;1;60;2;63;1;2;1; ;1; ; ;1;1;1;1;24; ;1; ;2;2829000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;1200000;1;1200000;2; ;1;6000000;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;24;2; ;24; ; ;6;7; ;1; ;1;1;1;10;1;1; ;1; ; ; ; ; ; ;1;1;1;18;36;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;11;51;1;1;5125; ; ;2829000;06;63;2982,86701195449
4351458;1;5;1;60;2;63;1;1; ; ;1; ; ;1;1;1;1;7; ;1; ;2;920000;2; ; ;1;350000;1;530000;2; ;2; ;2; ; ;1;83100;2;2; ; ;2; ; ;2; ; ;2; ; ;2; ;1;450000;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;60; ;.;60; ; ;1;1; ;1; ;1;1;3;3;1;1; ; ; ; ; ; ; ; ;1;1;1;0;60;3; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;54;95;1;3;9500; ; ;1800000;06;63;2982,86701195449
4351459;1;1;1;60;2;63;1;2;1; ;1; ; ;1;1;2;1;3; ;1; ;2;1700000;2; ; ;1;50000;2; ;1;700000;2; ;2; ; ;2; ; ;1;28000;2;2; ; ;2; ; ;1;1500000;2;2; ;2; ;2; ;1;500000;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;84; ;.;84; ; ;5;8; ;1; ;1;1;1;1;1;1; ; ; ; ; ; ; ; ;1;1;1;0;54;4; ;1;63;4;4; ;1100000;1;8;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;1;10;RENTAS;06;01;1;1;0121; ; ;2850000;06;63;3834,26465007801
4351459;1;2;1;60;2;63;1;2;2;8;1; ; ;1;2;2;2;32; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;2400000;1;28000000;3; ;12;40; ;.;40; ; ;9;7; ;1; ;1;1;2;6;1;1; ; ; ; ; ; ; ; ;1;2;1;0;18;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;19;85;1;4;8511; ; ;2400000;06;63;3834,26465007801
4351462;1;1;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;26; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;7000000;1;84000000;3; ;12;60; ;.;60; ; ;1;7; ;1; ;1;1;2;15;1; ;1; ; ; ; ; ; ; ;1;2;1;2;24;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2;2;1;2;2; ;50;70;1;4;7020; ; ;7000000;06;63;5088,66671908415
4351462;1;2;1;60;2;66;1;2;1; ;1; ; ;1;1;2;1;48; ;6; ;2;1600000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;1400000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;48; ;.;48; ; ;9;7; ;1; ;1;1;1;5;1;1; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;84;50;1;1;5011; ; ;1600000;06;63;5088,66671908415
4351463;1;1;1;60;2;66;1;2;1; ;1; ; ;1;2;2;2;36; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;9000000;1;144000000;3; ;12;60; ;.;60; ; ;9;7; ;1; ;1;2;2;15;1;1; ; ; ; ; ; ; ; ;1;2;1;0;60;4; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;1;2;2;6; ;06;85;1;4;8511; ; ;9000000;06;63;2186,75757883917
4351463;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;80000;1;700000;1; ;6;5;2; ;5; ; ;1;7; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;36;36;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;3; ;19;85;1;4;8515; ; ;80000;06;63;2186,75757883917
4351464;1;1;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ;3; ;1;99;3; ;12;40; ;.;40; ; ;1;1; ;1; ;1;2;2;12;1; ; ;1;1; ; ; ; ; ;2;2;1;0;120;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;44;70;1;4;7020; ; ; ;06;63;2320,49467797482
4351465;1;1;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2017;1;2500000;1;36000000;3; ;12;55; ;.;55; ; ;4;7; ;1; ;1;2;2;25;1; ;1; ; ; ; ; ; ; ;1;1;1;0;120;5; ;1;63;1;4; ;300000;1;7;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;21;52;1;5;5239; ; ;2800000;06;63;4528,10585376443
4351465;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;48; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;1;1;2017;1;2500000;1;36000000;3; ;12;40; ;.;40; ; ;4;7; ;1; ;1;1;2;28;1; ;1; ; ; ; ; ; ; ;1;1;1;0;24;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;21;52;1;5;5239; ; ;2500000;06;63;4528,10585376443
4351466;1;1;1;60;2;63;1;1; ; ;1; ; ;1;2;2;2;2; ;1; ;2;800000;2; ; ;2; ;1;300000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;9;72; ;.;72; ; ;3;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;3;4;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;2;1;2;8; ;60;01;1;1;0121; ; ;1100000;06;63;3459,96138905429
4351466;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;200000;1;400000;3; ;7;42; ;.;42; ; ;1;1; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;3;5;3; ;2; ; ; ; ; ; ; ;1;20;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;53;55;1;4;5529; ; ;200000;06;63;3459,96138905429
4351467;1;1;1;60;2;63;1;1; ; ;1; ; ;2;2;2;2;9; ;1; ;2;720000;2; ; ;2; ;1;200000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;10;50; ;.;50; ; ;3;8; ;11; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;2;1;8; ;1;63;2;4; ;160000;2;1;2; ; ; ;1;1;2;1;2;1;2;1;1;2;2; ;1;1;2;2;2;2;2;1;3; ;62;01;1;8;0116; ; ;1080000;06;63;5667,5725648439
4351467;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;8;30;1; ;30; ; ;2;1; ;11; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;4;7;4; ;2; ; ; ; ; ; ; ;1;10;2;1;1;1;1;1;2;1;2;1;2;2;2; ;2;9;2;2;2;2;2;1;3; ;53;55;1;6;5529; ; ; ;06;63;5667,5725648439
4351468;1;1;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;240; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;150000;1;1800000;3; ;12;20;2; ;20; ; ;1;8; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;1; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;61;01;1;4;0111; ; ;150000;06;63;3728,05922726244
4351468;1;3;1;60;2;63;1;1; ; ;1; ; ;2;2;2;2;0; ;1; ;2;60000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;18;1; ;18; ; ;2;8; ;2; ;1;4;2;20;1; ;1; ; ; ; ; ; ; ;2;2;1;0;1;4; ;2; ; ; ; ; ; ; ;1;36;1;1;1;1;1;1;2;1;2;1;1;1;2; ;1;1;2;2;1;2;2;1;8; ;62;01;1;8;0111; ; ;60000;06;63;3728,05922726244
4351469;1;1;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;600000;1;2400000;1; ;12;36;1; ;36; ; ;1;9; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;3;6; ;2; ; ; ; ; ; ; ;1;18;1;1;1;1;2;1;2;1;2;2;2;2;2; ;1;1;2;2;1;2;2;1;3; ;95;45;1;4;4521; ; ;600000;06;63;2756,59161933316
4351469;1;2;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;96000;1;672000;1; ;7;11;1; ;11; ; ;1;2; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;99;36;3; ;2; ; ; ; ; ; ; ;1;20;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;9; ;55;74;1;4;7493; ; ;96000;06;63;2756,59161933316
4351470;1;1;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;480; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;180000;1;3000000;3; ;12;40; ;.;40; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;24;5; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;61;01;1;4;0111; ; ;180000;06;63;4736,52549532889
4351470;1;4;1;60;2;63;1;1; ; ;1; ; ;1;1;2;1;5; ;1; ;2;800000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;63; ;.;63; ; ;3;8; ;1; ;1;1;3;1;1;1; ; ; ; ; ; ; ; ;1;1;1;0;96;8; ;2; ; ; ; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2; ;62;01;1;8;0121; ; ;800000;06;63;4736,52549532889
4351470;1;5;1;60;2;63;1;1; ; ;1; ; ;2;2;2;2;2; ;1; ;2;500000;2; ; ;2; ;2; ;1;160000;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;8;40; ;.;32;7;PROBLEMAS CLIMATICOS POR LLUVIA;2;8; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;4;12;6; ;2; ; ; ; ; ; ; ;1;10;2;2;1;1;1;1;2;1;2;2;2;2;2; ;2;1;1;2;1;2;2;1;9; ;62;01;1;1;0140; ; ;500000;06;63;4736,52549532889
4351470;1;6;1;60;2;63;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;3;720000;1;1440000;1; ;12;45; ;.;45; ; ;1;9; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;156;8; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2; ;2;9;1;2;1;2;2;1;3; ;95;45;1;4;4521; ; ;720000;06;63;4736,52549532889
4351470;1;10;1;60;2;63;1;1; ; ;1; ; ;1;2;2;2;2; ;1; ;2;300000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;7;84; ;.;84; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;3;5;4; ;2; ; ; ; ; ; ; ;2; ; ; ;1;1;2;1;2;1;2;2;2;2;2; ;2;2;1;2;1;2;2;1;3; ;54;95;1;3;9500; ; ;300000;06;63;4736,52549532889
4351471;1;1;1;60;2;63;1;2;1; ;1; ; ;1;1;1;1;420; ;5; ;2;2700000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;1350000;1;2700000;1;1350000;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12;40; ;.;0;7;PARO NACIONAL DEL MAGISTERIO;9;7; ;1; ;1;3;1;35;1;1; ; ; ; ; ; ; ; ;1;1;2; ; ; ; ;1;63;8;4; ;700000;1;1;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;1;1;1;10;DE LA PENSION;13;80;1;2;8043; ; ;3400000;06;63;3390,46334265548
