DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
4343289;1;1;1;70;1;7;20;4; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;06;05;878,826657205256;05
4343291;1;2;1;70;1;2;48;1; ;2;1;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;740000;45;53;55;1;1;5521;06;05;1286,30628025283;05
4343300;1;1;1;70;1;4;48;1; ;2;14;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;83;83;28;1;1;2899;06;05;1071,25151328683;05
4343302;1;1;1;70;1;6;48;1; ;2;6;1; ;7;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;77;63;51;1;1;5126;06;05;878,826657205256;05
4343305;1;1;1;70;1;24;48;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;41;52;1;2;5211;06;05;845,996054441216;05
4343305;1;2;1;70;1;3;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;33;45;51;1;1;5125;06;05;845,996054441216;05
4343307;1;1;1;70;1;40;48;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;19;59;18;1;2;1810;06;05;1537,81258105519;05
4343308;1;1;1;70;1;1;48;1; ;2;52;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;17;92;1;1;9219;06;05;884,825070840427;05
4343312;1;5;1;70;1;32;48;1; ;2;32;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;79;18;1;2;1810;06;05;1026,80951747829;05
4343318;1;2;1;70;1;4;48;1; ;2;5;1; ;9;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;03;03;45;1;1;4542;06;05;1071,25151328683;05
4343323;1;3;1;70;1;12;50;1; ;2;12;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;52;1;1;5234;06;05;1075,33523691095;05
4343333;1;2;1;70;1;2;24;1; ;2;16;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;38;74;1;1;7499;06;05;832,915442487736;05
4343344;1;1;1;70;1;24;48;4; ;2;20;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;87;87;50;1;2;5020;06;05;1326,32713327632;05
4343350;1;1;1;70;1;3;48;8; ;2;3;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;60;62;92;1;1;9249;06;05;538,624963461;05
4343358;1;3;1;70;1;76;48;1; ;2;104;1; ;9;2;3; ; ; ; ; ;1; ; ; ; ; ;2; ;02;21;74;1;2;7414;06;05;1420,5786571594;05
4343369;1;2;1;70;1;8;48;1; ;2;17;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;15;21;15;1;1;1551;06;05;878,826657205256;05
4343376;1;4;1;70;1;4;48;1; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;79;45;52;1;1;5262;06;05;1179,18767161015;05
4343376;1;9;1;70;1;52;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;84;84;50;1;2;5020;06;05;1179,18767161015;05
4343379;1;1;1;70;1;52;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;55;1;2;5521;06;05;971,001575768585;05
4343383;1;2;1;70;1;20;48;1; ;2;48;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;13;03;52;1;2;5272;06;05;1021,78941327353;05
4343385;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2;3; ; ;1; ; ; ; ; ; ; ; ;1;500000;98;98;52;1;1;5269;06;05;1020,31513329749;05
4343391;1;3;1;70;1;12;48;1; ;2;100;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;59;39;75;1;1;7512;06;05;830,486348039704;05
4343400;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;74;1;1;7499;06;05;1312,5055103244;05
4343404;1;4;1;70;1;8;48;1; ;2;204;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;79;18;1;1;1810;06;05;538,624963461;05
4343406;1;2;1;70;1;16;48;1; ;2;52;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;53;77;55;1;2;5529;06;05;736,234824156632;05
4343424;1;1;1;70;1;52;30;4; ;2;352;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;77;54;95;1;2;9500;06;05;1057,21102579429;05
4343426;1;2;1;70;1;24;48;1; ;2;24;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;52;1;2;5211;06;05;784,575133322184;05
4343427;1;3;1;70;1;24;48;1; ;2;24;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;2;4552;06;05;1022,91120412128;05
4343436;1;2;1;70;1;20;48;4; ;2;108;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;54;53;55;1;2;5521;06;05;1071,25151328683;05
4343440;1;1;1;70;1;1;48;1; ;2;240;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;06;05;807,205044206617;05
4343444;1;1;1;70;1;28;24;4; ;2;73;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;56;93;1;2;9301;06;05;736,234824156632;05
4343456;1;3;1;70;1;4;48;1; ;2;5;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;12000;95;95;45;1;1;4521;06;05;1420,5786571594;05
4343464;1;2;1;70;1;1;48;5; ;2;2;5; ;2;2;1; ; ; ;1; ; ; ; ; ; ; ;1;450000;95;95;45;1;1;4521;06;05;876,397562757223;05
4343464;1;3;1;70;1;28;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;79; ; ;1;2; ;06;05;876,397562757223;05
4343464;1;5;1;70;1;4;48;1; ;2;4;1; ;4;2;3; ; ; ; ; ; ; ; ; ; ;1;1;98;95;97;13;1;1;1320;06;05;876,397562757223;05
4343470;1;1;1;70;1;11;48;1; ;2;11;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;03;39;75;1;1;7512;06;05;686,401801123684;05
4343471;1;2;1;70;1;104;48;1; ;2;156;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;54;55;1;2;5511;06;05;878,826657205256;05
4343488;1;2;1;70;1;156;48;1; ;2;156;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;97;59;92;1;2;9242;06;05;1016,04253299684;05
4343488;1;5;1;70;1;30;48;1; ;2;40;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;45;55;92;1;2;9242;06;05;1016,04253299684;05
4343501;1;3;1;70;1;8;48;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;1;200000;39;40;52;1;1;5225;06;05;1308,71732659665;05
4343509;1;2;1;70;1;32;48;1; ;2;32;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;2;5239;06;05;1057,21102579429;05
4343540;1;2;1;70;1;12;48;1; ;2;40;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;15;97;24;1;1;2424;06;08;653,745015466691;08
4343540;1;4;1;70;1;4;48;1; ;2;4;2; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;737000;55;55;75;1;1;7512;06;08;653,745015466691;08
4343542;1;4;1;70;1;20;48;1; ;2;104;1; ;3;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;18;1;2;1810;06;08;501,263875778128;08
4343543;1;2;1;70;1;12;48;1; ;2;12;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;55;97;52;1;1;5223;06;08;181,532676642114;08
4343543;1;3;1;70;1;20;48;1; ;2;51;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;38;38;74;1;2;7499;06;08;181,532676642114;08
4343544;1;7;1;70;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;06;08;598,411205056806;08
4343560;1;5;1;70;1;4;48;1; ;2;52;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5239;06;08;715,593066574054;08
4343561;1;2;1;70;1;1;48;1; ;2;156;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;15;1;1;1543;06;08;688,777239304917;08
4343562;1;2;1;70;1;8;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;21;92;1;1;9249;06;08;623,714557292576;08
4343566;1;2;1;70;1;40;48;1; ;2;40;1; ;2;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;38;43;52;1;2;5231;06;08;417,512297300171;08
4343566;1;3;1;70;1;24;48;1; ;2;160;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;45;52;1;2;5269;06;08;417,512297300171;08
4343569;1;3;1;70;1;4;48;1; ;2;8;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;52;1;1;5241;06;08;486,96603087153;08
4343575;1;3;1;70;1;8;48;1; ;2;48;1; ;8;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;52;1;1;5235;06;08;388,038839048791;08
4343585;2;1;2;70;1;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;45;45;64;1;1;6421;06;08;599,911879895446;08
4343587;1;5;1;70;1;40;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;2; ;06;08;308,745097354124;08
4343590;1;2;1;70;1;12;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;08;528,276322922978;08
4343595;1;3;1;70;1;52;48;1; ;2;52;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;19;19;85;1;2;8532;06;08;388,038839048791;08
4343596;1;2;1;70;1;4;48;1; ;2;104;1; ;4;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;33;53;55;1;1;5521;06;08;652,310247105772;08
4343604;1;1;1;70;1;36;48;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;44;66;1;2;6601;06;08;798,040590089085;08
4343607;1;1;1;70;1;2;48;1; ;2;52;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;93;1;1;9303;06;08;371,870662934753;08
4343607;1;4;1;70;1;2;48;1; ;2;2;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;750000;87;58;75;1;1;7512;06;08;371,870662934753;08
4343615;1;4;1;70;1;50;48;1; ;2;54;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;80;1;2;8011;06;08;314,542633770708;08
4343620;1;1;1;70;1;3;48;4; ;2;3;4; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;1;400000;98;98;60;1;1;6042;06;08;578,442579295958;08
4343631;1;4;1;70;1;8;48;3; ;2;32;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;06;08;612,079067583725;08
4343632;1;2;1;70;1;6;40;1; ;2;30;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;53;53;55;1;1;5521;06;08;639,386321475479;08
4343658;1;2;1;70;1;24;48;1; ;2;24;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;15;15;80;1;2;8060;06;08;463,280426134909;08
4343663;1;4;1;70;1;12;48;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;70;97;52;1;1;5241;06;08;309,368003754579;08
4343675;1;2;1;70;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;32; ; ;1;1; ;06;08;616,137158331932;08
4343705;1;4;1;70;1;2;48;1; ;2;2;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;370000;97;97;55;1;1;5521;06;11;3312,61903937196;11
4343707;1;3;1;70;1;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;97;15;1;1;1543;06;11;2563,07697670622;11
4343708;1;2;1;70;1;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;21; ; ;1;2; ;06;11;2918,77643452441;11
4343712;1;2;1;70;1;32;48;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;85;1;2;8511;06;11;3624,90037620887;11
4343715;1;2;1;70;1;16;48;3; ;2;16;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;2;9500;06;11;2918,77643452441;11
