DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4349061;1;2;1;80;2;1;2;3; ;2; ; ;8; ;2; ;2; ;1;06;50;824,265618854877
4349061;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;50;824,265618854877
4349062;1;2;1;80;2;1;1;9;POR CANSANCIO Y ESTRES;2; ; ;11; ;2; ;2; ;1;06;50;1037,28304158667
4349065;1;1;1;80;2;1;4;4; ;2; ; ;4; ;3; ;2; ;1;06;50;645,427534252465
4349065;1;2;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;06;50;645,427534252465
4349066;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;50;645,427534252465
4351444;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;63;4781,81544762826
4351455;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;06;63;3473,92983087541
4351460;1;1;1;80;2;1;2;5; ;1; ;1;12;TIENE UNA INHABILIDAD DE TIPO LEGAL;3; ;2; ;1;06;63;3931,2943727969
4351460;1;2;1;80;2;1;2;5; ;1; ;1;6; ;2; ;2; ;1;06;63;3931,2943727969
4351460;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;06;63;3931,2943727969
4351460;1;5;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;63;3931,2943727969
4351462;1;3;1;80;2;1;4;5; ;2; ; ;10; ;3; ;2; ;1;06;63;5088,66671908415
4351463;1;4;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;06;63;2186,75757883917
4351464;1;2;1;80;2;1;3;6; ;2; ; ;6; ;1;1;2; ;1;06;63;2320,49467797482
4351464;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;63;2320,49467797482
4351465;1;3;1;80;2;1;1;8; ;2; ; ;2; ;2; ;2; ;1;06;63;4528,10585376443
4351465;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;63;4528,10585376443
4351466;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;63;3459,96138905429
4351467;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;06;63;5667,5725648439
4351467;1;6;1;80;2;1;2;6; ;2; ; ;8; ; ; ;2; ;1;06;63;5667,5725648439
4351468;1;2;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ;1;06;63;3728,05922726244
