DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011
4349060;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;645,427534252465
4349061;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;824,265618854877
4349061;1;2;1;90;2; ;1;28;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;824,265618854877
4349061;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;824,265618854877
4349061;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;824,265618854877
4349062;1;1;1;90;1;28;1;14;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;1037,28304158667
4349062;1;2;1;90;1;7;1;49;2; ;1;56;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;1037,28304158667
4349063;1;1;1;90;2; ;1;10;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;803,920887941835
4349063;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;803,920887941835
4349064;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;803,920887941835
4349064;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;803,920887941835
4349065;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;645,427534252465
4349065;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;645,427534252465
4349066;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;645,427534252465
4349066;1;2;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;50;645,427534252465
4351444;1;1;1;90;2; ;2; ;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2;06;63;4781,81544762826
4351444;1;2;1;90;2; ;2; ;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2;06;63;4781,81544762826
4351444;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;20;2; ;2; ;2; ;2;06;63;4781,81544762826
4351455;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;63;3473,92983087541
4351455;1;2;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;06;63;3473,92983087541
