Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3594695;1;1;1;70;1;104;40;1; ;2;104;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;53;55;1;2;5521;11;17;175,232034962237;17
3594706;1;1;1;70;1;99;48;8; ;2;99;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;45;52;1;2;5262;11;17;198,82295001325;17
3594711;1;1;1;70;1;2;50;1; ;2;3;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;95;95;45;1;1;4521;11;17;174,894207511202;17
3594717;1;1;1;70;1;24;48;1; ;2;180;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;18;1;2;1810;11;47;140,272945965876;47
3594717;1;2;1;70;1;48;48;1; ;2;48;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;75;1;2;7512;11;47;140,272945965876;47
3594721;1;3;1;70;1;8;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;39;85;1;1;8532;11;47;163,162784556371;47
3594723;1;2;1;70;1;4;48;1; ;2;52;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;1;5261;11;47;178,6038196339;47
3594724;1;1;1;70;1;36;48;1; ;2;52;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;52;1;2;5235;11;47;203,095381549229;47
3594725;1;3;1;70;1;6;42;1; ;2;6;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;52;1;1;5236;11;47;198,004758837087;47
3594727;1;3;1;70;1;1;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5244;11;47;217,253577069753;47
3594727;1;5;1;70;1;4;48;1; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;38;64;1;1;6421;11;47;217,253577069753;47
3594731;1;2;1;70;1;4;40;1; ;2;4;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;53;51;55;1;1;5521;11;15;102,128969001875;15
3594734;1;2;1;70;1;8;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;15;92,4011295248263;15
3594735;1;1;1;70;1;24;48;1; ;2;24;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;11;15;98,9186090204478;15
3594748;1;2;1;70;1;48;48;1; ;2;48;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;99;99;50;1;2;5020;11;73;213,474886793996;73
3594749;1;2;1;70;1;32;48;1; ;2;32;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5261;11;73;212,686479515267;73
3594759;1;1;1;70;1;3;48;8; ;2;3;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;62;62;01;1;1;0111;11;73;213,474886793996;73
3594761;1;2;1;70;1;40;40;1; ;2;40;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;11;73;230,849774980475;73
3594762;1;1;1;70;1;80;50;1; ;2;3;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;98;98;60;1;2;6022;11;73;244,654143576709;73
3594780;1;2;1;70;1;3;48;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;528000;2;45;53;55;1;1;5521;11;66;364,436181157683;66
3594781;1;1;1;70;1;4;48;1; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;41;52;1;1;5233;11;66;308,173459697813;66
3594786;1;2;1;70;1;8;30;1; ;2;8;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;11;66;358,89418955513;66
3594788;1;1;1;70;1;12;48;4; ;2;50;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;11;66;289,321497531787;66
3594791;1;2;1;70;1;4;48;1; ;2;4;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;80;19;1;1;1931;11;66;320,911896246607;66
3594795;1;1;1;70;1;5;60;1; ;2;5;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;11;66;297,824561173148;66
3594800;1;2;1;70;1;4;40;4; ;2;130;1; ;8;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;44;39;55;1;1;5511;11;76;840,555722095569;76
3594809;1;1;1;70;1;2;48;1; ;2;2;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;1200000;2;97;58;55;1;1;5512;11;50;244,863650834455;50
3594809;1;2;1;70;1;2;40;1; ;2;52;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;57;13;80;1;1;8060;11;50;244,863650834455;50
3594814;1;1;1;70;1;52;48;1; ;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;60;1;2;6031;11;50;135,453368517453;50
3594817;1;3;1;70;1;4;30;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;15;99,7054508670352;15
3594818;1;1;1;70;1;5;48;1; ;2;5;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4521;11;15;107,065840963153;15
3594823;1;1;1;70;1;17;40;1; ;2;17;1; ;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;98;98;51;1;2;5125;11;15;107,98836240628;15
3594849;1;2;1;70;1;8;48;1; ;2;202;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;39;75;1;1;7514;11;47;139,800178522497;47
3594859;1;2;1;70;1;4;30;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;11;47;171,104184644486;47
3594875;1;3;1;70;1;8;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;11;17;179,596127126215;17
3594886;1;1;1;70;1;2;48;1; ;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;97;52;1;1;5221;11;17;213,411507346079;17
3594890;1;2;1;70;1;28;48;1; ;2;28;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;44;64;1;2;6421;11;17;155,864252825679;17
3594897;1;3;1;70;1;8;48;1; ;2;180;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;11;17;186,608089365083;17
3594910;1;3;1;70;1;192;48;1; ;2;192;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;32;34;72;1;2;7230;11;41;138,401189373757;41
3594913;1;4;1;70;1;96;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;11;41;307,286517986837;41
3594920;1;2;1;70;1;3;40;1; ;2;3;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;39;39;65;1;1;6512;11;63;157,778823791949;63
3594920;1;3;1;70;1;4;40;4; ;2;28;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;54;55;1;1;5511;11;63;157,778823791949;63
3594920;1;5;1;70;1;40;48;1; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;41;52;1;2;5233;11;63;157,778823791949;63
