Directorio;Secuencia_p;Orden;Area;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s4;P7510s6;P7510s2a1;P7510s4a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;Dpto;Fex_c_2011
239726;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;654,005606947634
239726;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;654,005606947634
239727;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;803,369115621759
239727;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;803,369115621759
239728;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;834,776014314815
239728;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,776014314815
239728;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,776014314815
239728;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,776014314815
239729;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;783,519047454811
239729;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;783,519047454811
239729;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;783,519047454811
239730;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;798,817102202835
239730;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;798,817102202835
239731;2;1;05;95;1; ;1;2; ; ;150000;2;1;2;2;2; ; ; ; ; ;150000;2;1;2;05;1287,07722901847
239731;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;1287,07722901847
239732;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50200; ; ; ;2;2;2;05;1693,74888708423
239732;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1693,74888708423
239733;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;1692,27866645067
239733;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;1692,27866645067
239734;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1806,1559190812
239734;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1806,1559190812
239735;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;789,935817226852
239735;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;789,935817226852
239736;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;50000; ; ; ;2;2;2;05;1833,02251587101
239736;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1833,02251587101
239737;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;42000; ; ; ;2;2;2;05;846,874443542116
239737;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;846,874443542116
239738;2;1;05;95;2; ;2;2; ; ; ;2;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;741,608121021448
239738;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;741,608121021448
239738;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;741,608121021448
239739;2;1;05;95;1; ;2;1; ;376700; ;2;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;653,270496630853
239739;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;653,270496630853
239740;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;741,608121021448
239740;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;741,608121021448
239740;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;741,608121021448
239741;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;350000;2;1;2;05;771,970117546427
239742;2;1;05;95;1; ;2;1; ;526000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;738,892767522696
239742;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;738,892767522696
239742;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;738,892767522696
239742;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;738,892767522696
239743;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;797,811637019932
239743;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;797,811637019932
239743;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;797,811637019932
239744;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;84000; ; ; ;2;2;2;05;1418,69966355181
239744;2;2;05;95;1; ;1;2; ; ;150000;2;1;2;2;1; ; ;190000; ; ; ;2;2;2;05;1418,69966355181
239745;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1578,40141382014
239745;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1578,40141382014
239747;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;932,882556128936
239747;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;932,882556128936
239747;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;932,882556128936
239748;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;605,67791074223
239748;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;24000; ; ; ;2;2;2;05;605,67791074223
239748;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;605,67791074223
239749;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;599,996251286969
239749;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;6000000;2;1;2;05;599,996251286969
239749;2;4;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;150000; ; ; ;2;2;2;05;599,996251286969
239749;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;599,996251286969
239750;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;450000; ; ; ;2;2;2;05;681,181995588743
239750;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;681,181995588743
239750;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;9000000;2;1;2;05;681,181995588743
239750;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;681,181995588743
239750;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;681,181995588743
239750;2;6;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;681,181995588743
239751;2;1;05;95;1; ;1;2; ; ;155000;2;1;2;2;1; ; ;278000; ; ; ;2;2;2;05;1470,38270249882
239751;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1470,38270249882
239751;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ;05;1470,38270249882
239751;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1470,38270249882
239752;2;1;05;95;1; ;2;1; ;280000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1163,23280750717
239752;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;70000; ; ; ;2;2;2;05;1163,23280750717
239752;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1040000;2;1;2;05;1163,23280750717
239752;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1163,23280750717
239752;3;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;10333; ; ; ;2;2;2;05;1163,23280750717
239753;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1481,74602140934
239753;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1481,74602140934
239753;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1481,74602140934
239754;2;1;05;95;1; ;1;2; ; ;200000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1597,63420440567
239754;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1597,63420440567
239755;2;1;05;95;1; ;1;1;397000;260000;160000;1;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1556,33517078221
239755;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1556,33517078221
239755;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1556,33517078221
239755;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1556,33517078221
239755;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1556,33517078221
239755;2;6;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;1556,33517078221
239757;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;653,270496630853
239757;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;653,270496630853
239758;2;1;05;95;1; ;1;2; ; ;120000;2;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,390503797958
239758;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,390503797958
239758;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,390503797958
239758;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,390503797958
239759;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;804,104225938539
239759;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;804,104225938539
239760;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;903,266012007061
239760;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;903,266012007061
239760;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;903,266012007061
239760;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;903,266012007061
239760;2;6;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;903,266012007061
239761;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;953,439393335335
239761;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;953,439393335335
239761;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;953,439393335335
239761;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;953,439393335335
239763;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;743,81345197179
239763;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;743,81345197179
239763;2;6;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;1200000;2;1;2;05;743,81345197179
239764;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;4000000; ; ; ;2;2;2;05;653,270496630853
239764;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;2400000;2;1;2;05;653,270496630853
239765;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;4800000;2;1;2;05;643,538614509235
239765;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;643,538614509235
239766;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;52000; ; ; ;2;2;2;05;729,509691794147
239766;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;729,509691794147
239766;2;3;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;60000; ; ; ;2;2;2;05;729,509691794147
239766;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;729,509691794147
239766;2;5;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;729,509691794147
239767;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;6000000;2;1;2;05;1404,66660630607
239768;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;2000000; ; ; ;2;2;2;05;1403,19638567251
239769;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ; ;6000000;2;1;2;05;1515,35505596261
239770;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;770000; ; ;1200000;2;1;2;05;592,244612347323
239770;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;592,244612347323
239770;2;4;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;780000; ; ; ;2;2;2;05;592,244612347323
239771;2;1;05;95;1; ;1;1; ;379400;160000;2;1;2;2;2; ; ; ;110000; ; ;1;2;2;05;834,275016969104
239771;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,275016969104
239771;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,275016969104
239771;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,275016969104
239772;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;846,874443542116
239772;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;846,874443542116
239773;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;80000; ; ; ;2;2;2;05;903,077959540599
239773;2;2;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;903,077959540599
239776;2;1;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,776014314815
239776;2;2;05;95;2; ; ; ; ; ; ; ;1;2;2;2;330000; ; ; ; ;120000;2;1;1;05;834,776014314815
239776;2;3;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,776014314815
239776;2;4;05;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ;05;834,776014314815
239777;2;1;05;95;2; ; ; ; ; ; ; ;1;2;2;1; ; ;150000; ; ; ;2;2;2;05;1676,18384014249
