Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Dpto;Orden;Area;Fex_c_2011
239726;2;2;1;1;1;1;1;1;1;3; ; ; ; ;120000;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;654,005606947634
239727;2;3;2;1;1;1;1;1;1;3; ; ; ; ;130000;1;1;2;1;1;1;2;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;1;2;1;01;1;05;1;05;803,369115621759
239728;2;3;3;1;1;1;1;1;1;3; ; ; ; ;130000;1;1;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;834,776014314815
239729;2;4;3;1;1;1;1;1;1;3; ; ; ; ;250000;1;2;2;1;1;1;1;1;1;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;783,519047454811
239730;2;4;1;1;1;1;1;1;4;1; ; ;30000000;220000; ;1;1;2;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;798,817102202835
239731;2;5;2;1;1;1;1;1;3;6;PRESTADA; ; ;180000;180000;1;1;2;2;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1287,07722901847
239732;2;1;1;1;1;1;1;1;4;3; ; ; ; ;150000;1;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1693,74888708423
239733;2;4;2;1;1;1;1;1;4;3; ; ; ; ;160000;1;1;2;1;1;1;2;2;2;2;1;2;1;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;1692,27866645067
239734;2;4;2;1;1;1;1;1;3;1; ; ;27000000;200000; ;1;1;2;2;1;1;1;1;2;1;1;1;2;2;2;2;2;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1806,1559190812
239735;2;5;3;1;1;1;1;1;3;2; ;300000;250000;300000; ;1;1;2;1;1;1;1;1;1;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;789,935817226852
239736;2;4;2;1;1;1;1;1;3;3; ; ; ; ;180000;1;1;2;1;1;1;2;2;2;1;1;1;1;2;2;2;1;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1833,02251587101
239737;2;2;2;1;1;1;1;1;1;3; ; ; ; ;50000;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;846,874443542116
239738;2;3;2;1;1;1;1;1;4;3; ; ; ; ;130000;1;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;741,608121021448
239739;2;3;1;1;1;1;1;1;1;1; ; ;18000000;120000; ;1;1;2;1;1;1;1;1;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;653,270496630853
239740;2;2;2;1;1;1;1;1;1;3; ; ; ; ;100000;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;741,608121021448
239741;2;3;2;1;1;1;1;1;1;3; ; ; ; ;130000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;01;1;05;1;05;771,970117546427
239742;2;4;3;1;1;1;1;1;3;1; ; ;50000000;250000; ;1;1;2;1;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;738,892767522696
239743;2;4;3;1;1;1;1;1;3;1; ; ;26000000;230000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;797,811637019932
239744;2;1;1;1;1;1;1;1;3;3; ; ; ; ;350000;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;5;2;1;01;1;05;1;05;1418,69966355181
239745;2;1;1;1;1;1;1;1;3;3; ; ; ; ;367500;1;2;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;5;2;1;01;1;05;1;05;1578,40141382014
239747;2;3;2;1;1;1;1;1;1;3; ; ; ; ;150000;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;932,882556128936
239748;2;2;1;1;1;1;1;1;3;1; ; ;20000000;150000; ;1;1;2;1;1;1;2;2;2;1;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;1;2;1;01;1;05;1;05;605,67791074223
239749;2;4;3;1;1;1;1;1;3;1; ; ;45000000;300000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;599,996251286969
239750;2;4;3;1;1;1;1;1;3;1; ; ;80000000;320000; ;1;1;2;1;1;1;2;2;2;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;01;1;05;1;05;681,181995588743
239751;2;5;3;1;1;1;1;1;3;1; ; ;98;180000; ;1;1;2;1;1;1;1;1;1;2;1;2;1;1;2;2;1;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1470,38270249882
239752;2;5;3;1;2;1;1;1;3;3; ; ; ; ;100000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1163,23280750717
239752;3;1;1;1;2;1;1;1;3;4; ; ; ;30000; ;1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;1;05;1;05;1163,23280750717
239753;2;5;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1481,74602140934
239754;2;3;1;1;1;1;1;1;3;1; ; ;25000000;150000; ;1;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1597,63420440567
239755;2;4;3;1;1;1;1;1;3;1; ; ;30000000;180000; ;1;1;2;2;1;1;1;2;2;1;1;2;1;1;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;1556,33517078221
239757;2;3;2;1;1;1;1;1;3;3; ; ; ; ;280000;1;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;653,270496630853
239758;2;3;3;1;1;1;1;1;4;1; ; ;15000000;120000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;834,390503797958
239759;2;3;2;1;1;1;1;1;4;1; ; ;20000000;800000; ;1;1;2;1;1;1;1;1;1;2;1;1;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;804,104225938539
239760;2;4;3;1;1;1;1;1;3;3; ; ; ; ;140000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;1;2;1;01;1;05;1;05;903,266012007061
239761;2;2;2;1;1;1;1;1;4;3; ; ; ; ;100000;1;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;953,439393335335
239763;2;3;2;1;1;1;1;1;1;4; ; ; ;120000; ;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;743,81345197179
