Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
249393;2;3;70;8;40;8; ;1;1;2;8;8; ;2;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;2;62;62;0121;01;23;2081,51979870042
249429;2;1;70;3;40;4; ;1;1;2;1;4; ;1;2;1; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;62;62;0140;01;27;2000,40829894151
249549;2;3;70;84;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;95; ; ; ;44;1202,62497816178
249549;2;5;70;48;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;44;1202,62497816178
250934;2;1;70;12;48;1; ;1;1;2;12;1; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;30000000;2;02;02;4542;45;17;1063,27799852264
250934;2;3;70;40;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;02; ; ; ;17;1063,27799852264
250940;2;2;70;4;48;1; ;1;1;2;336;1; ;4;2;9; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;55;55;2529;25;17;1011,40979688493
250942;2;1;70;2;48;1; ;1;1;2;12;1; ;2;2;5; ;4; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;37;58;7020;70;17;1146,37955851908
252096;2;2;70;4;56;3; ;1;1;2;14;3; ;1;2;2; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;360000;2;54;54;9500;95;08;1999,45718127098
252123;2;2;70;45;72;3; ;1;1;2;12;3; ;1;2;6; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;08;1122,32069965993
252710;2;7;70;2;48;1; ;1;1;2;32;1; ;4;2;4; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;32;55;8512;85;23;721,747072489606
252742;2;8;70;22;48;1; ;1;1;2;24;1; ;5;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5233;52;23;1483,82655220429
252751;2;2;70;52;48;1; ;1;1;2;52;1; ;3;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5233;52;23;1502,33194222937
252799;2;1;70;2;50;8; ;1;1;2;2;8; ;3;2;4; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;2400000;2;62;62;0111;01;17;1545,62943954794
254947;2;2;70;2;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;25;1204,69557834123
254949;2;2;70;3;48;1; ;2;2;2;24;3; ;1;2;5; ;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;59;54;9500;95;25;3047,3794641993
254952;2;2;70;52;48;4; ;1;1;2;52;1; ;2;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;79;79;1810;18;25;3047,3794641993
254955;2;2;70;8;48;1; ;1;1;2;52;3; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;54;9500;95;25;3683,93472477703
254955;2;3;70;4;48;4; ;1;1;2;4;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;28000;1;1432000;2;45;36;6021;60;25;3683,93472477703
254959;2;1;70;6;40;1; ;1;1;2;4;1; ;3;2;1; ;8; ;2;6; ; ; ; ; ; ; ; ; ;1; ;1;433700;1;4500000;2;95;95;4521;45;25;1666,66152831731
254962;2;2;70;4;30;1; ;1;1;2;59;4; ;1;2;6; ;4; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;95;45;5262;52;25;2182,68588837806
254965;2;2;70;5;10;4; ;1;1;2;208;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;56;62;0112;01;25;2301,55765736506
255033;2;2;70;2;48;3; ;1;1;2;12;4; ;1;2;2; ;4; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;2;54;62;0117;01;25;2868,12184865816
255967;2;4;70;6;56;8; ;1;1;2;18;8; ;4;2;2; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0121;01;08;2610,89243911472
256108;2;2;70;4;30;3; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;15;1510,13275029211
256108;2;3;70;4;56;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;15;1510,13275029211
256115;2;1;70;4;48;8; ;1;1;2;5;8; ;1;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;2;62;62;0121;01;15;1755,36472338028
256169;2;3;70;12;40;8; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;23;3486,46349470983
256169;2;6;70;6;40;8; ;1;1;2;9;8; ;3;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1100000;2;62;62;0121;01;23;3486,46349470983
256184;2;1;70;3;48;8; ;1;1;2;48;8; ;4;2;7; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0140;01;23;1100,60845499317
256229;2;2;70;10;30;3; ;1;1;2;288;3; ;1;2;7; ;6; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;54;54;9500;95;23;2816,98704507912
256231;2;4;70;20;40;4; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;23;1100,60845499317
256234;2;3;70;4;40;1; ;1;1;2;5;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;37;45;1551;15;23;2222,82994233956
256238;2;3;70;32;40;3; ;1;1;2;288;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;2;54;54;9500;95;23;1615,19074268958
256245;2;2;70;4;40;4; ;1;1;2;16;4; ;9;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1350000;2;51;51;5521;55;23;3613,50337887669
