DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4903660;1;1;1;80;05;1;4;4; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;05;989,745141713206
4903660;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;05;989,745141713206
4903662;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;05;888,698518860991
4903665;1;3;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;05;1171,90467487354
4903667;1;1;1;80;05;1;4;1; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;05;1233,27659501346
4903669;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;05;05;923,370777064183
4903669;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;05;923,370777064183
4903670;1;2;1;80;05;1;4;7; ;2; ; ;9; ;2; ;2; ;1;48;828116;2;1;05;05;1156,94491377859
4903670;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;05;1156,94491377859
4903672;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;48;828116;2;1;05;05;1012,17793080132
4903672;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;05;1012,17793080132
4903672;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;05;05;1012,17793080132
4903678;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;05;05;894,999260022591
4903679;1;1;1;80;05;1;3;9;PARA DESCANSAR;2; ; ;8; ;2; ;2; ; ; ; ;2;1;05;05;1087,52332022684
4903681;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;05;1067,8108231186
4903682;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;05;05;989,745141713206
4903682;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;05;05;989,745141713206
