Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Dpto;Orden;Area;Fex_c_2011
373301;1;1;1;3;1;1;1;2;1;1; ; ;15000000;100000; ;2;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;3;2;1;2;2;1;1;1;2;1;01;1;05;1;05;617,729479492948
373302;1;5;3;1;1;1;1;1;3;3; ; ; ; ;235000;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;3;4;1;1;1;1;1;2;2;1;01;1;05;1;05;694,447406943687
373303;1;6;1;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;1;2;3;4;1;1;1;1;1;2;2;1;01;1;05;1;05;724,367860082176
373304;1;5;3;1;1;1;1;1;3;1; ; ;30000000;280000; ;1;2;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;3;4;1;1;1;1;1;2;2;1;01;1;05;1;05;687,929657566097
373305;1;3;2;3;1;1;1;1;1;1; ; ;7000000;120000; ;1;1;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;1;2;1;01;1;05;1;05;696,79440105456
373306;1;4;2;1;1;1;1;1;4;3; ; ; ; ;180000;1;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;919,967135893419
373307;1;3;2;3;1;1;1;1;4;3; ; ; ; ;110000;1;1;2;1;2;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;2;1;1;2;2;1;01;1;05;1;05;735,318756283114
373308;1;5;4;1;1;1;1;1;3;3; ; ; ; ;320000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;4;1;1;1;1;1;2;2;1;01;1;05;1;05;781,152835246596
373309;1;3;2;1;1;1;1;1;4;3; ; ; ; ;150000;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;626,594222981411
373310;1;3;2;1;1;1;1;1;1;3; ; ; ; ;200000;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;669,625870708184
373311;1;4;3;1;1;1;1;1;4;3; ; ; ; ;190000;1;1;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;794,735433199437
373312;1;4;3;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;715,522181579509
373313;1;2;1;1;1;1;1;1;4;1; ; ;20000000;200000; ;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;698,029926161409
373314;1;3;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;1;1;1;2;2;2;1;1;1;1;1;2;2;2;2;1;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;689,527352145
373315;1;3;2;1;1;1;1;1;1;3; ; ; ; ;200000;1;1;2;2;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;699,079163257591
373316;1;3;2;3;1;1;1;1;1;1; ; ;12000000;100000; ;1;2;2;1;1;1;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;1;2;1;01;1;05;1;05;757,330000271977
373317;1;4;3;3;1;1;1;1;4;4; ; ; ;150000; ;1;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;1;2;1;01;1;05;1;05;766,19474376044
373318;1;4;3;3;1;1;1;1;4;4; ; ; ;150000; ;1;1;2;1;1;2;2;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;2;1;1;1;2;1;01;1;05;1;05;612,890996275499
373319;1;4;3;1;1;1;1;1;3;1; ; ;90000000;300000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;2;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;859,256537025019
373320;1;5;4;1;1;1;1;1;3;3; ; ; ; ;250000;1;2;2;1;1;1;1;2;2;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;567,056917312017
373321;1;6;4;1;1;1;1;1;3;2; ;500000;20000000;200000; ;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;894,346446691109
373322;1;2;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;847,431659781942
373323;1;4;1;1;1;1;1;1;1;3; ; ; ; ;400000;1;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;05;1;05;724,367860082176
373324;1;3;2;1;1;1;1;1;4;1; ; ;10000000;200000; ;1;1;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;856,327874119908
373325;1;4;3;1;1;1;1;1;3;1; ; ;50000000;400000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;1;1;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;859,256537025019
373326;1;3;2;1;1;1;1;1;1;1; ; ;10000000;100000; ;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;1;05;1;05;724,367860082176
373327;1;1;1;3;1;1;1;2;1;4; ; ; ;90000; ;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;1;2;1;01;1;05;1;05;768,479505963471
373329;1;5;3;1;1;1;1;1;1;3; ; ; ; ;280000;1;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;558,616575203451
373330;1;1;1;3;1;1;1;3;4;3; ; ; ; ;50000;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;1;1;2;1;01;1;05;1;05;625,794387614142
373331;1;5;4;1;1;1;1;1;3;1; ; ;80000000;300000; ;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;926,434349435711
373332;1;3;1;1;1;1;1;1;1;3; ; ; ; ;160000;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;739,888280689175
373334;1;4;3;1;1;1;1;1;3;3; ; ; ; ;270000;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;05;1;05;845,146897578911
373336;1;4;3;1;1;1;1;1;3;3; ; ; ; ;461000;1;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;904,44671528642
373337;1;3;1;1;1;1;1;1;4;3; ; ; ; ;150000;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;2;2;1;01;1;05;1;05;766,994579127709
373338;1;3;1;1;1;1;1;1;4;1; ; ;30000000;180000; ;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;766,288446517785
373339;1;6;5;1;1;1;1;1;4;5; ; ; ;200000; ;1;2;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;671,911315311676
373340;1;1;1;1;1;1;1;1;1;3; ; ; ; ;100000;2;2;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;1;05;1;05;617,729479492948
373342;1;5;4;1;1;1;1;1;3;1; ; ;60000000;500000; ;1;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;05;1;05;660,572663643476
373343;1;3;2;1;1;1;1;1;3;1; ; ;90000000;800000; ;1;1;2;1;1;1;1;1;2;1;1;1;2;2;1;2;1;1;2;1;2;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;838,679684036619
373344;1;4;1;1;1;1;1;1;3;1; ; ;110000000;800000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;698,029926161409
373345;1;2;2;1;2;1;1;6; ;5; ; ; ;200000; ;1;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;3;2;1;2;1;1;1;3;2;1;01;1;05;1;05;788,069353763531
373346;1;3;1;1;1;1;1;1;3;3; ; ; ; ;400000;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;2;1;2;1;4;1;1;1;1;1;4;1;1;01;1;05;1;05;766,288446517785
373347;1;3;2;1;1;1;1;1;1;1; ; ;65000000;220000; ;1;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;1;2;1;2;1;2;1;1;1;3;2;1;01;1;05;1;05;775,684322965188
373348;1;1;1;1;2;1;1;2;4;5; ; ; ;120000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;3;2;1;2;1;1;1;3;2;1;01;1;05;1;05;724,367860082176
373349;1;5;2;1;1;1;1;1;3;1; ; ;110000000;800000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;2;1;4;1;1;1;1;1;4;2;1;01;1;05;1;05;759,727530218149
373350;1;3;1;1;1;1;1;1;1;4; ; ; ;800000; ;1;1;2;1;1;1;1;1;2;1;1;2;2;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;4;2;1;01;1;05;1;05;698,029926161409
373351;1;2;2;1;2;1;1;2;4;5; ; ; ;100000; ;1;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;3;2;1;2;1;1;1;3;2;1;01;1;05;1;05;699,016931349748
373352;1;1;1;1;1;1;1;6; ;3; ; ; ; ;500000;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;5;2;1;01;1;05;1;05;627,281290605539
373352;2;1;1;1;1;1;1;6; ;3; ; ; ; ;750000;1;1;1;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;01;1;05;1;05;627,281290605539
373352;3;1;1;1;2;1;1;6; ;3; ; ; ; ;620000;1;1;1;2;1;2;2;2;2;1;1;2;1;1;2;2;1;2;2;2;2;3; ; ; ; ; ; ; ; ; ; ;1;01;1;05;1;05;627,281290605539
373353;1;5;2;1;1;1;1;1;4;4; ; ; ;350000; ;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;1;05;1;05;706,781901906731
