Directorio;Secuencia_p;Orden;Area;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6050;P6080;P6080s1;P6060;P6060s1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180s1;P6180s2;P6190;P6190s1;P6200;P6200s1;P6210;P6210s1;P6220;P6040;Dpto;Fex_c_2011
373301;1;1;05;10;1;2;1;8;1959;1;6; ;1;3;3;1; ; ;3; ; ;1;1;2; ; ; ; ; ; ; ; ;3;5; ;47;05;617,729479492948
373301;1;2;05;10;1;2;1;1;1990;3;6; ;1;3;5;1; ; ;3; ; ;1;1;1;1;1;200;1500;2; ;2; ;4;0; ;17;05;617,729479492948
373301;1;3;05;10;1;1;1;11;1992;3;6; ;1;3;5;1; ; ;3; ; ;1;1;1;1;1;200;1500;2; ;2; ;3;1; ;14;05;617,729479492948
373301;1;4;05;10;1;1;1;5;2003;3;6; ;2; ; ;1; ; ;3; ; ;1;2;2; ; ; ; ;2; ;2; ;1;0; ;4;05;617,729479492948
373302;1;1;05;10;1;1;1;10;1957;1;6; ;2; ;2;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;4;8; ;49;05;694,447406943687
373302;1;2;05;10;2;2;1;11;1970;2;6; ;2; ;2;1; ; ;1;1;8500;2;1;2; ; ; ; ; ; ; ; ;6;2;3;36;05;694,447406943687
373302;1;3;05;10;3;2;1;2;1991;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;9; ;16;05;694,447406943687
373302;1;4;05;10;2;2;1;8;1996;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;4; ;10;05;694,447406943687
373302;1;5;05;10;2;1;1;11;1997;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;2; ;9;05;694,447406943687
373302;1;6;05;10;2;2;1;5;2001;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;0; ;6;05;694,447406943687
373303;1;1;05;10;1;1;1;11;1930;1;6; ;2; ;6;1; ; ;1;5; ;1;1;2; ; ; ; ; ; ; ; ;3;1; ;76;05;724,367860082176
373303;1;2;05;10;2;2;1;7;1933;2;6; ;2; ;6;1; ; ;1;5; ;1;1;2; ; ; ; ; ; ; ; ;1;0; ;74;05;724,367860082176
373304;1;1;05;10;1;2;1;2;1964;1;6; ;2; ;4;1; ; ;1;2;54300;1;1;2; ; ; ; ; ; ; ; ;5;11;2;43;05;687,929657566097
373304;1;2;05;10;1;1;1;5;1992;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;8; ;15;05;687,929657566097
373304;1;3;05;10;3;2;1;4;1994;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;6; ;13;05;687,929657566097
373305;1;1;05;10;1;1;1;2;1966;1;6; ;2; ;2;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;5;11;2;41;05;696,79440105456
373305;1;2;05;10;2;2;1;12;1982;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;4;8; ;24;05;696,79440105456
373305;1;3;05;10;3;2;1;12;1997;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;3000;2; ;2; ;3;1; ;9;05;696,79440105456
373305;1;4;05;10;2;1;1;3;2006;3;6; ;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;696,79440105456
373306;1;1;05;10;1;1;1;8;1952;1;6; ;2; ;2;2;1;1; ; ; ; ;1;2; ; ; ; ; ; ; ; ;6;2;3;54;05;919,967135893419
373306;1;2;05;10;2;2;1;6;1960;2;6; ;2; ;2;2;1;82; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;2; ;47;05;919,967135893419
373306;1;3;05;10;3;1;1;1;1980;3;6; ;2; ;5;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;5;11;2;27;05;919,967135893419
373307;1;1;05;10;1;2;1;3;1978;1;6; ;2; ;3;2;1;24; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;9; ;29;05;735,318756283114
373307;1;2;05;10;1;2;1;3;1999;3;6; ;2; ; ;2;1;24; ; ; ; ;1;1;1;1;200;3000;2; ;2; ;3;1; ;8;05;735,318756283114
373307;1;3;05;10;1;2;1;3;2001;3;6; ;2; ; ;2;1;24; ; ; ; ;2;2; ; ; ; ;2; ;2; ;1;0; ;6;05;735,318756283114
373308;1;1;05;10;1;2;1;5;1946;1;6; ;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ;61;05;781,152835246596
373308;1;2;05;10;2;1;1;7;1971;3;6; ;2; ;5;2;1;3; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;5; ;35;05;781,152835246596
373308;1;3;05;10;2;2;1;9;1996;4;6; ;2; ;5;2;1;3; ; ; ; ;1;1;2;2; ; ;2; ;2; ;3;3; ;10;05;781,152835246596
373308;1;4;05;10;2;2;1;1;1998;4;6; ;2; ; ;2;1;3; ; ; ; ;1;1;1;2; ; ;2; ;2; ;3;2; ;9;05;781,152835246596
373308;1;5;05;10;5;2;1;6;1973;3;6; ;2; ;5;2;1;6; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;8; ;34;05;781,152835246596
373308;1;6;05;10;5;2;1;5;2005;4;6; ;2; ; ;2;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;781,152835246596
373309;1;1;05;10;1;1;1;7;1979;1;5; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;7; ;27;05;626,594222981411
373309;1;2;05;10;2;2;1;9;1982;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;24;05;626,594222981411
373309;1;3;05;10;1;1;1;3;2002;3;6; ;2; ; ;1; ; ;3; ; ;2;2;1;1;1;11;500;2; ;2; ;2;0; ;5;05;626,594222981411
373309;1;4;05;10;1;1;1;5;2006;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;626,594222981411
373309;1;5;05;10;1;2;1;5;2006;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;626,594222981411
373310;1;1;05;10;1;2;1;4;1961;1;6; ;2; ;5;1; ; ;3; ; ;1;1;2; ; ; ; ; ; ; ; ;3;2; ;46;05;669,625870708184
373310;1;2;05;10;2;2;1;6;1981;3;6; ;2; ;5;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;3;5; ;26;05;669,625870708184
373310;1;3;05;10;2;1;1;5;2001;4;6; ;2; ; ;1; ; ;3; ; ;1;2;1;1;2; ; ;2; ;2; ;3;0; ;6;05;669,625870708184
373311;1;1;05;10;1;1;1;4;1971;1;6; ;2; ;6;1; ; ;1;1;70000;2;1;2; ; ; ; ; ; ; ; ;6;3;3;36;05;794,735433199437
