Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Fex_c_2011
386871;1;2;80;1;1;2; ;2; ; ; ; ; ;2;17;316,59330253752
386872;1;2;80;1;4;2; ;2; ; ; ; ; ;2;17;262,927617782873
386874;1;2;80;1;4;2; ;2; ; ; ; ; ;2;17;392,878762831285
386874;1;3;80;2; ; ; ; ; ; ; ; ; ;2;17;392,878762831285
386875;1;2;80;2; ; ; ; ; ; ; ; ; ;2;17;330,185542409018
386877;1;2;80;2; ; ; ; ; ; ; ; ; ;2;17;169,514344186985
386878;1;2;80;2; ; ; ; ; ; ; ; ; ;2;17;325,036491287749
386880;1;1;80;2; ; ; ; ; ; ; ; ; ;2;17;350,613912531634
386882;1;3;80;1;1;7; ;2; ; ; ; ; ;2;23;995,355204508106
386882;1;4;80;1;1;2; ;2; ; ; ; ; ;2;23;995,355204508106
386883;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2171,88671576858
386884;1;1;80;1;2;3; ;2; ; ; ; ; ;2;23;1818,47613200383
386884;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;1818,47613200383
386884;1;4;80;2; ; ; ; ; ; ; ; ; ;2;23;1818,47613200383
386885;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2133,71799060865
386885;1;7;80;2; ; ; ; ; ; ; ; ; ;2;23;2133,71799060865
386886;1;1;80;1;4;8;POR LA EDAD;2; ; ; ; ; ;2;23;2105,20251682183
386886;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;2105,20251682183
386887;1;1;80;1;4;2; ;2; ; ; ; ; ;2;23;1868,01791337169
386887;1;2;80;2; ; ; ; ; ; ; ; ; ;2;23;1868,01791337169
386887;1;3;80;1;1;7; ;2; ; ; ; ; ;2;23;1868,01791337169
386887;1;5;80;1;4;3; ;2; ; ; ; ; ;2;23;1868,01791337169
386888;1;2;80;1;4;2; ;2; ; ; ; ; ;2;23;2659,29390915999
386888;1;5;80;1;1;7; ;2; ; ; ; ; ;2;23;2659,29390915999
386888;1;6;80;2; ; ; ; ; ; ; ; ; ;2;23;2659,29390915999
386888;1;7;80;1;2;7; ;2; ; ; ; ; ;2;23;2659,29390915999
386888;1;8;80;2; ; ; ; ; ; ; ; ; ;2;23;2659,29390915999
386889;1;2;80;1;4;2; ;2; ; ; ; ; ;2;23;2030,59525002003
386889;1;5;80;1;1;1; ;2; ; ; ; ; ;2;23;2030,59525002003
386889;1;8;80;1;4;8;POR LA EDAD;2; ; ; ; ; ;2;23;2030,59525002003
