Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Area;Fex_c_2011
373310;1;2;70;18;60;1; ;1;1;2;28;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;98;1;45;45;1521;15;05;05;669,625870708184
373324;1;1;70;4;48;1; ;1;1;2;4;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;1800000;1;95;95;4521;45;05;05;856,327874119908
373327;1;1;70;50;48;1; ;1;1;2;52;1; ;2;1; ;.;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;98;98;6021;60;05;05;768,479505963471
373330;1;2;70;40;48;3; ;1;1;2;150;3; ;1;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;05;05;625,794387614142
373336;1;4;70;120;48;1; ;2;2;2;18;4; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;1;98;98;6031;60;05;05;904,44671528642
373353;1;2;70;104;24;1; ;1;1;2;104;1; ;4;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;45;5233;52;05;05;706,781901906731
373376;1;1;70;4;48;1; ;1;1;2;6;1; ;7;1; ;.;6; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;5400000;1;80;80;1921;19;05;05;739,888280689175
373379;1;3;70;12;48;1; ;2;2;2;12;4; ;9;1; ;.;6; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4200000;1;17;16;8512;85;05;05;849,766957820271
373382;1;1;70;8;48;1; ;2;2;2;8;2; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ;1; ;ESPERANDO  LA   EDAD PARA  PENSIONARSE;2; ;1;300000;1;21;20;7512;75;05;05;708,506510554497
373385;1;3;70;50;48;1; ;1;1;2;32;1; ;4;1; ;.;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;180000;1;16;16;7430;74;05;05;778,031317076062
