DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4543894;1;1;1;70;2;4;49;8; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;300000;2; ;62;95;45;1;1;02;4521;23;1074,75314976526
4543898;1;3;1;70;2;3;49;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;500000;2; ;63;84;50;1;1;02;5020;23;2421,63766623284
4543899;1;4;1;70;2;6;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;45; ; ;1;1;02; ;23;883,41095566417
4543916;1;7;1;70;2;4;49;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ;54; ; ;1;1;02; ;23;3119,87804934985
4543924;1;2;1;70;2;4;12;4; ;2;4;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;99;2; ;61;61;01;1;1;02;0123;23;1898,39074124895
4543939;1;1;1;70;2;5;30;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;55;55;74;1;1;02;7493;23;2212,9678487874
4543966;1;1;1;70;2;24;40;3; ;2;24;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;2;02;9500;23;1169,25491297288
4543989;1;2;1;70;2;52;48;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;45;62;21;1;2;02;2102;76;7665,16206450208
4545304;1;4;1;70;2;12;48;1; ;2;20;1; ;7;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;59;59;85;1;1;02;8511;68;1448,60661209485
4545304;1;7;1;70;2;2;24;1; ;2;12;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;53;45;52;1;1;02;5262;68;1448,60661209485
4545311;1;2;1;70;2;4;48;1; ;2;2;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;120000;781000;2; ;55;53;55;1;1;02;5529;68;752,142814395974
4545313;1;5;1;70;2;8;48;1; ;2;20;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;87;95;45;1;1;02;4521;68;1012,09577992706
4545316;1;2;1;70;2;4;48;1; ;2;78;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;780000;2; ;58;58;11;1;1;02;1110;68;645,78633075289
4545317;1;1;1;70;2;2;48;1; ;2;4;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;1;98;1500000;2; ;95;95;45;1;1;02;4530;68;671,80223425767
4545320;1;3;1;70;2;6;48;1; ;2;32;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;53;58;11;1;1;02;1110;68;465,624342289205
4545321;1;2;1;70;2;4;48;1; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;58;58;11;1;1;02;1110;68;672,997885858428
4548210;1;2;1;70;2;4;48;8; ;2;6;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;960000;2; ;62;62;01;1;1;02;0118;25;6846,14936599498
4548357;1;3;1;70;2;5;40;1; ;2;9;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;45;51;55;1;1;02;5521;73;2085,16844776116
4548375;1;3;1;70;2;48;48;1; ;2;24;6; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;33;62;01;1;2;02;0111;73;2085,16844776116
4548375;1;4;1;70;2;48;24;1; ;2;24;6; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;62;01;1;2;02;0111;73;2085,16844776116
4548388;1;3;1;70;2;1;25;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;390621; ; ;32; ; ;1;1;02; ;76;2188,43198888457
4548393;1;3;1;70;2;24;48;1; ;2;12;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;53;95;45;1;2;02;4552;76;2136,09816971631
4548393;1;4;1;70;2;78;45;1; ;2;78;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;81;95;45;1;2;02;4552;76;2136,09816971631
4548398;1;4;1;70;2;22;40;4; ;2;52;8; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;3; ;41;62;01;1;2;02;0114;76;2072,41579128269
4550866;1;2;1;70;2;3;40;1; ;2;8;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;38;33;52;1;1;02;5231;63;4755,48387872397
4550876;1;2;1;70;2;6;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;95;93;45;1;1;02;4552;63;4064,20942831294
4550881;1;1;1;70;2;24;48;1; ;2;24;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;59;59;85;1;2;02;8511;63;6378,72968405969
4550883;1;2;1;70;2;7;40;1; ;2;104;1; ;4;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;54;45;15;1;1;02;1521;63;4515,32775370485
4550883;1;3;1;70;2;4;48;1; ;2;7;3; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;59;59;95;1;1;02;9500;63;4515,32775370485
