DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011;AREA
4537904;1;1;1;80;1;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;4034,73799097469; 
4537904;1;2;1;80;1;1;3;8; ;2; ; ;8; ;2; ;2; ;1;48;781242;2;1;02;68;4034,73799097469; 
4537905;1;2;1;80;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;5137,0339000546; 
4537905;1;4;1;80;1;1;3;8; ;2; ; ;9; ;2; ;2; ;1;48;781300;2;1;02;68;5137,0339000546; 
4537907;1;1;1;80;1;1;1;8; ;2; ; ;4; ;2; ;2; ;1;48;781300;2;1;02;68;3419,41728183682; 
4537908;1;1;1;80;1;1;4;4; ;2; ; ;4; ;2; ;2; ;1;48;800000;2;1;02;68;4761,32161743227; 
4537909;1;3;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;68;2484,38421453377; 
4537910;1;1;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;68;4634,30999289091; 
4537910;1;2;1;80;1;1;4;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;68;4634,30999289091; 
4537914;1;2;1;80;1;1;4;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;02;68;2801,55839020863; 
4537915;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;68;7113,80209123703; 
4537915;2;2;2;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;68;7113,80209123703; 
4537916;1;1;1;80;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;68;4242,18480260997; 
4537919;1;4;1;80;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;68;3561,85650762927; 
4537921;1;1;1;80;1;1;3;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;68;4761,32161743227; 
4537924;1;1;1;80;1;1;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;02;68;5620,3418116588; 
4537925;1;2;1;80;1;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;68;4243,97810889447; 
4537926;1;2;1;80;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;68;4376,73578263396; 
