DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
4537904;1;2;1;1;1;1;1;6; ;1; ; ;40000000;400000; ;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;1;1;1;1;1;2;1;1;2;1;1;01;1;02;68;4034,73799097469; 
4537905;1;4;3;1;1;1;1;1;3;1; ; ;60000000;350000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;1;1;2;1;2;2;1;4;5;2; ;1;1;1;2;1;1;1;1;1;2;1;1;01;1;02;68;5137,0339000546; 
4537906;1;4;1;1;1;1;1;1;4;1; ; ;80000000;600000; ;2;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;2;2; ;1;2;1;2;1;1;2;1;1;2;1;1;01;1;02;68;4034,73799097469; 
4537907;1;3;2;1;1;1;1;1;3;1; ; ;50000000;350000; ;1;2;1;2;1;2;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;2;4;2; ;1;1;1;2;1;1;1;1;1;2;1;1;01;1;02;68;3419,41728183682; 
4537908;1;4;1;1;1;1;1;1;3;1; ; ;80000000;600000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;1;02;68;4761,32161743227; 
4537909;1;3;2;1;1;1;1;1;3;1; ; ;70000000;400000; ;2;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;3;2; ;1;1;1;2;1;1;1;1;1;2;1;1;01;1;02;68;2484,38421453377; 
4537910;1;4;2;1;1;1;1;1;3;3; ; ; ; ;438000;1;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;2;2;2;2;1;1;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;02;68;4634,30999289091; 
4537911;1;3;1;1;1;1;1;1;3;3; ; ; ; ;350000;2;1;1;2;1;2;1;1;2;2;1;2;2;1;2;2;1;2;1;2;2;1;1;1;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;1;02;68;5568,34043098378; 
4537914;1;2;1;1;1;1;1;1;3;3; ; ; ; ;440000;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;2;2;2; ;1;2;1;2;1;1;1;1;1;2;1;1;01;1;02;68;2801,55839020863; 
4537915;1;5;3;1;2;1;1;1;3;3; ; ; ; ;450000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;1;2;2;1;4;4;2; ;1;1;1;2;1;3;1;1;1;2;1;1;01;1;02;68;7113,80209123703; 
4537915;2;1;1;1;2;1;1;1;3;3; ; ; ; ;250000;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;3;2; ;2;1;1;2;1;3;1;1;1;2;1;1;01;1;02;68;7113,80209123703; 
4537916;1;1;1;1;1;1;10;5;3;3; ; ; ; ;260000;2;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;1;2; ;1;3;1;2;1;3;1;1;1;2;1;1;01;1;02;68;4242,18480260997; 
4537919;1;4;3;1;1;1;7;1;3;1; ; ;99;99; ;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;2;1;1;2;1;4;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;02;68;3561,85650762927; 
4537920;1;1;1;1;1;1;1;2;4;3; ; ; ; ;300000;2;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;3;1;4;1;3;2;1;1;2;1;1;01;1;02;68;4877,5857077443; 
4537921;1;1;1;1;1;1;1;2;4;3; ; ; ; ;300000;2;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2; ;1;2; ;1;3;1;2;1;3;1;1;1;2;1;1;01;1;02;68;4761,32161743227; 
4537922;1;4;3;1;1;1;1;1;3;1; ; ;100000000;1000000; ;2;1;1;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;2;1;2;1;2;4;2; ;1;1;1;4;1;3;1;1;1;2;1;1;01;1;02;68;2803,35169649314; 
4537923;1;4;3;1;1;1;1;1;3;1; ; ;80000000;400000; ;2;1;1;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;2;2;1;2;6;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;1;02;68;7276,78687767993; 
