DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4537981;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;944,297246636086
4537981;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;944,297246636086
4537982;1;1;1;80;05;1;4;8; ;2; ; ;10; ;3; ;2; ;1;24;4000000;3;1;02;05;999,913555570384
4537982;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;05;999,913555570384
4537983;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;05;1129,79136779798
4537985;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;05;1096,11156112078
4537986;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;02;05;999,913555570384
4537986;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;999,913555570384
4537987;1;3;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;05;1036,39988325297
4537987;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;24;98;2;1;02;05;1036,39988325297
4537989;1;2;1;80;05;2; ; ; ; ;1;4;1; ;2; ;2; ;1;24;782000;2;1;02;05;1584,94893839283
4537991;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;05;1240,84871546546
4537991;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;1240,84871546546
4537991;1;6;1;80;05;1;3;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;02;05;1240,84871546546
4537992;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;1291,48301237151
4537993;1;4;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;05;1089,84452378738
4537995;1;2;1;80;05;1;4;1; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;05;999,913555570384
4537997;1;2;1;80;05;1;1;1; ;1; ;1;2; ;2; ;2; ; ; ; ;2;1;02;05;625,926697913751
4537997;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;05;625,926697913751
4537997;1;5;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;05;625,926697913751
4537998;1;1;1;80;05;1;4;6; ;2; ; ;4; ;2; ;2; ;1;40;1000000;2;1;02;05;1292,11025598561
4537999;1;1;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;05;882,036833296395
4538000;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;05;1197,76648119796
4538002;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;05;1059,69631715621
4538002;1;2;1;80;05;1;3;7; ;2; ; ;11; ;2; ;2; ; ; ; ;2;1;02;05;1059,69631715621
4538003;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;05;1520,67486784647
4538003;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;1520,67486784647
4538003;1;4;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;2; ;750000;2;1;02;05;1520,67486784647
4538004;1;1;1;80;05;1;3;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;05;1129,79136779798
4538005;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;05;1241,40105273857
4538005;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;1241,40105273857
4538006;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;1157,20413714179
4538006;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;24;500000;2;1;02;05;1157,20413714179
4538009;1;3;1;80;05;1;2;4; ;2; ; ;4; ;1; ;2; ;2; ;98;2;1;02;05;827,282378326801
4538010;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;05;966,233748893179
4538010;1;2;1;80;05;1;4;3; ;2; ; ;9; ;3; ;2; ; ; ; ;3;1;02;05;966,233748893179
4538011;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02;05;882,036833296395
4538012;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;766,637762776274
4538013;1;1;1;80;05;1;1;7; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;02;05;1155,8943227066
4538015;1;2;1;80;05;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;02;05;916,884477292282
4538016;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;2;1;02;05;924,79019831238
4538016;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;924,79019831238
4538017;1;1;1;80;05;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;05;745,563114483886
4538017;1;2;1;80;05;1;1;8; ;2; ; ;2; ;1; ;2; ; ; ; ;2;1;02;05;745,563114483886
4538017;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02;05;745,563114483886
