Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Mes;Dpto;Fex_c_2011
3618013;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;17;12;17;463,668163709718
3618013;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;12;17;463,668163709718
3618015;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;162,114557808001
3618016;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;387,240317141883
3618016;1;2;1;90;2;1;2;2;2;2;1;2;2;2; ;14; ; ; ; ;4; ; ; ;17;12;17;387,240317141883
3618016;1;3;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;387,240317141883
3618018;1;1;1;90;2;1;2;1;2;2;1;2;2;2; ;3; ;4; ; ;18; ; ; ;17;12;17;203,753600342999
3618022;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;40; ; ; ; ; ; ; ; ;17;12;17;286,836213374447
3618022;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;286,836213374447
3618023;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;17;12;17;324,229115616001
3618024;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;17;12;17;166,200331721041
3618025;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;286,836213374447
3618025;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;12; ; ; ; ; ; ;17;12;17;286,836213374447
3618028;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;35; ; ;42; ; ; ; ; ;17;12;17;310,531616954724
3618028;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;17;12;17;310,531616954724
3618030;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;17;12;17;158,945279059634
