Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3617989;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;14; ; ; ; ; ; ;1;12;18;66,2835020372684;18
3617989;1;2;1;90;2;1;2;1;2;1;2;2;2;2; ;21; ;28; ;2; ; ; ; ;1;12;18;66,2835020372684;18
3617989;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;35; ; ; ; ; ; ;1;12;18;66,2835020372684;18
3617989;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;12;18;66,2835020372684;18
3617989;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;12;18;66,2835020372684;18
3617990;1;1;1;90;1;1;2;1;2;2;2;2;2;2;21;14; ;35; ; ; ; ; ; ;1;12;18;100,388032736586;18
3617990;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;15; ; ; ; ; ; ;1;12;18;100,388032736586;18
3617990;1;3;1;90;2;1;2;2;2;2;1;2;2;2; ;3; ; ; ; ;28; ; ; ;1;12;18;100,388032736586;18
3617990;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;14; ; ; ; ; ; ;1;12;18;100,388032736586;18
3617991;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;12;18;159,188597589728;18
3617991;1;2;1;90;2;1;2;1;2;2;2;2;1;2; ;21; ;7; ; ; ; ;5; ;1;12;18;159,188597589728;18
3617991;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;12;18;159,188597589728;18
3617992;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;18;258,234466988655;18
3617992;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;21; ;12; ; ; ; ; ; ;1;12;18;258,234466988655;18
3617992;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;7; ; ; ; ; ; ;1;12;18;258,234466988655;18
3617993;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;50; ; ; ; ; ; ;1;12;18;223,025777818021;18
