DIRECTORIO;AREA;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;DPTO;ORDEN;fex_c_2011
549810;05;1;5;1;1;1;1;1;1;1;1; ; ;50000000;200000; ;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;745,97542247423
549812;05;1;4;3;1;1;1;1;1;1;1; ; ;50000000;300000; ;1;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;872,345588382235
549813;05;1;6;4;1;1;1;1;1;4;3; ; ; ; ;500000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;1;2;1;4;1;2;1;1;1;5;2;1;01;05;1;844,914919813133
549814;05;1;4;2;1;1;1;1;1;3;1; ; ;150000000;900000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;2;1;4;1;1;1;1;1;5;2;1;01;05;1;846,678935647664
549815;05;1;5;4;1;1;1;1;1;4;1; ; ;100000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;2;1;2;1;4;1;2;1;1;1;5;2;1;01;05;1;944,938311264068
549816;05;1;1;1;1;1;1;1;2;1;4; ; ; ;100000; ;1;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;05;1;1875,54468516115
549817;05;1;2;2;1;1;1;1;1;1;4; ; ; ;90000; ;2;1;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;01;05;1;1476,85720433459
549818;05;1;4;3;1;1;1;1;1;4;4; ; ; ;300000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;822,956842545735
549819;05;1;2;1;1;1;1;1;1;4;4; ; ; ;120000; ;2;1;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;1;1215,92260583087
549820;05;1;1;1;1;1;1;1;2;1;3; ; ; ; ;70000;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;01;05;1;1638,59740387718
549821;05;1;4;3;1;1;1;1;1;1;1; ; ;45000000;280000; ;1;1;2;1;1;1;2;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;680,55402579727
549822;05;1;4;3;1;1;1;1;1;4;3; ; ; ; ;330000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;01;05;1;676,451731205624
549823;05;1;2;1;1;1;1;1;3;1;3; ; ; ; ;160000;1;1;2;2;1;1;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;1086,67819788838
549824;05;1;2;1;1;1;1;1;3;1;3; ; ; ; ;190000;1;1;2;2;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;972,30685183804
549825;05;1;4;3;1;1;1;1;3;1;3; ; ; ; ;300000;1;1;2;1;1;1;1;1;1;2;1;2;1;2;2;2;1;2;1;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;884,287637766151
