DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
557835;1;1;70;26;72;4; ;1;1;2;26;8; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;41;61;0121;01;1;23;2327,34918696457
557835;1;3;70;12;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;23;2327,34918696457
557835;1;5;70;12;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;23;2327,34918696457
557836;1;3;70;4;48;3; ;1;1;2;16;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;54;54;9500;95;1;23;1489,93354925512
560772;1;3;70;2;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;59; ; ; ;1;25;2199,09882173514
560773;1;2;70;104;25;3; ;1;1;2;364;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;25;2827,38620314449
560804;1;3;70;2;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;25;1247,49412630434
560810;1;3;70;4;40;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;25;1595,07634643323
560860;1;2;70;4;48;1; ;1;1;2;12;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3469000;2;99;53;1010;10;1;25;2374,42009237981
560974;1;7;70;24;60;8; ;1;1;2;24;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0121;01;1;13;3090,68159263323
560975;1;3;70;36;40;3; ;1;1;2;36;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;13;3578,53208044489
561176;1;2;70;40;30;1; ;1;1;2;52;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;79;79;1810;18;1;15;848,604342333992
561178;1;3;70;3;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;15;1426,81103092033
561178;1;4;70;7;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;40; ; ; ;1;15;1426,81103092033
561696;1;2;70;4;40;3; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;19;1034,53976694861
561696;1;3;70;7;20;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;19;1034,53976694861
