DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
4804535;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;930,626304647455
4804535;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;930,626304647455
4804535;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;930,626304647455
4804536;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1097,21111588101
4804537;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;827,29749635946
4804537;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;827,29749635946
4804537;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;827,29749635946
4804537;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;827,29749635946
4804537;1;5;1;50;05;1; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;827,29749635946
4804538;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1019,26442661415
4804538;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1019,26442661415
4804538;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;1019,26442661415
4804539;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;970,52164929621
4804539;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;970,52164929621
4804540;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;966,772056793869
4804540;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;966,772056793869
4804540;1;3;1;50;05;1; ; ;1;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;966,772056793869
4804541;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1400,42867693967
4804541;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;1400,42867693967
4804541;1;3;1;50;05;1; ; ;3;6;PASEAR;2;1; ; ; ; ; ; ; ; ; ; ;01;1;05;1400,42867693967
4804542;1;1;1;50;05;1; ; ;1;6;DE VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;01;1;05;1041,98928858957
4804543;1;1;1;50;05;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;996,979622702889
4804543;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;996,979622702889
4804543;1;3;1;50;05;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;996,979622702889
4804544;1;1;1;50;05;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;01;1;05;1208,89983219192
4804545;1;1;1;50;05;1; ; ;1;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;1096,55119097287
4804545;1;2;1;50;05;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;1096,55119097287
4804545;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1096,55119097287
4804545;1;4;1;50;05;1; ; ;4;6;VER TELEVISION;1; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1096,55119097287
4804546;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;938,986212670371
4804546;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;938,986212670371
4804546;1;3;1;50;05;1; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;01;1;05;938,986212670371
4804546;1;4;1;50;05;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;938,986212670371
4804546;1;5;1;50;05;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;938,986212670371
4804547;1;1;1;50;05;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1001,05494757403
4804547;1;2;1;50;05;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1001,05494757403
4804547;1;3;1;50;05;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;01;1;05;1001,05494757403
