DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011
4812691;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1914,02538530283
4812691;1;2;1;90;2; ;1;18;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1914,02538530283
4812692;1;1;1;90;1;10;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1380,86583286409
4812693;1;1;1;90;1;12;1;34;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1283,58558746689
4812693;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1283,58558746689
4812694;1;1;1;90;1;5;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;895,497392229614
4812694;1;2;1;90;1;3;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;895,497392229614
4812695;1;1;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1499,42722950678
4812695;1;2;1;90;1;10;1;34;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1499,42722950678
4812695;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1499,42722950678
4812695;1;4;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1499,42722950678
4812696;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;2043,62638430024
4812696;1;2;1;90;2; ;1;28;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;2043,62638430024
4812697;1;1;1;90;1;12;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1812,72700528658
4812697;1;2;1;90;1;8;1;30;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1812,72700528658
4812698;1;1;1;90;1;2;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1557,49452986765
4812698;1;2;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1557,49452986765
4812762;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1606,5326840309
4812762;1;2;1;90;2; ;1;32;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1606,5326840309
4812762;1;3;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1606,5326840309
4812762;1;4;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2;01;23;1606,5326840309
