DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;FT;DPTO;fex_c_2011
1161216;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1101,85484571241
1161216;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1101,85484571241
1161217;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;897,966009409484
1161217;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;05;897,966009409484
1161217;1;4;1;50;05;2; ;4;6;ENFERMO;2;2;2;1; ; ; ; ; ; ; ;1;1;05;897,966009409484
1161217;1;5;1;50;05; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;897,966009409484
1161217;1;7;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;897,966009409484
1161217;1;8;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;897,966009409484
1161218;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;989,013602309064
1161218;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;989,013602309064
1161218;1;3;1;50;05; ; ;3;4; ;2;2;2;2;1;4; ;1;2; ; ; ;1;05;989,013602309064
1161218;1;5;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;989,013602309064
1161220;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1048,08078133978
1161220;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1048,08078133978
1161220;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1048,08078133978
1161222;1;1;1;50;05; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1249,50080995279
1161222;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1249,50080995279
1161222;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1249,50080995279
1161222;1;4;1;50;05; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1249,50080995279
1161223;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1080,36539011418
1161223;1;2;1;50;05; ; ;3;6;ENFERMA;2;2;2;2;1;11; ; ; ; ; ; ;1;05;1080,36539011418
1161223;1;3;1;50;05;1; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1080,36539011418
1161223;1;4;1;50;05; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1080,36539011418
1161224;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;950,238153125892
1161224;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;950,238153125892
1161224;1;3;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;950,238153125892
