DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;AREA;fex_c_2011
1161217;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;05;05;897,966009409484
1161217;1;2;1;80;1;1;1;6; ;2; ;2; ; ;1; ;9;1;1;05;05;897,966009409484
1161217;1;7;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;897,966009409484
1161217;1;8;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;897,966009409484
1161218;1;3;1;80;1;1;1;6; ;2; ;2; ; ; ; ;9;2;1;05;05;989,013602309064
1161218;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;989,013602309064
1161220;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1048,08078133978
1161223;1;2;1;80;1;1;1;6; ;2; ;2; ; ; ; ;4;2;1;05;05;1080,36539011418
1161223;1;4;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1080,36539011418
1161224;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;950,238153125892
1161224;1;5;1;80;1;2; ; ; ;2; ;2; ;1;2; ;9; ;1;05;05;950,238153125892
1161225;1;3;1;80;1;1;1;2; ;2; ;2; ; ; ; ;2;2;1;05;05;973,991457540888
1161228;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1045,05151549847
1161228;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1045,05151549847
1161232;1;1;1;80;1;1;4;8; ;2; ;2; ; ;2; ;8;1;1;05;05;1026,39092551936
1161232;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1026,39092551936
1161234;1;3;1;80;1;1;2;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1120,74816935867
1161236;1;1;1;80;1;1;1;4; ;2; ;2; ; ; ; ;4;2;1;05;05;1102,86534802806
1161237;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;05;05;1090,72740940103
1161237;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;05;1090,72740940103
