DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;DPTO;ORDEN;fex_c_2011
1161216;1;3;2;1;1;1;1;1;3;3; ; ; ; ;170000;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1101,85484571241
1161217;1;5;4;1;1;1;1;1;3;3; ; ; ; ;280000;1;2;1;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;897,966009409484
1161218;1;1;1;1;1;1;1;2;4;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;2;1;2;2;1;1;1;2;1;2;1;1;1;2;2;1;01;05;05;1;989,013602309064
1161220;1;2;1;1;1;1;1;3;4;3; ; ; ; ;200000;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1048,08078133978
1161222;1;5;4;1;1;1;1;1;3;4; ; ; ;500000; ;1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;3;2;1;01;05;05;1;1249,50080995279
1161223;1;3;2;1;1;1;1;1;4;3; ; ; ; ;280000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1080,36539011418
1161224;1;3;3;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;950,238153125892
1161225;1;3;2;1;1;1;1;1;3;3; ; ; ; ;380000;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;973,991457540888
1161228;1;3;2;1;1;1;1;1;3;4; ; ; ;250000; ;1;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1045,05151549847
1161229;1;4;2;1;1;1;1;1;4;3; ; ; ; ;280000;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1016,63808560214
1161230;1;3;2;1;1;1;1;1;1;1; ; ;20000000;150000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;05;1;1012,76690672406
1161231;1;3;2;1;1;1;1;1;3;4; ; ; ;300000; ;1;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1101,85484571241
1161232;1;3;2;1;1;1;1;1;1;3; ; ; ; ;250000;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1026,39092551936
1161233;1;7;3;1;1;1;1;1;4;4; ; ; ;300000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1073,18987611125
1161234;1;4;3;1;1;1;1;1;1;1; ; ;45000000;350000; ;1;1;1;1;1;1;2;2;2;1;1;2;1;1;2;1;1;1;1;1;1;1;2;1;4;1;2;1;1;1;3;2;1;01;05;05;1;1120,74816935867
1161235;1;3;2;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;1;1;1;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;882,131866785077
1161236;1;4;2;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1102,86534802806
1161237;1;5;2;1;1;1;1;1;1;3; ; ; ; ;180000;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;1;4;1;2;1;1;1;2;2;1;01;05;05;1;1090,72740940103
1161238;1;7;5;1;1;1;1;1;3;1; ; ;150000000;250000; ;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;05;1;1013,12886041604
1161240;1;8;6;1;1;1;1;1;3;1; ; ;120000000;500000; ;1;1;1;1;1;1;2;2;2;1;2;1;2;1;1;1;1;1;1;2;1;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;1229,38595074873
1161241;1;6;2;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;2;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;05;1;926,554414186515
