DIRECTORIO SECUENCIA_P ORDEN HOGAR REGIS P6016 P6020 P6030S1 P6030S3 P6040 P6050 P6080 P6080S1 P6070 P6081 P6081S1 P6083 P6083S1 P6071 P6071S1 P3147S1 P3147S2 P3147S3 P3147S4 P3147S5 P3147S6 P3147S7 P3147S8 P3147S9 P3147S10 P3147S11 P3147S10A1 P3246 P6090 P6140 P6150 P6100 P6110 P6120 P6125 P6160 P6170 P6175 P6210 P6210S1 P6220 P6269 CLASE ESC MES DPTO fex_c_2011
5550964 1 1 1 10 1 2 7 1966 55 1 6  6 3  3              1  2 1   3   2 1 2  3 5   2 5 09 68 526.3160147
5550964 1 2 1 10 2 2 1 1994 27 3 6  6 2  1 1             1   1   3   2 1 2  5 11 2  2 11 09 68 526.3160147
5550965 1 1 1 10 1 1 12 2003 17 1 6  2 2  2  1 2           1  2 1   1 5  2 1 1 1 4 9   2 9 09 68 2105.2640588
5550965 1 2 1 10 2 2 8 2003 18 2 6  2 2  2  1 1           1   1   3   2 1 1 1 5 10 1  2 10 09 68 2105.2640588
5550966 1 1 1 10 1 1 6 1986 35 1 6  2 2  2  1 2       1      2 1   3   2 1 2  5 11 2  2 11 09 68 2105.2640588
5550966 1 2 1 10 2 2 1 1995 26 2 6  2 2  2  1 1           1   1   3   2 1 2  5 11 2  2 11 09 68 2105.2640588
5550966 1 3 1 10 2 2 5 2013 8 3 6   1 1 1 2                1   3   2 1 1 1 3 2   2 2 09 68 2105.2640588
5550966 1 4 1 10 2 2 8 2019 2 3 6   1 1 1 2                1   3   2        2  09 68 2105.2640588
5550967 1 1 1 10 1 1 6 1989 32 1 6  2 2  2  1 2           1  2 1   1 1 48000 2 1 2  5 11 2  2 11 09 68 2105.2640588
5550967 1 2 1 10 2 2 3 1992 29 2 6  2 2  2  1 1           1   1   1 5  2 1 2  5 11 2  2 11 09 68 2105.2640588
5550967 1 3 1 10 2 2 4 2012 9 3 6   2  1 2                1   1 5  2 1 1 1 3 3   2 3 09 68 2105.2640588
5550967 1 4 1 10 2 2 3 2016 5 3 6   1 1 1 2                1   1 5  2 2 1 1 2 0   2 0 09 68 2105.2640588
5550968 1 1 1 10 1 2 12 1965 55 1 6  5 3  3     1 1 1         2 1   3   2 1 2  3 2   2 2 09 15 2844.0401055
5550968 1 2 1 10 2 2 9 1994 27 3 6  4 2  1 1    1 1 1          1   3   2 1 2  4 6   2 6 09 15 2844.0401055
5550968 1 3 1 10 3 2 8 2011 10 4 6  6 2  1 2          1      1   3   2 1 1 1 3 2   2 2 09 15 2844.0401055
5550968 1 4 1 10 2 2 5 2013 8 4 6   2  1 2                1   3   2 1 1 1 3 2   2 2 09 15 2844.0401055
5550968 1 5 1 10 2 2 5 2020 1 4 6   2  1 2                1   3   2        2  09 15 2844.0401055
5550969 1 1 1 10 1 2 1 1943 78 1 6  5 3  3              1  1 1   3   2 1 2  3 2   2 2 09 15 711.01002639
5550969 1 2 1 10 1 2 7 1967 54 3 6  6 3  1 1             1   1   3   2 2 2  1 0   2 0 09 15 711.01002639
5550970 1 1 1 10 1 1 12 1951 69 1 6  5 3  3            1    2 1   3   2 1 2  3 4   2 4 09 15 711.01002639
5550970 1 2 1 10 2 1 5 1982 39 5 6  6 3  3     1 1 1          1   3   2 1 2  3 5   2 5 09 15 711.01002639
5550971 1 1 1 10 1 2 9 1971 49 1 6  3 3  2  1 2 1 1 1      1    1 1   3   2 1 2  3 5   2 5 09 15 711.01002639
5550971 1 2 1 10 2 1 4 1960 61 2 6  3 3  2  1 1         1     1   3   2 1 2  3 3   2 3 09 15 711.01002639
5550971 1 3 1 10 3 2 7 2005 16 3 6  6 1 2 1 1          1 1     1   3   2 1 1 1 4 9   2 9 09 15 711.01002639
5550972 1 1 1 10 1 2 9 1968 53 1 6  4 3  2       1     1    1 1   3   2 1 2  3 5   2 5 09 15 711.01002639
5550973 1 1 1 10 1 1 9 1966 55 1 6  2 3  2  1 2 1 1 1 1 1  1      2 1   3   2 1 2  3 2   2 2 09 15 711.01002639
5550973 1 2 1 10 2 2 7 1964 57 2 6  2 3  3  1 1    1          1   3   2 1 2  3 5   2 5 09 15 711.01002639
5550974 1 1 1 10 1 2 3 1960 61 1 6  4 3  1 3           1    1 1   3   2 2 2  1 0   2 0 09 15 711.01002639
5550974 1 2 1 10 2 1 4 1954 67 5 6  6 3  1 3         1  1     1   3   2 2 2  1 0   2 0 09 15 711.01002639
5550974 1 3 1 10 1 2 12 1928 92 5 6  5 3  3              1   1   3   2 2 2  1 0   2 0 09 15 711.01002639
