DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2689906,1,10,4,2,1,5,6,1,4,1,,,98,98,,2,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,3,2,2,,5,1,1,4,3,1,2,1,2,2,4,,,1,2,5,63,1,937.681.146.004.499
2689907,1,3,2,1,1,1,1,1,3,3,,,,,150000,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,5,1,1,1,2,1,1,1,1,1,2,2,1,1,2,5,63,1,9.021.990.229.659
2689908,1,3,2,1,1,1,1,1,3,4,,,,175000,,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,,2,1,1,4,1,1,1,4,1,1,1,1,1,2,2,1,1,2,5,63,1,572.555.517.345.524
2689909,1,3,2,1,1,1,1,1,3,4,,,,230000,,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,,3,1,1,1,2,1,1,1,1,1,2,2,1,1,2,5,63,1,906.981.847.822.276
2689910,1,3,2,1,1,1,1,1,3,1,,,98,150000,,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,5,1,1,1,4,1,1,1,1,1,2,2,1,1,2,5,63,1,146.308.077.205.122
2689911,1,3,2,2,1,5,2,1,4,4,,,,98,,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,4,2,2,,9,1,1,4,2,1,2,2,2,1,4,,1,1,2,5,63,1,145.841.237.615.224
2689912,1,3,2,2,1,5,1,1,5,1,,,800000,50000,,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,5,1,1,1,4,1,2,2,2,1,1,,1,1,2,5,63,1,106.400.726.595.967
2689913,1,4,2,4,1,4,2,1,4,4,,,,250000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,1,7,3,1,2,2,2,2,1,,,1,2,5,63,1,824.035.038.269.106
2689914,1,1,1,4,1,4,1,1,5,4,,,,100000,,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,3,1,1,7,3,1,2,2,2,1,1,,1,1,2,5,63,1,741.154.612.837.392
2689916,1,5,3,2,1,1,1,1,5,4,,,,100000,,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,3,2,2,,5,1,1,1,2,1,2,2,1,1,2,2,1,1,2,5,63,1,523.867.723.724.479
