DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,AREA,fex_c_2011
2684025,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,25,,,,,,,,,1,5,27,27,247.445.958.646.628
2684025,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,15,,,,,,,,,1,5,27,27,247.445.958.646.628
2684026,1,1,1,90,,2,1,2,2,1,2,2,2,2,2,,24,,,28,,,,,,1,5,27,27,247.445.958.646.628
2684026,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,5,27,27,247.445.958.646.628
2684026,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,25,,,,,,,,,1,5,27,27,247.445.958.646.628
2684027,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,5,27,27,247.445.958.646.628
2684027,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,5,27,27,247.445.958.646.628
2684028,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,7,,10,,,,,,,1,5,27,27,128.671.898.496.246
2684028,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,5,27,27,128.671.898.496.246
2684028,1,3,1,90,,2,2,2,1,2,2,2,2,2,2,,,,7,,,,,,,1,5,27,27,128.671.898.496.246
2684029,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,5,27,27,247.445.958.646.628
2684029,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,30,,,,,,,,,1,5,27,27,247.445.958.646.628
2684030,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,21,,14,,,,,,,1,5,27,27,247.445.958.646.628
2684030,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,5,27,27,247.445.958.646.628
2684030,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,5,27,27,247.445.958.646.628
2684031,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,5,27,27,247.445.958.646.628
2684031,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,1,5,27,27,247.445.958.646.628
2684031,1,3,1,90,,2,1,2,1,2,2,2,2,2,2,,7,,7,,,,,,,1,5,27,27,247.445.958.646.628
2684031,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,14,,,,,,,,,1,5,27,27,247.445.958.646.628
2684032,1,1,1,90,,2,1,2,1,2,2,2,2,2,2,,14,,7,,,,,,,1,5,27,27,247.445.958.646.628
2684032,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,1,5,27,27,247.445.958.646.628
2684032,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,5,27,27,247.445.958.646.628
2684033,1,1,1,90,,2,1,2,1,2,1,2,2,2,2,,25,,5,,1,,,,,1,5,73,73,188.516.169.043.896
2684033,1,2,1,90,,2,1,2,1,2,2,2,1,2,2,,25,,25,,,,2,,,1,5,73,73,188.516.169.043.896
2684033,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,1,5,73,73,188.516.169.043.896
2684033,1,7,1,90,,2,1,2,2,2,2,2,2,2,2,,12,,,,,,,,,1,5,73,73,188.516.169.043.896
2684034,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,5,73,73,155.006.816.194.586
2684034,1,2,1,90,,2,1,2,2,2,2,2,2,2,1,,12,,,,,,,,8,1,5,73,73,155.006.816.194.586
2684034,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,5,73,73,155.006.816.194.586
2684034,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,1,5,73,73,155.006.816.194.586
2684034,1,5,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,1,5,73,73,155.006.816.194.586
2684036,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,5,73,73,202.974.665.535.584
2684036,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,24,,,,,,,,,1,5,73,73,202.974.665.535.584
2684037,1,1,1,90,,1,1,2,2,2,2,2,2,2,2,14,84,,,,,,,,,1,5,73,73,159.057.825.784.944
2684037,1,2,1,90,,1,1,2,2,2,1,2,2,2,2,7,7,,,,14,,,,,1,5,73,73,159.057.825.784.944
2684038,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,24,,,,,,,,,1,5,73,73,192.557.276.279.338
2684038,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,1,5,73,73,192.557.276.279.338
2684039,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,28,,,,,,,,,1,5,73,73,17.864.419.652.304
2684040,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,1,5,73,73,257.987.840.227.729
2684040,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,5,73,73,257.987.840.227.729
