DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2689923,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,5,63,523.867.723.724.479
2689924,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,650.024.990.006.183
2689924,1,2,1,50,2,,,2,4,,2,2,2,2,1,6,,2,,2,,,5,63,650.024.990.006.183
2689924,1,3,1,50,2,,,3,3,,2,2,2,2,1,12,,,,,,,5,63,650.024.990.006.183
2689924,1,4,1,50,2,,,4,3,,2,2,1,,,,,,,,,,5,63,650.024.990.006.183
2689924,1,5,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,650.024.990.006.183
2689924,1,6,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,650.024.990.006.183
2689925,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,753.291.522.192.343
2689925,1,2,1,50,2,,,1,3,,2,2,2,2,2,,,,,,,,5,63,753.291.522.192.343
2689926,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,655.502.326.898.694
2689926,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,5,63,655.502.326.898.694
2689926,1,3,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,655.502.326.898.694
2689927,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,853.422.309.052.996
2689927,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,5,63,853.422.309.052.996
2689927,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,853.422.309.052.996
2689927,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,5,63,853.422.309.052.996
2689927,1,7,1,50,2,,,7,1,,,,,,,,,,,,,,5,63,853.422.309.052.996
2689932,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,892.767.589.996.476
2689932,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,5,63,892.767.589.996.476
2689932,1,4,1,50,2,,,4,4,,2,2,1,,,,,,,,,,5,63,892.767.589.996.476
2689933,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,151.818.208.573.921
2689933,1,2,1,50,2,,,2,4,,2,2,2,2,1,6,,2,,1,2,1,5,63,151.818.208.573.921
2689934,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,836.238.331.745.513
2689934,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,5,63,836.238.331.745.513
2689935,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,906.981.847.822.276
2689935,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,5,63,906.981.847.822.276
2689935,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,906.981.847.822.276
2689936,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,892.767.589.996.476
2689936,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,63,892.767.589.996.476
2689936,1,4,1,50,2,,,4,4,,2,2,2,2,2,,,,,,,,5,63,892.767.589.996.476
2689937,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,968.923.547.051.549
2689937,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,63,968.923.547.051.549
2689937,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,968.923.547.051.549
2689937,1,5,1,50,2,,,5,3,,2,2,2,2,2,,,,,,,,5,63,968.923.547.051.549
2689938,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,906.981.847.822.276
2689938,1,2,1,50,2,,,2,4,,2,2,2,2,1,2,,2,,2,,,5,63,906.981.847.822.276
2689938,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,63,906.981.847.822.276
2689939,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,122.651.002.098.958
2689939,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,122.651.002.098.958
2689940,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,123.212.655.946.837
2689940,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,123.212.655.946.837
2689940,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,63,123.212.655.946.837
2689940,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,5,63,123.212.655.946.837
2689940,1,5,1,50,2,,,5,5,,,,,,,,,,,,,,5,63,123.212.655.946.837
2689941,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,106.400.726.595.967
2689941,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,5,63,106.400.726.595.967
2689941,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,106.400.726.595.967
2689941,1,4,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,106.400.726.595.967
2689942,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,634.455.191.686.328
2689942,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,634.455.191.686.328
2689942,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,63,634.455.191.686.328
2689943,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,141.561.608.553.665
2689943,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,63,141.561.608.553.665
2689943,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,141.561.608.553.665
2689943,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,5,63,141.561.608.553.665
2689943,1,5,1,50,2,,,5,4,,2,2,2,2,2,,,,,,,,5,63,141.561.608.553.665
2689944,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,523.867.723.724.479
2689944,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,523.867.723.724.479
2689944,1,3,1,50,2,,,3,3,,2,2,2,2,1,12,,,,,,,5,63,523.867.723.724.479
2689945,1,1,1,50,2,,,1,4,,2,2,2,2,2,,,,,,,,5,63,119.934.842.460.804
2693409,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,107.510.807.497.673
2693409,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,5,63,107.510.807.497.673
2693409,1,3,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,107.510.807.497.673
2693409,1,4,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,107.510.807.497.673
2693409,1,6,1,50,2,,,6,5,,,,,,,,,,,,,,5,63,107.510.807.497.673
2693409,1,7,1,50,2,,,7,6,ACCIDENTADO (TIENE FRACTURA DE CLAVICULA),2,2,2,2,1,11,,,,,,,5,63,107.510.807.497.673
2693410,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,656.854.783.307.076
2693410,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,5,63,656.854.783.307.076
2693410,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,63,656.854.783.307.076
2693410,1,4,1,50,2,2,,4,4,,2,2,2,1,,,,,,,,1,5,63,656.854.783.307.076
2693412,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,175.797.060.254.602
2693412,1,2,1,50,2,,,1,3,,2,2,2,2,2,,,,,,,,5,63,175.797.060.254.602
2693413,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,15.550.863.369.659
2693413,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,15.550.863.369.659
2693414,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,183.449.286.902.794
2693414,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,183.449.286.902.794
2693414,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,63,183.449.286.902.794
2693414,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,5,63,183.449.286.902.794
2693422,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,121.489.077.818.124
2693422,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,5,63,121.489.077.818.124
2693422,1,4,1,50,2,,,4,4,,2,2,2,2,1,2,,1,2,,,,5,63,121.489.077.818.124
