Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3705151;1;1;1;70;76;8;48;4; ;2;9;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;04;76;1262,05758606273
3705162;1;2;1;70;76;16;48;1; ;2;16;1; ;4;2; ; ; ; ; ; ; ; ; ;1; ;1;35000;2;16;16;22;1;2;2220;04;76;754,863589307851
3705165;1;3;1;70;76;17;56;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;04;76;728,44226012293
3705166;1;2;1;70;76;4;30;4; ;2;29;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;45;50;1;1;5030;04;76;846,816814916518
3705169;1;2;1;70;76;50;48;4; ;2;52;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;64;1;2;6421;04;76;1282,19347491796
3705185;1;2;1;70;17;52;48;1; ;2;8;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;80;19;1;2;1929;04;17;149,804775856151
3705185;1;4;1;70;17;8;24;1; ;2;20;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;52;1;1;5211;04;17;149,804775856151
3705273;1;3;1;70;54;3;48;1; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;97;53;55;1;1;5530;04;54;407,411866637163
3705273;1;4;1;70;54;3;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;04;54;407,411866637163
3705273;1;5;1;70;54;7;48;1; ;2;18;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;77;15;1;1;1551;04;54;407,411866637163
3705275;1;2;1;70;54;4;40;1; ;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;640000;2;45;45;50;1;1;5030;04;54;452,073569152397
3705280;1;5;1;70;54;5;50;3; ;2;104;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;04;54;251,903256705944
