DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2853104,1,2,2,1,1,4,1,1,5,1,,,98,98,,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,6,1,1,4,1,1,2,1,2,1,1,,1,1,2,12,20,1,123.773.442.085.935
2853105,1,2,2,6,,4,1,2,4,4,,,,15000,,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,1,1,1,1,2,2,2,1,1,,1,1,2,12,20,1,185.139.623.585.476
2853106,1,2,2,6,,3,1,5,5,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,5,1,1,4,1,1,2,2,2,1,1,,1,1,2,12,20,1,190.984.584.025.315
2853107,1,1,1,6,,4,3,6,,4,,,,98,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,3,5,2,1,2,2,2,2,9,,,1,2,12,20,1,111.235.173.574.758
2853108,1,2,2,6,,4,3,5,5,4,,,,98,,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,3,2,2,,7,1,1,1,2,1,2,2,2,2,9,,,1,2,12,20,1,156.206.819.315.142
2853109,1,1,1,6,,4,3,5,5,4,,,,98,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,,5,1,4,1,2,2,2,2,2,2,,,,1,2,12,20,1,186.662.528.075.665
2853110,1,2,1,6,,4,1,4,4,1,,,3000000,40000,,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,6,1,1,4,1,1,2,2,2,1,1,,1,1,2,12,20,1,15.169.771.050.844
2853111,1,2,1,6,,4,1,5,5,1,,,98,40000,,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,,10,1,1,4,1,1,2,1,2,1,1,,1,1,2,12,20,1,175.253.307.707.347
2853112,1,2,1,2,2,4,4,1,5,4,,,,150000,,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,,3,1,4,1,3,1,2,2,2,2,1,,,1,2,12,20,1,100.562.045.231.867
2853113,1,2,2,2,1,2,4,1,5,4,,,,150000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,,6,1,1,1,2,2,2,2,2,2,,,,1,2,12,20,1,138.288.125.035.737
2853114,1,3,1,6,,4,1,5,5,1,,,98,30000,,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,1,4,1,1,2,2,2,1,1,,1,1,2,12,20,1,103.048.577.768.013
2853115,1,2,2,6,,4,1,6,,1,,,98,30000,,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,5,1,1,1,2,1,2,2,2,1,1,,1,1,2,12,20,1,151.765.216.486.039
2853118,1,3,2,6,,4,1,1,4,1,,,98,50000,,2,2,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,,6,1,1,1,2,1,2,2,2,1,1,,1,1,2,12,20,1,184.243.501.517.118
2853119,1,6,1,6,,4,3,5,5,4,,,,98,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,3,1,1,1,2,2,2,2,2,2,,,,1,2,12,20,1,130.159.362.973.449
2853120,1,2,2,6,,4,3,5,5,4,,,,98,,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,4,1,1,1,2,1,2,2,2,2,1,,,1,2,12,20,1,109.080.591.064.905
2853164,1,4,3,2,1,3,5,1,5,1,,,2000000,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,6,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,102.218.620.201.973
2853167,1,3,2,2,1,3,5,1,5,1,,,4000000,70000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,4,1,1,5,1,2,2,2,2,2,,,,1,2,12,27,1,127.484.728.122.831
2853168,1,2,1,6,,3,5,1,5,1,,,150000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,3,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,110.473.605.299.005
2853169,1,3,2,2,1,3,5,1,5,4,,,,60000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,7,1,1,2,1,2,2,2,2,2,,,,1,2,12,27,1,136.961.982.657.545
2853216,1,2,1,2,1,4,5,5,5,1,,,20000000,200000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,789.975.046.008.543
2853217,1,4,3,2,1,4,5,1,5,1,,,25000000,200000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,6,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,128.019.944.759.819
2853218,1,1,1,6,,4,5,5,5,1,,,10000000,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,4,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,120.289.531.973.225
2853219,1,1,1,6,,4,5,2,4,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,1,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,100.530.732.665.384
2853221,1,2,2,2,1,4,5,5,5,1,,,25000000,200000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,10,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,131.895.401.939.129
2853228,1,3,1,6,,2,5,1,4,1,,,1000000,100000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,105.563.249.376.576
2853229,1,2,1,2,1,2,5,1,4,1,,,500000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,3,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,108.751.653.755.191
2853230,1,3,2,6,,2,6,5,5,1,,,98,30000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,1,5,3,1,2,2,2,2,1,,,1,2,12,27,1,103.253.518.945.093
2853231,1,3,2,6,,2,6,5,5,1,,,98,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,6,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,144.030.232.847.751
2853233,1,1,1,6,,2,6,5,5,5,,,,30000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,885.521.265.527.497
2853234,1,1,1,6,,2,5,5,5,5,,,,20000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,933.355.365.157.777
2853235,1,1,1,6,,2,6,5,5,1,,,98,30000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,3,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,108.751.653.755.191
2853236,1,1,1,6,,2,5,5,5,1,,,98,100000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,3,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,912.749.128.324.581
2853237,1,2,1,6,,3,5,1,5,5,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,84.038.888.430.734
2853239,1,3,2,6,,2,5,1,4,1,,,99,99,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,4,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,104.966.603.370.218
2853240,1,1,1,6,,2,6,5,5,5,,,,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,5,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,139.022.606.340.865
2853241,1,3,1,6,,2,5,5,5,5,,,,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,4,1,1,5,1,2,2,2,2,2,,,,1,2,12,27,1,122.011.483.517.038
2853242,1,2,1,6,,2,6,5,5,1,,,98,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,879.831.525.927.684
2853243,1,1,1,6,,5,5,5,5,1,,,98,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,789.975.046.008.543
2853244,1,1,1,6,,2,5,5,5,1,,,98,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,933.355.365.157.777
2853245,1,1,1,6,,2,5,5,5,1,,,98,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,5,3,2,2,2,2,2,,,,1,2,12,27,1,831.997.426.297.404
