Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Area;Fex_c_2011
323353;2;1;70;52;48;1; ;2;2;2;416;1; ;9;1; ;.;4; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;98;84;6333;63;08;08;588,839293917519
323376;2;1;70;52;48;1; ;1;1;2;780;1; ;5;1; ;.;1; ;1; ;.; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;84;84;5020;50;13;13;249,391490774672
323376;2;3;70;52;48;1; ;1;1;2;104;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;59;59;8511;85;13;13;249,391490774672
323384;2;2;70;8;48;1; ;1;1;2;156;1; ;6;2;7; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5239;52;13;13;591,861048394728
323387;2;1;70;4;24;3; ;1;1;2;4;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;200000;1;54;54;5522;55;13;13;236,837198696534
323407;2;1;70;3;40;1; ;1;1;2;304;1; ;2;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;100000;1;43;59;8513;85;13;13;271,580447881286
323434;2;3;70;24;40;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;15;15;106,695012118333
323445;2;3;70;4;48;2; ;2;1;2;4;1; ;2;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;433700;1;433700;1;58;58;7020;70;15;15;81,3342806082458
323453;2;1;70;42;40;1; ;2;2;2;42;1; ;6;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;13;13;8012;80;15;15;101,002215224078
323463;2;2;70;20;48;1; ;1;2;2;20;4; ;2;2;4; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3150000;1;70;45;5211;52;15;15;103,149817681774
323494;2;1;70;6;48;3; ;1;1;2;6;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;54000;1;450000;1;54;53;5522;55;17;17;154,161297492034
323498;2;3;70;20;48;1; ;1;1;2;20;1; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2800000;1;45;42;6320;63;17;17;137,305707206639
323507;2;3;70;12;48;1; ;1;1;2;13;1; ;8;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1521000;1;39;39;7513;75;17;17;173,328463509621
323510;2;4;70;20;48;1; ;2;2;2;16;1; ;9;2;8; ;1; ;2;11;TRABAJO TEMPORAL; ; ; ; ; ; ; ;1; ;BUSCANDO TRABAJO CON PRESTACIONES;2; ;1;4270000;1;32;50;5522;55;17;17;157,407291402805
323520;2;1;70;8;84;1; ;1;1;2;8;4; ;1;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;95;95;4521;45;17;17;152,733436943225
323524;2;3;70;998;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;17;17;124,189231245739
323577;2;2;70;3;48;1; ;2;2;2;3;1; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;8000000;1;97;98;1543;15;17;17;180,919982333085
323581;2;1;70;36;48;2; ;2;2;2;37;2; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;59;59;8511;85;17;17;121,62669207253
323581;2;2;70;48;48;1; ;2;2;2;48;1; ;1;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;17;17;121,62669207253
323600;2;2;70;8;48;1; ;1;1;2;48;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;744000;1;95;95;4521;45;18;18;73,0419386703717
