Directorio;Secuencia_p;Orden;Area;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Dsi;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Fex_c_2011
323353;2;1;08;70;52;48;1; ;2;2;2;416;1; ;9;1; ;.;4; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;98;84;6333;63;08;588,839293917519
323376;2;1;13;70;52;48;1; ;1;1;2;780;1; ;5;1; ;.;1; ;1; ;.; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;84;84;5020;50;13;249,391490774672
323376;2;3;13;70;52;48;1; ;1;1;2;104;1; ;9;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;59;59;8511;85;13;249,391490774672
323384;2;2;13;70;8;48;1; ;1;1;2;156;1; ;6;2;7; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5239;52;13;591,861048394728
323387;2;1;13;70;4;24;3; ;1;1;2;4;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;200000;1;54;54;5522;55;13;236,837198696534
323407;2;1;13;70;3;40;1; ;1;1;2;304;1; ;2;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;100000;1;43;59;8513;85;13;271,580447881286
323494;2;1;17;70;6;48;3; ;1;1;2;6;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;54000;1;450000;1;54;53;5522;55;17;154,161297492034
323498;2;3;17;70;20;48;1; ;1;1;2;20;1; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;2800000;1;45;42;6320;63;17;137,305707206639
323507;2;3;17;70;12;48;1; ;1;1;2;13;1; ;8;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1521000;1;39;39;7513;75;17;173,328463509621
323510;2;4;17;70;20;48;1; ;2;2;2;16;1; ;9;2;8; ;1; ;2;11;TRABAJO TEMPORAL; ; ; ; ; ; ; ;1; ;BUSCANDO TRABAJO CON PRESTACIONES;2; ;1;4270000;1;32;50;5522;55;17;157,407291402805
323520;2;1;17;70;8;84;1; ;1;1;2;8;4; ;1;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;95;95;4521;45;17;152,733436943225
323524;2;3;17;70;998;60;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;17;124,189231245739
323577;2;2;17;70;3;48;1; ;2;2;2;3;1; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;8000000;1;97;98;1543;15;17;180,919982333085
323581;2;1;17;70;36;48;2; ;2;2;2;37;2; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;59;59;8511;85;17;121,62669207253
323581;2;2;17;70;48;48;1; ;2;2;2;48;1; ;1;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;17;121,62669207253
323827;2;3;23;70;6;20;1; ;2;2;2;5;1; ;4;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;1500000;1;13;13;8012;80;23;139,438707030754
323833;2;1;23;70;26;44;3; ;1;1;2;26;3; ;2;2;4; ;6; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3500000;1;98;98;9500;95;23;126,157434108436
323839;2;2;23;70;6;48;1; ;2;2;2;7;1; ;3;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;7000000;1;11;33;6601;66;23;136,881205930812
323846;2;1;23;70;1;24;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;23;163,574374525827
323855;2;1;23;70;3;40;1; ;1;1;2;4;1; ;5;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;1;4000000;1;85;85;6421;64;23;145,089362348726
323885;2;2;23;70;1;36;5; ;1;1;2;780;1; ;2;2;5; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;41;32;5051;50;23;109,986596579159
323885;2;3;23;70;13;48;1; ;1;1;2;84;1; ;6;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;34;37;1551;15;23;109,986596579159
323885;2;4;23;70;8;48;1; ;1;1;2;156;1; ;2;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;34;39;7499;74;23;109,986596579159
323885;2;5;23;70;78;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;98; ; ; ;23;109,986596579159
323889;2;5;23;70;2;48;3; ;1;1;2;3;1; ;2;2;5; ;4; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;1040000;1;54;53;5521;55;23;111,77136897594
323896;2;6;23;70;3;7;4; ;2;2;2;12;1; ;2;1; ;.;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2880000;1;45;53;5521;55;23;162,341324787862
323906;2;2;23;70;1;48;1; ;1;1;2;1;1; ;9;1; ;.;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;250000;1;1500000;1;59;59;8511;85;23;116,903795101307
324110;2;2;50;70;32;48;1; ;1;1;2;36;2; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;1;59;59;7513;75;50;338,58784184547
324119;2;2;50;70;6;40;1; ;2;2;2;10;1; ;3;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;1;56;53;5521;55;50;117,688844782278
324134;2;1;50;70;104;60;1; ;1;1;2;5;1; ;2;2;2; ;2; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;60000;1;500000;1;45;53;5521;55;50;149,154304537932
324136;2;1;50;70;19;60;4; ;1;1;2;4;4; ;1;2;1; ;3; ;2;6; ; ; ; ;1;1; ; ; ; ; ;1;1000000;1;98;1;41;41;5239;52;50;377,507808577352
324140;2;5;50;70;13;36;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;50;165,933574240419
324141;2;3;50;70;1;48;1; ;1;1;2;4;1; ;2;2;2; ;2; ;2;5; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;150000;1;85;95;4521;45;50;151,4539545791
